operpoli_d,descrip
1,Operativos para realizar capturas de prófugos o probables personas responsables
2,"Operativos para realizar aseguramientos de armas, narcóticos, mercancía apócrifa, vehículos, entre otros"
3,"Operativos para inspecciones de vehículos, personas o lugares"
4,Operativos para la prevención de accidentes viales
5,Operativos en el servicio de transporte público para garantizar la seguridad de las personas pasajeras
6,Operativos contra el robo de vehículos y autopartes
7,Operativos para prevenir la venta de bienes en la vía pública
8,Operativos contra la venta ilegal de flora y fauna
9,"Operativos para la protección y/o atención de personas durante marchas, manifestaciones, protestas o reunión de multitudes"
10,Operativos para apoyo a la población en contexto de movilidad
11,Operativos para la seguridad y prevención de delitos en los centros de supervisión y control migratorio
12,Operativos en escuelas para garantizar la seguridad de la comunidad educativa / escolar
13,Operativos para atender emergencias de protección civil
14,Operativos para atender emergencias sanitarias
15,Operativos para la seguridad y prevención de delitos en vías férreas
16,Operativos para la seguridad y prevención de delitos en aeropuertos
17,"Operativos para la seguridad y prevención de delitos en fronteras, aduanas, recintos fiscales, secciones aduaneras, garitas y/o puntos de revisión aduaneros"
18,"Operativos para la seguridad y prevención de delitos en costas, puertos, recintos e instalaciones portuarias"
19,Operativos de búsqueda y localización de personas desaparecidas o no localizadas
20,"Operativos contra delitos relacionados con narcóticos (producción, trasporte, tráfico, comercio, suministro y/o posesión)"
21,Operativos contra giros negros o negocios relacionados con conductas delictivas
22,Operativos mixtos
23,Otro tipo de operativo policial
24,No identificado
99,No especificado
