ubicageo_f,rnsnni1
1001,1
1002,1
1003,1
1004,1
1005,1
1006,2
1007,1
1008,1
1009,1
1010,1
1011,1
2001,1
2002,1
2003,1
2004,1
2005,1
2006,1
2007,1
3001,1
3002,1
3003,1
3008,1
3009,1
4001,2
4002,2
4003,1
4004,1
4005,2
4006,1
4007,1
4008,1
4009,1
4010,2
4011,1
4012,0
4013,0
5001,1
5002,1
5003,1
5004,1
5005,1
5006,1
5007,1
5008,0
5009,1
5010,2
5011,2
5012,0
5013,0
5014,1
5015,0
5016,2
5017,1
5018,1
5019,1
5020,1
5021,1
5022,1
5023,1
5024,1
5025,1
5026,0
5027,1
5028,1
5029,1
5030,1
5031,1
5032,1
5033,1
5034,1
5035,1
5036,1
5037,1
5038,1
6001,1
6002,1
6003,1
6004,1
6005,1
6006,1
6007,1
6008,1
6009,1
6010,1
7001,1
7002,1
7003,1
7004,1
7005,1
7006,1
7007,1
7008,1
7009,1
7010,1
7011,1
7012,1
7013,1
7014,1
7015,1
7016,2
7017,1
7018,1
7019,1
7020,1
7021,1
7022,1
7023,2
7024,1
7025,1
7026,2
7027,1
7028,1
7029,1
7030,1
7031,1
7032,1
7033,1
7034,1
7035,2
7036,1
7037,1
7038,1
7039,1
7040,1
7041,1
7042,1
7043,1
7044,1
7045,2
7046,1
7047,1
7048,1
7049,2
7050,1
7051,1
7052,1
7053,1
7054,1
7055,1
7056,2
7057,1
7058,1
7059,1
7060,1
7061,2
7062,1
7063,2
7064,1
7065,1
7066,9
7067,2
7068,1
7069,1
7070,1
7071,1
7072,1
7073,1
7074,1
7075,2
7076,2
7077,2
7078,1
7079,1
7080,1
7081,1
7082,1
7083,2
7084,2
7085,1
7086,1
7087,1
7088,1
7089,1
7090,1
7091,1
7092,1
7093,2
7094,1
7096,2
7097,1
7098,1
7099,1
7100,1
7101,1
7102,1
7103,1
7104,1
7105,1
7106,1
7107,2
7108,1
7109,1
7110,1
7111,2
7112,1
7113,1
7114,1
7115,1
7116,1
7117,1
7118,1
7119,2
7120,1
7121,2
7122,1
7123,1
7124,1
7125,1
8001,2
8002,2
8003,1
8004,2
8005,1
8006,2
8007,1
8008,2
8009,2
8010,2
8011,9
8012,1
8013,2
8014,1
8015,2
8016,1
8017,1
8018,2
8019,1
8020,2
8021,1
8022,2
8023,2
8024,1
8025,2
8026,2
8027,1
8028,2
8029,1
8030,2
8031,2
8032,1
8033,2
8034,2
8035,2
8036,1
8037,1
8038,1
8039,2
8040,1
8041,1
8042,2
8043,1
8044,1
8045,1
8046,2
8047,2
8048,1
8049,1
8050,1
8051,2
8052,1
8053,2
8054,2
8055,1
8056,1
8057,2
8058,1
8059,2
8060,1
8061,1
8062,1
8063,2
8064,2
8065,2
8066,2
8067,1
9002,0
9003,0
9004,0
9005,0
9006,0
9007,0
9008,0
9009,0
9010,0
9011,0
9012,0
9013,0
9014,0
9015,0
9016,0
9017,0
10001,2
10002,1
10003,1
10004,1
10005,1
10006,1
10007,1
10008,1
10009,2
10010,2
10011,2
10012,1
10013,2
10014,2
10015,2
10016,1
10017,1
10018,1
10019,2
10020,2
10021,2
10022,1
10023,1
10024,1
10025,2
10026,2
10027,2
10028,2
10029,2
10030,1
10031,1
10032,1
10033,2
10034,1
10035,1
10036,1
10037,2
10038,1
10039,2
11001,1
11002,1
11003,1
11004,1
11005,1
11006,2
11007,1
11008,9
11009,1
11010,9
11011,1
11012,1
11013,1
11014,1
11015,1
11016,1
11017,1
11018,1
11019,1
11020,1
11021,1
11022,1
11023,1
11024,1
11025,1
11026,1
11027,1
11028,1
11029,1
11030,1
11031,1
11032,1
11033,2
11034,1
11035,9
11036,1
11037,1
11038,1
11039,1
11040,1
11041,1
11042,1
11043,1
11044,1
11045,2
11046,1
12001,1
12002,1
12003,2
12004,1
12005,1
12006,2
12007,2
12008,1
12009,1
12010,2
12011,1
12012,1
12013,1
12014,1
12015,2
12016,1
12017,2
12018,2
12019,1
12020,1
12021,1
12022,2
12023,1
12024,1
12025,2
12026,2
12027,2
12028,1
12029,1
12030,1
12031,2
12032,1
12033,1
12034,1
12035,2
12036,1
12037,2
12038,1
12039,1
12040,2
12041,1
12042,2
12043,1
12044,2
12045,1
12046,1
12047,2
12048,1
12049,1
12050,1
12051,1
12052,1
12053,1
12054,1
12055,1
12056,1
12057,1
12058,1
12059,1
12060,2
12061,2
12062,1
12063,1
12064,1
12065,1
12066,1
12067,1
12068,1
12069,1
12070,1
12071,1
12072,1
12073,1
12074,2
12075,1
12076,1
12077,2
12078,1
12079,1
12080,2
12081,1
12082,0
12083,0
12084,0
12085,0
13001,1
13002,2
13003,1
13004,1
13005,1
13006,1
13007,1
13008,2
13009,1
13010,1
13011,1
13012,1
13013,1
13014,1
13015,1
13016,1
13017,1
13018,1
13019,1
13020,1
13021,1
13022,1
13023,2
13024,1
13025,1
13026,1
13027,2
13028,1
13029,1
13030,1
13031,1
13032,1
13033,1
13034,1
13035,1
13036,1
13037,1
13038,1
13039,1
13040,1
13041,9
13042,1
13043,1
13044,9
13045,1
13046,1
13047,1
13048,1
13049,1
13050,1
13051,1
13052,1
13053,1
13054,1
13055,1
13056,1
13057,1
13058,1
13059,1
13060,1
13061,1
13062,1
13063,1
13064,1
13065,1
13066,1
13067,1
13068,2
13069,1
13070,1
13071,1
13072,1
13073,1
13074,1
13075,1
13076,1
13077,1
13078,1
13079,1
13080,1
13081,1
13082,1
13083,2
13084,1
14001,2
14002,1
14003,1
14004,2
14005,9
14006,1
14007,2
14008,1
14009,1
14010,2
14011,2
14012,1
14013,2
14014,2
14015,1
14016,2
14017,2
14018,2
14019,2
14020,2
14021,1
14022,1
14023,2
14024,1
14025,1
14026,2
14027,1
14028,2
14029,1
14030,1
14031,2
14032,1
14033,2
14034,2
14035,1
14036,2
14037,1
14038,1
14039,1
14040,2
14041,2
14042,2
14043,1
14044,1
14045,1
14046,1
14047,1
14048,2
14049,1
14050,2
14051,1
14052,2
14053,1
14054,1
14055,1
14056,2
14057,2
14058,2
14059,1
14060,1
14061,1
14062,1
14063,2
14064,2
14065,1
14066,1
14067,1
14068,2
14069,2
14070,1
14071,2
14072,1
14073,2
14074,1
14075,1
14076,2
14077,2
14078,1
14079,2
14080,1
14081,98
14082,2
14083,1
14084,2
14085,1
14086,2
14087,2
14088,1
14089,2
14090,1
14091,1
14092,2
14093,1
14094,1
14095,1
14096,2
14097,1
14098,1
14099,1
14100,1
14101,1
14102,1
14103,2
14104,98
14105,1
14106,2
14107,2
14108,2
14109,1
14110,1
14111,1
14112,2
14113,1
14114,2
14115,1
14116,1
14117,1
14118,2
14119,2
14120,1
14121,1
14122,1
14123,2
14124,1
14125,1
15001,1
15002,1
15003,1
15004,2
15005,1
15006,1
15007,1
15008,1
15009,1
15010,1
15011,1
15012,1
15013,1
15014,1
15015,1
15016,1
15017,1
15018,1
15019,1
15020,1
15021,1
15022,1
15023,1
15024,1
15025,1
15026,1
15027,1
15028,1
15029,1
15030,1
15031,1
15032,1
15033,1
15034,1
15035,1
15036,1
15037,1
15038,1
15039,1
15040,1
15041,1
15042,1
15043,1
15044,9
15045,1
15046,1
15047,1
15048,1
15049,1
15050,1
15051,1
15052,1
15053,2
15054,1
15055,1
15056,1
15057,1
15058,1
15059,2
15060,1
15061,1
15062,1
15063,0
15064,1
15065,1
15066,1
15067,1
15068,1
15069,1
15070,1
15071,1
15072,1
15073,1
15074,1
15075,1
15076,1
15077,1
15078,2
15079,1
15080,1
15081,1
15082,2
15083,1
15084,1
15085,1
15086,2
15087,1
15088,1
15089,1
15090,1
15091,1
15092,2
15093,1
15094,1
15095,1
15096,1
15097,2
15098,1
15099,1
15100,1
15101,1
15102,2
15103,1
15104,1
15105,1
15106,1
15107,1
15108,1
15109,1
15110,1
15111,1
15112,1
15113,1
15114,1
15115,1
15116,1
15117,1
15118,1
15119,1
15120,1
15121,1
15122,1
15123,1
15124,1
15125,1
16001,2
16002,2
16003,1
16004,1
16005,1
16006,1
16007,1
16008,0
16009,1
16010,0
16011,2
16012,1
16013,1
16014,1
16015,1
16016,1
16017,1
16018,1
16019,1
16020,9
16021,1
16022,1
16023,2
16024,2
16025,1
16026,1
16027,1
16028,1
16029,1
16030,1
16031,1
16032,2
16033,1
16034,9
16035,2
16036,1
16037,2
16038,1
16039,1
16040,1
16041,2
16042,1
16043,1
16044,1
16045,1
16046,2
16047,1
16048,1
16049,1
16050,1
16051,98
16052,1
16053,1
16054,2
16055,1
16056,1
16057,1
16058,1
16059,1
16060,2
16061,1
16062,2
16063,1
16064,1
16065,1
16066,1
16067,1
16068,2
16069,1
16070,1
16071,9
16072,2
16073,2
16074,2
16075,2
16076,2
16077,2
16078,1
16079,1
16080,1
16081,2
16082,1
16083,1
16084,9
16085,1
16086,1
16087,2
16088,1
16089,1
16090,1
16091,1
16092,2
16093,1
16094,1
16095,1
16096,1
16097,1
16098,2
16099,1
16100,1
16101,1
16102,1
16103,2
16104,1
16105,1
16106,1
16107,1
16108,1
16109,1
16110,1
16111,1
16112,1
16113,1
17001,1
17002,1
17003,1
17004,1
17005,1
17006,1
17007,1
17008,1
17009,1
17010,1
17011,1
17012,1
17013,1
17014,1
17015,1
17016,1
17017,1
17018,1
17019,1
17020,2
17021,1
17022,1
17023,1
17024,1
17025,1
17026,1
17027,1
17028,1
17029,1
17030,1
17031,0
17032,1
17033,1
17034,1
17035,0
17036,2
18001,1
18002,2
18003,1
18004,1
18005,1
18006,1
18007,1
18008,1
18009,1
18010,1
18011,1
18012,1
18013,1
18014,1
18015,1
18016,1
18017,1
18018,2
18019,1
18020,1
19001,1
19002,0
19003,1
19004,1
19005,9
19006,1
19007,1
19008,1
19009,1
19010,1
19011,2
19012,1
19013,1
19014,2
19015,2
19016,1
19017,1
19018,1
19019,1
19020,1
19021,1
19022,2
19023,0
19024,1
19025,2
19026,1
19027,2
19028,2
19029,1
19030,1
19031,1
19032,2
19033,2
19034,2
19035,2
19036,1
19037,1
19038,1
19039,1
19040,0
19041,2
19042,1
19043,2
19044,2
19045,9
19046,1
19047,2
19048,1
19049,2
19050,0
19051,2
20001,1
20002,2
20003,2
20004,1
20005,1
20006,1
20007,1
20008,2
20009,2
20010,1
20011,2
20012,2
20013,2
20014,1
20015,2
20016,2
20017,2
20018,2
20019,2
20020,1
20021,1
20022,2
20023,1
20024,2
20025,2
20026,2
20027,2
20028,1
20029,2
20030,1
20031,2
20032,2
20033,1
20034,2
20035,1
20036,2
20037,1
20038,2
20039,1
20040,1
20041,2
20042,1
20043,1
20044,9
20045,1
20046,2
20047,2
20048,2
20049,2
20050,2
20051,2
20052,2
20053,1
20054,2
20055,2
20056,2
20057,1
20058,1
20059,1
20060,2
20061,2
20062,2
20063,2
20064,2
20065,2
20066,2
20067,1
20068,1
20069,2
20070,2
20071,1
20072,1
20073,1
20074,2
20075,1
20076,2
20077,2
20078,2
20079,1
20080,2
20081,2
20082,2
20083,2
20084,2
20085,2
20086,2
20087,1
20088,1
20089,2
20090,2
20091,1
20092,2
20093,2
20094,2
20095,2
20096,2
20097,2
20098,2
20099,2
20100,2
20101,2
20102,1
20103,2
20104,2
20105,2
20106,2
20107,1
20108,2
20109,1
20110,2
20111,2
20112,2
20113,2
20114,2
20115,2
20116,2
20117,2
20118,2
20119,2
20120,2
20121,2
20122,2
20123,2
20124,2
20125,2
20126,2
20127,2
20128,2
20129,2
20130,2
20131,2
20132,1
20133,2
20134,2
20135,2
20136,2
20137,2
20138,2
20139,2
20140,2
20141,1
20142,2
20143,2
20144,2
20145,2
20146,1
20147,2
20148,2
20149,2
20150,1
20151,2
20152,2
20153,2
20154,2
20155,2
20156,2
20157,1
20158,2
20159,2
20160,1
20161,2
20162,1
20163,2
20164,2
20165,2
20166,2
20167,2
20168,2
20169,1
20170,1
20171,1
20172,2
20173,1
20174,2
20175,2
20176,2
20177,1
20178,2
20179,2
20180,2
20181,2
20182,2
20183,2
20184,1
20185,2
20186,1
20187,2
20188,2
20189,2
20190,2
20191,2
20192,2
20193,2
20194,2
20195,2
20196,1
20197,2
20198,1
20199,2
20200,2
20201,2
20202,2
20203,1
20204,2
20205,0
20206,2
20207,0
20208,2
20209,2
20210,1
20211,2
20212,2
20213,2
20214,1
20215,2
20216,2
20217,2
20218,2
20219,2
20220,2
20221,2
20222,2
20223,2
20224,2
20225,2
20226,2
20227,1
20228,2
20229,2
20230,2
20231,2
20232,1
20233,2
20234,2
20235,2
20236,2
20237,1
20238,1
20239,1
20240,2
20241,2
20242,0
20243,2
20244,1
20245,2
20246,2
20247,2
20248,2
20249,2
20250,2
20251,2
20252,2
20253,2
20254,2
20255,2
20256,2
20257,2
20258,2
20259,2
20260,2
20261,2
20262,2
20263,2
20264,2
20265,1
20266,2
20267,2
20268,2
20269,2
20270,2
20271,2
20272,2
20273,2
20274,2
20275,2
20276,2
20277,1
20278,1
20279,2
20280,2
20281,2
20282,2
20283,2
20284,2
20285,2
20286,2
20287,2
20288,2
20289,2
20290,2
20291,2
20292,2
20293,2
20294,1
20295,2
20296,1
20297,2
20298,1
20299,2
20300,1
20301,9
20302,2
20303,2
20304,2
20305,1
20306,2
20307,2
20308,1
20309,2
20310,2
20311,2
20312,2
20313,2
20314,1
20315,1
20316,2
20317,0
20318,1
20319,0
20320,2
20321,2
20322,0
20323,2
20324,1
20325,2
20326,2
20327,1
20328,2
20329,2
20330,2
20331,2
20332,2
20333,2
20334,2
20335,1
20336,1
20337,2
20338,1
20339,1
20340,2
20341,2
20342,0
20343,2
20344,2
20345,2
20346,2
20347,2
20348,2
20349,2
20350,2
20351,2
20352,0
20353,2
20354,2
20355,2
20356,2
20357,2
20358,2
20359,2
20360,1
20361,2
20362,1
20363,2
20364,2
20365,2
20366,2
20367,2
20368,1
20369,2
20370,2
20371,2
20372,2
20373,2
20374,9
20375,1
20376,2
20377,1
20378,2
20379,1
20380,2
20381,2
20382,2
20383,2
20384,2
20385,1
20386,1
20387,2
20388,2
20389,2
20390,1
20391,2
20392,2
20393,1
