ubicageo_f,operpoli_d,rnsnni1,unidmedi_k,totalca1
1001,1,2,0,NA
1001,2,9,97,NSS
1001,3,1,1,28
1001,4,1,3,NSS
1001,5,2,0,NA
1001,6,1,1,7
1001,7,9,97,NSS
1001,8,9,97,NSS
1001,9,1,2,10
1001,10,9,97,NSS
1001,11,2,0,NA
1001,12,1,1,1
1001,13,9,97,NSS
1001,14,9,97,NSS
1001,15,2,0,NA
1001,16,2,0,NA
1001,17,2,0,NA
1001,18,2,0,NA
1001,19,1,4,339
1001,20,1,1,1
1001,21,2,0,NA
1001,22,1,1,210
1001,23,2,0,NA
1002,1,2,0,NA
1002,2,2,0,NA
1002,3,1,2,365
1002,4,2,0,NA
1002,5,2,0,NA
1002,6,2,0,NA
1002,7,2,0,NA
1002,8,2,0,NA
1002,9,2,0,NA
1002,10,2,0,NA
1002,11,2,0,NA
1002,12,2,0,NA
1002,13,2,0,NA
1002,14,2,0,NA
1002,15,2,0,NA
1002,16,2,0,NA
1002,17,2,0,NA
1002,18,2,0,NA
1002,19,2,0,NA
1002,20,2,0,NA
1002,21,2,0,NA
1002,22,2,0,NA
1002,23,2,0,NA
1003,1,1,3,25
1003,2,2,0,NA
1003,3,1,3,2200
1003,4,1,3,2200
1003,5,2,0,NA
1003,6,1,3,2200
1003,7,2,0,NA
1003,8,2,0,NA
1003,9,1,1,4
1003,10,2,0,NA
1003,11,2,0,NA
1003,12,1,4,2400
1003,13,2,0,NA
1003,14,2,0,NA
1003,15,2,0,NA
1003,16,2,0,NA
1003,17,2,0,NA
1003,18,2,0,NA
1003,19,1,1,24
1003,20,1,3,2400
1003,21,2,0,NA
1003,22,1,3,15
1003,23,2,0,NA
1004,1,1,3,NSS
1004,2,1,3,NSS
1004,3,1,3,NSS
1004,4,1,3,NSS
1004,5,9,97,NSS
1004,6,1,3,NSS
1004,7,9,97,NSS
1004,8,9,97,NSS
1004,9,9,97,NSS
1004,10,2,0,NA
1004,11,2,0,NA
1004,12,1,2,NSS
1004,13,2,0,NA
1004,14,2,0,NA
1004,15,2,0,NA
1004,16,2,0,NA
1004,17,2,0,NA
1004,18,2,0,NA
1004,19,1,3,NSS
1004,20,1,2,NSS
1004,21,2,0,NA
1004,22,2,0,NA
1004,23,2,0,NA
1005,1,2,0,NA
1005,2,2,0,NA
1005,3,1,1,15
1005,4,1,1,23
1005,5,2,0,NA
1005,6,2,0,NA
1005,7,2,0,NA
1005,8,2,0,NA
1005,9,2,0,NA
1005,10,2,0,NA
1005,11,2,0,NA
1005,12,2,0,NA
1005,13,2,0,NA
1005,14,2,0,NA
1005,15,2,0,NA
1005,16,2,0,NA
1005,17,2,0,NA
1005,18,2,0,NA
1005,19,2,0,NA
1005,20,2,0,NA
1005,21,2,0,NA
1005,22,2,0,NA
1005,23,2,0,NA
1006,1,0,0,NA
1006,2,0,0,NA
1006,3,0,0,NA
1006,4,0,0,NA
1006,5,0,0,NA
1006,6,0,0,NA
1006,7,0,0,NA
1006,8,0,0,NA
1006,9,0,0,NA
1006,10,0,0,NA
1006,11,0,0,NA
1006,12,0,0,NA
1006,13,0,0,NA
1006,14,0,0,NA
1006,15,0,0,NA
1006,16,0,0,NA
1006,17,0,0,NA
1006,18,0,0,NA
1006,19,0,0,NA
1006,20,0,0,NA
1006,21,0,0,NA
1006,22,0,0,NA
1006,23,0,0,NA
1007,1,2,0,NA
1007,2,2,0,NA
1007,3,1,3,863
1007,4,1,3,863
1007,5,2,0,NA
1007,6,2,0,NA
1007,7,2,0,NA
1007,8,2,0,NA
1007,9,2,0,NA
1007,10,1,3,863
1007,11,2,0,NA
1007,12,1,3,863
1007,13,2,0,NA
1007,14,2,0,NA
1007,15,2,0,NA
1007,16,2,0,NA
1007,17,2,0,NA
1007,18,2,0,NA
1007,19,2,0,NA
1007,20,2,0,NA
1007,21,2,0,NA
1007,22,2,0,NA
1007,23,2,0,NA
1008,1,1,3,1
1008,2,2,0,NA
1008,3,2,0,NA
1008,4,1,3,25
1008,5,2,0,NA
1008,6,2,0,NA
1008,7,2,0,NA
1008,8,2,0,NA
1008,9,2,0,NA
1008,10,2,0,NA
1008,11,2,0,NA
1008,12,1,2,12348
1008,13,1,2,15
1008,14,2,0,NA
1008,15,2,0,NA
1008,16,2,0,NA
1008,17,2,0,NA
1008,18,2,0,NA
1008,19,1,2,7
1008,20,2,0,NA
1008,21,2,0,NA
1008,22,1,2,580
1008,23,2,0,NA
1009,1,2,0,NA
1009,2,2,0,NA
1009,3,1,1,12
1009,4,2,0,NA
1009,5,2,0,NA
1009,6,2,0,NA
1009,7,2,0,NA
1009,8,2,0,NA
1009,9,2,0,NA
1009,10,2,0,NA
1009,11,2,0,NA
1009,12,2,0,NA
1009,13,2,0,NA
1009,14,2,0,NA
1009,15,2,0,NA
1009,16,2,0,NA
1009,17,2,0,NA
1009,18,2,0,NA
1009,19,2,0,NA
1009,20,2,0,NA
1009,21,2,0,NA
1009,22,2,0,NA
1009,23,2,0,NA
1010,1,2,0,NA
1010,2,2,0,NA
1010,3,1,3,352
1010,4,2,0,NA
1010,5,2,0,NA
1010,6,2,0,NA
1010,7,2,0,NA
1010,8,2,0,NA
1010,9,2,0,NA
1010,10,2,0,NA
1010,11,2,0,NA
1010,12,1,3,290
1010,13,2,0,NA
1010,14,2,0,NA
1010,15,2,0,NA
1010,16,2,0,NA
1010,17,2,0,NA
1010,18,2,0,NA
1010,19,1,3,5
1010,20,2,0,NA
1010,21,2,0,NA
1010,22,2,0,NA
1010,23,2,0,NA
1011,1,2,0,NA
1011,2,2,0,NA
1011,3,1,1,322
1011,4,2,0,NA
1011,5,2,0,NA
1011,6,2,0,NA
1011,7,2,0,NA
1011,8,2,0,NA
1011,9,2,0,NA
1011,10,1,3,125
1011,11,2,0,NA
1011,12,1,2,201
1011,13,2,0,NA
1011,14,2,0,NA
1011,15,2,0,NA
1011,16,2,0,NA
1011,17,2,0,NA
1011,18,2,0,NA
1011,19,2,0,NA
1011,20,2,0,NA
1011,21,2,0,NA
1011,22,2,0,NA
1011,23,2,0,NA
2001,1,2,0,NA
2001,2,2,0,NA
2001,3,2,0,NA
2001,4,1,3,206
2001,5,2,0,NA
2001,6,2,0,NA
2001,7,2,0,NA
2001,8,2,0,NA
2001,9,2,0,NA
2001,10,2,0,NA
2001,11,2,0,NA
2001,12,2,0,NA
2001,13,2,0,NA
2001,14,2,0,NA
2001,15,2,0,NA
2001,16,2,0,NA
2001,17,2,0,NA
2001,18,2,0,NA
2001,19,2,0,NA
2001,20,2,0,NA
2001,21,2,0,NA
2001,22,1,4,14
2001,23,2,0,NA
2002,1,1,4,NSS
2002,2,1,4,NSS
2002,3,1,4,NSS
2002,4,1,4,NSS
2002,5,2,0,NA
2002,6,1,4,NSS
2002,7,2,0,NA
2002,8,2,0,NA
2002,9,1,4,NSS
2002,10,2,0,NA
2002,11,2,0,NA
2002,12,1,4,NSS
2002,13,2,0,NA
2002,14,2,0,NA
2002,15,2,0,NA
2002,16,2,0,NA
2002,17,2,0,NA
2002,18,2,0,NA
2002,19,1,4,NSS
2002,20,1,4,NSS
2002,21,2,0,NA
2002,22,2,0,NA
2002,23,2,0,NA
2003,1,2,0,NA
2003,2,2,0,NA
2003,3,1,2,317
2003,4,1,2,24
2003,5,2,0,NA
2003,6,2,0,NA
2003,7,2,0,NA
2003,8,2,0,NA
2003,9,2,0,NA
2003,10,2,0,NA
2003,11,2,0,NA
2003,12,1,2,48
2003,13,2,0,NA
2003,14,2,0,NA
2003,15,2,0,NA
2003,16,2,0,NA
2003,17,2,0,NA
2003,18,2,0,NA
2003,19,1,2,48
2003,20,2,0,NA
2003,21,2,0,NA
2003,22,1,2,317
2003,23,2,0,NA
2004,1,1,1,13505
2004,2,1,1,13505
2004,3,1,1,13505
2004,4,1,1,2574
2004,5,2,0,NA
2004,6,2,0,NA
2004,7,2,0,NA
2004,8,2,0,NA
2004,9,1,1,3
2004,10,1,1,17060
2004,11,2,0,NA
2004,12,2,0,NA
2004,13,2,0,NA
2004,14,2,0,NA
2004,15,2,0,NA
2004,16,2,0,NA
2004,17,1,1,730
2004,18,2,0,NA
2004,19,2,0,NA
2004,20,1,1,13505
2004,21,2,0,NA
2004,22,2,0,NA
2004,23,2,0,NA
2005,1,2,0,NA
2005,2,2,0,NA
2005,3,2,0,NA
2005,4,2,0,NA
2005,5,2,0,NA
2005,6,2,0,NA
2005,7,2,0,NA
2005,8,2,0,NA
2005,9,2,0,NA
2005,10,2,0,NA
2005,11,2,0,NA
2005,12,2,0,NA
2005,13,2,0,NA
2005,14,2,0,NA
2005,15,2,0,NA
2005,16,2,0,NA
2005,17,2,0,NA
2005,18,2,0,NA
2005,19,2,0,NA
2005,20,2,0,NA
2005,21,2,0,NA
2005,22,1,1,19
2005,23,2,0,NA
2006,1,1,2,10950
2006,2,1,2,96
2006,3,1,1,9125
