ubicageo_f,tipatrul_c,rnsnni1,totalca1,totalca2
1001,1,1,NSS,NSS
1001,2,1,NSS,NSS
1001,3,1,NSS,NSS
1001,4,1,NSS,NSS
1001,5,1,NSS,NSS
1001,6,1,NSS,NSS
1001,7,1,78,NSS
1001,8,1,NSS,NSS
1001,9,9,NSS,NSS
1002,1,1,NSS,NSS
1002,2,2,NA,NA
1002,3,1,NSS,NSS
1002,4,1,NSS,NSS
1002,5,2,NA,NA
1002,6,2,NA,NA
1002,7,2,NA,NA
1002,8,2,NA,NA
1002,9,2,NA,NA
1003,1,9,NSS,NSS
1003,2,9,NSS,NSS
1003,3,9,NSS,NSS
1003,4,9,NSS,NSS
1003,5,9,NSS,NSS
1003,6,9,NSS,NSS
1003,7,9,NSS,NSS
1003,8,9,NSS,NSS
1003,9,9,NSS,NSS
1004,1,2,NA,NA
1004,2,2,NA,NA
1004,3,1,NSS,NSS
1004,4,1,NSS,NSS
1004,5,2,NA,NA
1004,6,2,NA,NA
1004,7,2,NA,NA
1004,8,2,NA,NA
1004,9,2,NA,NA
1005,1,1,NSS,NSS
1005,2,2,NA,NA
1005,3,1,NSS,NSS
1005,4,1,NSS,NSS
1005,5,1,NSS,NSS
1005,6,1,NSS,NSS
1005,7,2,NA,NA
1005,8,2,NA,NA
1005,9,2,NA,NA
1006,1,2,NA,NA
1006,2,2,NA,NA
1006,3,2,NA,NA
1006,4,1,1800,NSS
1006,5,1,1487,NSS
1006,6,2,NA,NA
1006,7,2,NA,NA
1006,8,2,NA,NA
1006,9,2,NA,NA
1007,1,2,NA,NA
1007,2,2,NA,NA
1007,3,1,NSS,NSS
1007,4,1,NSS,NSS
1007,5,1,NSS,NSS
1007,6,1,NSS,NSS
1007,7,2,NA,NA
1007,8,2,NA,NA
1007,9,2,NA,NA
1008,1,2,NA,NA
1008,2,2,NA,NA
1008,3,1,1825,30000
1008,4,1,1825,30000
1008,5,1,730,2000
1008,6,2,NA,NA
1008,7,2,NA,NA
1008,8,2,NA,NA
1008,9,2,NA,NA
1009,1,2,NA,NA
1009,2,2,NA,NA
1009,3,2,NA,NA
1009,4,1,48545,766500
1009,5,2,NA,NA
1009,6,2,NA,NA
1009,7,2,NA,NA
1009,8,2,NA,NA
1009,9,2,NA,NA
1010,1,2,NA,NA
1010,2,2,NA,NA
1010,3,2,NA,NA
1010,4,1,14592,NSS
1010,5,2,NA,NA
1010,6,2,NA,NA
1010,7,2,NA,NA
1010,8,2,NA,NA
1010,9,2,NA,NA
1011,1,2,NA,NA
1011,2,2,NA,NA
1011,3,1,245,NSS
1011,4,1,380,NSS
1011,5,2,NA,NA
1011,6,2,NA,NA
1011,7,2,NA,NA
1011,8,2,NA,NA
1011,9,2,NA,NA
2001,1,2,NA,NA
2001,2,2,NA,NA
2001,3,1,94100,NSS
2001,4,1,115350,NSS
2001,5,1,51320,NSS
2001,6,1,21530,NSS
2001,7,2,NA,NA
2001,8,2,NA,NA
2001,9,2,NA,NA
2002,1,1,NSS,NSS
2002,2,2,NA,NA
2002,3,1,NSS,NSS
2002,4,1,NSS,NSS
2002,5,1,NSS,NSS
2002,6,1,NSS,NSS
2002,7,2,NA,NA
2002,8,1,NSS,NSS
2002,9,2,NA,NA
2003,1,2,NA,NA
2003,2,2,NA,NA
2003,3,2,NA,NA
2003,4,1,19000,NSS
2003,5,1,785,NSS
2003,6,2,NA,NA
2003,7,2,NA,NA
2003,8,2,NA,NA
2003,9,2,NA,NA
2004,1,1,778,NSS
2004,2,2,NA,NA
2004,3,1,696548,NSS
2004,4,2,NA,NA
2004,5,2,NA,NA
2004,6,1,NSS,NSS
2004,7,2,NA,NA
2004,8,2,NA,NA
2004,9,2,NA,NA
2005,1,1,120,NSS
2005,2,2,NA,NA
2005,3,1,2975,NSS
2005,4,1,3000,NSS
2005,5,1,2000,NSS
2005,6,2,NA,NA
2005,7,2,NA,NA
2005,8,2,NA,NA
2005,9,2,NA,NA
2006,1,2,NA,NA
2006,2,2,NA,NA
2006,3,1,37217,1860850
2006,4,2,NA,NA
2006,5,2,NA,NA
2006,6,2,NA,NA
2006,7,2,NA,NA
2006,8,2,NA,NA
2006,9,2,NA,NA
2007,1,2,NA,NA
2007,2,2,NA,NA
2007,3,1,NSS,NSS
2007,4,2,NA,NA
2007,5,2,NA,NA
2007,6,2,NA,NA
2007,7,2,NA,NA
2007,8,2,NA,NA
2007,9,2,NA,NA
3001,1,1,35,35
3001,2,2,NA,NA
3001,3,2,NA,NA
3001,4,1,1678,16780
3001,5,1,836,8360
3001,6,2,NA,NA
3001,7,2,NA,NA
3001,8,2,NA,NA
3001,9,2,NA,NA
3002,1,1,20,1
3002,2,2,NA,NA
3002,3,2,NA,NA
3002,4,1,30,50
3002,5,2,NA,NA
3002,6,2,NA,NA
3002,7,2,NA,NA
3002,8,2,NA,NA
3002,9,2,NA,NA
3003,1,1,NSS,NSS
3003,2,9,NSS,NSS
3003,3,1,NSS,NSS
3003,4,1,NSS,NSS
3003,5,1,NSS,NSS
3003,6,2,NA,NA
3003,7,9,NSS,NSS
3003,8,2,NA,NA
3003,9,2,NA,NA
3008,1,1,NSS,NSS
3008,2,2,NA,NA
3008,3,1,NSS,NSS
3008,4,1,NSS,NSS
3008,5,2,NA,NA
3008,6,2,NA,NA
3008,7,2,NA,NA
3008,8,2,NA,NA
3008,9,2,NA,NA
3009,1,2,NA,NA
3009,2,2,NA,NA
3009,3,1,730,36500
3009,4,1,1460,146000
3009,5,1,864,25920
3009,6,2,NA,NA
3009,7,2,NA,NA
3009,8,2,NA,NA
3009,9,2,NA,NA
4001,1,1,NSS,NSS
4001,2,2,NA,NA
4001,3,2,NA,NA
4001,4,1,1190,NSS
4001,5,1,NSS,NSS
4001,6,2,NA,NA
4001,7,2,NA,NA
4001,8,2,NA,NA
4001,9,2,NA,NA
4002,1,2,NA,NA
4002,2,2,NA,NA
4002,3,2,NA,NA
4002,4,2,NA,NA
4002,5,2,NA,NA
4002,6,2,NA,NA
4002,7,2,NA,NA
4002,8,2,NA,NA
4002,9,2,NA,NA
4003,1,2,NA,NA
4003,2,2,NA,NA
4003,3,1,365,261000
4003,4,1,365,583000
4003,5,1,365,252000
4003,6,2,NA,NA
4003,7,2,NA,NA
4003,8,2,NA,NA
4003,9,2,NA,NA
4004,1,1,365,3650
4004,2,2,NA,NA
4004,3,1,365,73000
4004,4,1,365,803000
4004,5,1,365,36500
4004,6,2,NA,NA
4004,7,2,NA,NA
4004,8,2,NA,NA
4004,9,2,NA,NA
4005,1,1,NSS,NSS
4005,2,2,NA,NA
4005,3,2,NA,NA
4005,4,1,NSS,NSS
4005,5,1,NSS,NSS
4005,6,2,NA,NA
4005,7,2,NA,NA
4005,8,2,NA,NA
4005,9,2,NA,NA
4006,1,1,365,NSS
4006,2,2,NA,NA
4006,3,2,NA,NA
4006,4,1,365,NSS
4006,5,1,150,NSS
4006,6,2,NA,NA
4006,7,2,NA,NA
4006,8,2,NA,NA
4006,9,2,NA,NA
4007,1,1,365,10200
4007,2,2,NA,NA
4007,3,2,NA,NA
4007,4,1,1420,357700
4007,5,1,450,51100
4007,6,2,NA,NA
4007,7,2,NA,NA
4007,8,2,NA,NA
4007,9,2,NA,NA
4008,1,1,45,25000
4008,2,2,NA,NA
4008,3,2,NA,NA
4008,4,1,365,45000
4008,5,2,NA,NA
4008,6,2,NA,NA
4008,7,2,NA,NA
4008,8,2,NA,NA
4008,9,9,NSS,NSS
4009,1,1,25,55000
4009,2,2,NA,NA
4009,3,2,NA,NA
4009,4,1,365,29200
4009,5,1,365,32850
4009,6,2,NA,NA
4009,7,2,NA,NA
4009,8,2,NA,NA
4009,9,2,NA,NA
4010,1,2,NA,NA
4010,2,2,NA,NA
4010,3,2,NA,NA
4010,4,1,365,NSS
4010,5,2,NA,NA
4010,6,2,NA,NA
4010,7,2,NA,NA
4010,8,2,NA,NA
4010,9,2,NA,NA
4011,1,2,NA,NA
4011,2,2,NA,NA
4011,3,2,NA,NA
4011,4,1,783,35687459
4011,5,2,NA,NA
4011,6,2,NA,NA
4011,7,2,NA,NA
4011,8,2,NA,NA
4011,9,2,NA,NA
4012,1,0,NA,NA
4012,2,0,NA,NA
4012,3,0,NA,NA
4012,4,0,NA,NA
4012,5,0,NA,NA
4012,6,0,NA,NA
4012,7,0,NA,NA
4012,8,0,NA,NA
4012,9,0,NA,NA
4013,1,0,NA,NA
4013,2,0,NA,NA
4013,3,0,NA,NA
4013,4,0,NA,NA
4013,5,0,NA,NA
4013,6,0,NA,NA
4013,7,0,NA,NA
4013,8,0,NA,NA
4013,9,0,NA,NA
5001,1,2,NA,NA
5001,2,2,NA,NA
5001,3,2,NA,NA
5001,4,1,730,25000
5001,5,2,NA,NA
5001,6,2,NA,NA
5001,7,2,NA,NA
5001,8,2,NA,NA
5001,9,9,NSS,NSS
5002,1,2,NA,NA
5002,2,2,NA,NA
5002,3,1,730,90000
5002,4,1,730,90000
5002,5,2,NA,NA
5002,6,2,NA,NA
5002,7,2,NA,NA
5002,8,2,NA,NA
5002,9,2,NA,NA
5003,1,2,NA,NA
5003,2,2,NA,NA
5003,3,1,730,NSS
5003,4,2,NA,NA
5003,5,2,NA,NA
5003,6,2,NA,NA
5003,7,2,NA,NA
5003,8,2,NA,NA
5003,9,2,NA,NA
5004,1,2,NA,NA
5004,2,2,NA,NA
5004,3,2,NA,NA
5004,4,1,40320,524160
5004,5,2,NA,NA
5004,6,2,NA,NA
5004,7,2,NA,NA
5004,8,2,NA,NA
5004,9,2,NA,NA
5005,1,2,NA,NA
5005,2,2,NA,NA
5005,3,2,NA,NA
5005,4,1,365,23725
5005,5,2,NA,NA
5005,6,2,NA,NA
5005,7,2,NA,NA
5005,8,2,NA,NA
5005,9,2,NA,NA
