fdesigna_m,descrip
0,No aplica
1,Persona presidenta municipal
2,"Persona presidenta municipal, con aprobación del Ayuntamiento"
3,Ayuntamiento
4,"Ayuntamiento, a propuesta de alguna instancia del Poder Ejecutivo municipal"
5,Sistema normativo indígena
6,Secretaría de Seguridad Pública u homóloga del municipio
7,Servicio Profesional de Carrera de personas juzgadoras cívicas
8,Otra forma de designación
9,No identificado
96,No publicable por el principio de confidencialidad o por reserva de información
97,No cuenta con elementos para responder
98,Información no disponible
