puebindi_j,descrip
0,No aplica
1,Chinanteco
2,Ch'ol
3,Cora
4,Huasteco
5,Huichol
6,Maya
7,Mayo
8,Mazahua
9,Mazateco
10,Mixe
11,Mixteco
12,Náhuatl
13,Otomí
14,Tarasco / Purépecha
15,Tarahumara
16,Tepehuano
17,Tlapaneco
18,Totonaco
19,Tseltal
20,Tsotsil
21,Yaqui
22,Zapoteco
23,Zoque
24,Otro pueblo indígena
25,Pueblo indígena no identificado
26,Ninguno
99,No identificado
996,No publicable por el principio de confidencialidad o por reserva de información
997,No cuenta con elementos para responder
998,Información no disponible
