rangingr_f,descrip
1,Sin paga
2,"De 1 a 5,000 pesos"
3,"De 5,001 a 10,000 pesos"
4,"De 10,001 a 15,000 pesos"
5,"De 15,001 a 20,000 pesos"
6,"De 20,001 a 25,000 pesos"
7,"De 25,001 a 30,000 pesos"
8,"De 30,001 a 35,000 pesos"
9,"De 35,001 a 40,000 pesos"
10,"De 40,001 a 45,000 pesos"
11,"De 45,001 a 50,000 pesos"
12,"De 50,001 a 55,000 pesos"
13,"De 55,001 a 60,000 pesos"
14,"De 60,001 a 65,000 pesos"
15,"De 65,001 a 70,000 pesos"
16,"Más de 70,000 pesos"
17,No identificado
99,No especificado
