ARCHIVO,CONTENIDO
m3s1p2,"Persona titular de la institución encargada de la función de seguridad pública, según características, al cierre del año 2022."
m3s1p3,"Personal adscrito a la institución encargada de la función de seguridad pública, según grado de organización jerárquica y sexo, al cierre del año 2022."
m3s1p4,"Personal adscrito a la institución encargada de la función de seguridad pública, según régimen de contratación, grado de organización jerárquica y sexo, al cierre del año 2022."
m3s1p5,"Personal adscrito a la institución encargada de la función de seguridad pública, según Institución de seguridad social, grado de organización jerárquica y sexo, al cierre del año 2022."
m3s1p6,"Personal adscrito a la institución encargada de la función de seguridad pública, según rango de edad, grado de organización jerárquica y sexo, al cierre del año 2022."
m3s1p7,"Personal adscrito a la institución encargada de la función de seguridad pública, según rango de ingresos, grado de organización jerárquica y sexo, al cierre del año 2022."
m3s1p8,"Personal adscrito a la institución encargada de la función de seguridad pública, según nivel de escolaridad, grado de organización jerárquica y sexo, al cierre del año 2022."
m3s1p9,"Personal adscrito a la institución encargada de la función de seguridad pública, según pueblo indígena de pertenencia, grado de organización jerárquica y sexo, al cierre del año 2022."
m3s1p10,"Personal adscrito a la institución encargada de la función de seguridad pública, según estado civil, grado de organización jerárquica y sexo, al cierre del año 2022."
m3s1p11,"Personal adscrito a la institución encargada de la función de seguridad pública, según condición de tener hijas y/o hijos, grado de organización jerárquica y sexo, al cierre del año 2022."
m3s1p12,"Personal adscrito a la institución encargada de la función de seguridad pública, según tipo de organización policial, grado de organización jerárquica y sexo, al cierre del año 2022."
m3s1p13,"Personal adscrito a la institución encargada de la función de seguridad pública que provenía de alguna otra institución de seguridad, según institución de seguridad de procedencia, grado de organización jerárquica y sexo, al cierre del año 2022."
m3s1p14,"Personal adscrito a las corporaciones policiales de la institución encargada de la función de seguridad pública, según función y sexo, al cierre del año 2022."
m3s1p15,"Elementos de instituciones de seguridad pública del ámbito federal que desempeñaban funciones de seguridad pública del municipio, según tipo de institución y periodo de asignación, al cierre del año 2022."
