ubicageo_f,funcsepu_a,sexostt,sexos1,sexos2
1001,1,0,0,0
1001,2,3,0,3
1001,3,23,14,9
1001,4,NSS,NSS,NSS
1002,1,0,0,0
1002,2,59,44,15
1002,3,0,0,0
1002,4,0,0,0
1003,1,0,0,0
1003,2,52,41,11
1003,3,52,41,11
1003,4,8,7,1
1004,1,0,0,0
1004,2,30,18,12
1004,3,0,0,0
1004,4,0,0,0
1005,1,0,0,0
1005,2,151,108,43
1005,3,2,1,1
1005,4,14,11,3
1006,1,0,0,0
1006,2,1,0,1
1006,3,48,22,26
1006,4,6,3,3
1007,1,0,0,0
1007,2,0,0,0
1007,3,66,49,17
1007,4,0,0,0
1008,1,0,0,0
1008,2,26,14,12
1008,3,0,0,0
1008,4,0,0,0
1009,1,0,0,0
1009,2,22,17,5
1009,3,0,0,0
1009,4,0,0,0
1010,1,0,0,0
1010,2,0,0,0
1010,3,44,31,13
1010,4,0,0,0
1011,1,0,0,0
1011,2,3,2,1
1011,3,60,30,30
1011,4,0,0,0
2001,1,NSS,NSS,NSS
2001,2,809,618,191
2001,3,NSS,NSS,NSS
2001,4,NSS,NSS,NSS
2002,1,0,0,0
2002,2,85,46,39
2002,3,9,6,3
2002,4,0,0,0
2003,1,0,0,0
2003,2,189,152,37
2003,3,0,0,0
2003,4,0,0,0
2004,1,0,0,0
2004,2,2453,2049,404
2004,3,0,0,0
2004,4,0,0,0
2005,1,0,0,0
2005,2,171,154,17
2005,3,0,0,0
2005,4,0,0,0
2006,1,0,0,0
2006,2,67,61,6
2006,3,2,1,1
2006,4,0,0,0
2007,1,0,0,0
2007,2,45,29,16
2007,3,0,0,0
2007,4,0,0,0
3001,1,0,0,0
3001,2,246,196,50
3001,3,0,0,0
3001,4,0,0,0
3002,1,0,0,0
3002,2,137,106,31
3002,3,0,0,0
3002,4,0,0,0
3003,1,0,0,0
3003,2,23,12,11
3003,3,426,341,85
3003,4,4,4,0
3008,1,0,0,0
3008,2,522,385,137
3008,3,0,0,0
3008,4,0,0,0
3009,1,0,0,0
3009,2,58,44,14
3009,3,0,0,0
3009,4,5,4,1
4001,1,0,0,0
4001,2,48,45,3
4001,3,0,0,0
4001,4,0,0,0
4002,1,0,0,0
4002,2,0,0,0
4002,3,0,0,0
4002,4,0,0,0
4003,1,0,0,0
4003,2,0,0,0
4003,3,0,0,0
4003,4,8,8,0
4004,1,0,0,0
4004,2,0,0,0
4004,3,0,0,0
4004,4,0,0,0
4005,1,0,0,0
4005,2,0,0,0
4005,3,0,0,0
4005,4,0,0,0
4006,1,0,0,0
4006,2,37,37,0
4006,3,0,0,0
4006,4,0,0,0
4007,1,0,0,0
4007,2,38,33,5
4007,3,0,0,0
4007,4,0,0,0
4008,1,0,0,0
4008,2,0,0,0
4008,3,0,0,0
4008,4,0,0,0
4009,1,0,0,0
4009,2,0,0,0
4009,3,0,0,0
4009,4,0,0,0
4010,1,0,0,0
4010,2,0,0,0
4010,3,0,0,0
4010,4,0,0,0
4011,1,0,0,0
4011,2,26,26,0
4011,3,0,0,0
4011,4,0,0,0
4012,1,NA,NA,NA
4012,2,NA,NA,NA
4012,3,NA,NA,NA
4012,4,NA,NA,NA
4013,1,NA,NA,NA
4013,2,NA,NA,NA
4013,3,NA,NA,NA
4013,4,NA,NA,NA
5001,1,0,0,0
5001,2,3,3,0
5001,3,0,0,0
5001,4,0,0,0
5002,1,0,0,0
5002,2,111,70,41
5002,3,3,0,3
5002,4,0,0,0
5003,1,0,0,0
5003,2,3,1,2
5003,3,0,0,0
5003,4,0,0,0
5004,1,0,0,0
5004,2,48,36,12
5004,3,2,0,2
5004,4,0,0,0
5005,1,0,0,0
5005,2,3,2,1
5005,3,0,0,0
5005,4,0,0,0
5006,1,0,0,0
5006,2,27,17,10
5006,3,0,0,0
5006,4,1,1,0
5007,1,0,0,0
5007,2,0,0,0
5007,3,13,10,3
5007,4,0,0,0
5008,1,NA,NA,NA
5008,2,NA,NA,NA
5008,3,NA,NA,NA
5008,4,NA,NA,NA
5009,1,0,0,0
5009,2,0,0,0
5009,3,69,50,19
5009,4,0,0,0
5010,1,0,0,0
5010,2,70,58,12
5010,3,0,0,0
5010,4,0,0,0
5011,1,0,0,0
5011,2,12,7,5
5011,3,0,0,0
5011,4,0,0,0
5012,1,NA,NA,NA
5012,2,NA,NA,NA
5012,3,NA,NA,NA
5012,4,NA,NA,NA
5013,1,NA,NA,NA
5013,2,NA,NA,NA
5013,3,NA,NA,NA
5013,4,NA,NA,NA
5014,1,0,0,0
5014,2,12,10,2
5014,3,0,0,0
5014,4,0,0,0
5015,1,NA,NA,NA
5015,2,NA,NA,NA
5015,3,NA,NA,NA
5015,4,NA,NA,NA
5016,1,0,0,0
5016,2,6,5,1
5016,3,0,0,0
5016,4,0,0,0
5017,1,0,0,0
