ubicageo_f,nombre1,sexo_i,edades,totalca1,gdoestud_k,estagrad_e,institsp_c,antigu_a,antigu_b,puebindi_j,fdesigna_m
1001,SECRETARIA DE SEGURIDAD PUBLICA MUNICIPAL DE AGUASCALIENTES,1,54,92012,7,4,21,6,5,26,2
1002,DIRECCION DE SEGURIDAD PUBLICA Y MOVILIDAD,1,55,15994.14,9,9,20,9,2,26,6
1003,SECRETARIA DE SEGURIDAD PUBLICA Y VIALIDAD DEL MUNICIPIO DE CALVILLO,1,44,30935.6,5,3,10,25,0,26,6
1004,DIRECCION DE SEGURIDAD PUBLICA Y VIALIDAD DEL MUNICIPIO DE COSIO,1,35,NSS,5,4,9,NSS,2,26,2
1005,SECRETARIA DE SEGURIDAD PUBLICA Y VIALIDAD DE JESUS MARIA,2,41,19957.8,6,4,5,1,1,26,2
1006,DIRECCION DE SEGURIDAD PUBLICA Y MOVILIDAD MUNICIPAL DE PABELLON DE ARTEAGA AGUASCALIENTES,1,39,42496.5,6,3,9,19,0,26,6
1007,DIRECCION DE SEGURIDAD PUBLICA Y MOVILIDAD,1,41,26000,6,4,9,9,0,26,6
1008,DIRECCION DE SEGURIDAD PUBLICA Y MOVILIDAD MUNICIPAL,1,40,32000,7,1,9,22,3,26,6
1009,DIRECCION DE SEGURIDAD PUBLICA Y MOVILIDAD,1,44,8000,5,3,9,19,1,26,6
1010,DIRECCION DE SEGURIDAD PUBLICA Y VIALIDAD,1,37,24500,5,3,9,12,3,26,6
1011,DIRECCION DE SEGURIDAD PUBLICA Y MOVILIDAD MUNICIPAL,1,42,31386,6,4,9,18,0,26,6
2001,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,50,47940.94,4,3,1,35,2,26,2
2002,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL DE MEXICALI BAJA CALIFORNIA,1,51,75000,7,4,13,4,1,26,3
2003,DIRECCION DE SEGURIDAD CIUDADANA Y TRANSITO MUNICIPAL,2,47,66000,6,4,23,2,1,26,2
2004,SECRETARIA DE SEGURIDAD Y PROTECCION CIUDADANA MUNICIPAL,1,52,110000,6,4,5,30,1,26,2
2005,SECRETARIA DE SEGURIDAD CIUDADANA,1,64,86000,8,1,5,4,3,26,2
2006,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,56,69539,6,4,17,30,1,26,4
2007,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL DEL CONCEJO FUNDACIONAL MUNICIPAL DEL MUNICIPIO DE SAN FELIPE DE BAJA CALIFORNIA,1,41,24000,6,4,2,21,21,26,2
3001,DIRECCION DE SEGURIDAD PUBLICA POLICIA PREVENTIVA Y TRANSITO MUNICIPAL DE COMONDU,1,42,30000,6,4,2,1,1,26,1
3002,DIRECCION GENERAL DE SEGURIDAD PUBLICA POLICIA PREVENTIVA Y TRANSITO MUNICIPAL,1,43,34324.88,6,4,2,22,1,26,6
3003,DIRECCION GENERAL SEGURIDAD PUBLICA POLICIA PREVENTIVA Y TRANSITO MUNICIPAL,2,31,52740,6,3,2,3,1,26,2
3008,DIRECCION GENERAL DE SEGURIDAD PUBLICA POLICIA PREVENTIVA Y TRANSITO MUNICIPAL,1,37,52000,7,4,2,19,0,23,4
3009,DIRECCION DE SEGURIDAD PUBLICA Y TRANSITO MUNICIPAL DE LORETO B C S,1,40,30000,6,3,2,22,1,26,2
4001,DIRECCION DE SEGURIDAD PUBLICA Y TRANSITO MUNICIPAL,2,33,21754,6,4,22,1,1,6,2
4002,SECRETARIA DE PROTECCION Y SEGURIDAD CIUDADANA DEL ESTADO DE CAMPECHE,2,51,120721.42,7,4,10,13,1,26,8
4003,SEGURIDAD PUBLICA VIALIDAD Y TRANSITO,2,31,59283.78,7,4,20,4,1,26,1
4004,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,40,16244.56,4,3,5,15,0,26,6
4005,SECRETARIA DE SEGURIDAD PUBLICA DE HECELCHAKAN,1,45,16000,4,3,5,16,2,99,6
4006,DIRECCION DE SEGURIDAD PUBLICA,1,42,15631,4,3,5,17,9,26,9
4007,SEGURIDAD PUBLICA,1,66,33999.3,6,4,5,3,1,6,6
4008,DIRECCION DE SEGURIDAD PUBLICA Y TRANSITO,1,42,16000,4,2,5,15,15,99,6
