ubicageo_f,gradorga_b,sexostt,sexos1,sexos2,sexosne
1001,11,1,1,0,
1001,12,0,0,0,
1001,13,0,0,0,
1001,21,0,0,0,
1001,22,0,0,0,
1001,23,0,0,0,
1001,31,0,0,0,
1001,32,2,2,0,
1001,33,8,8,0,
1001,41,22,22,0,
1001,42,72,69,3,
1001,43,252,206,46,
1001,44,945,690,255,
1001,50,0,0,0,
1001,60,47,40,7,
1001,70,0,0,0,
1002,11,0,0,0,
1002,12,0,0,0,
1002,13,0,0,0,
1002,21,0,0,0,
1002,22,0,0,0,
1002,23,0,0,0,
1002,31,0,0,0,
1002,32,1,1,0,
1002,33,3,3,0,
1002,41,4,4,0,
1002,42,29,21,8,
1002,43,9,5,4,
1002,44,13,10,3,
1002,50,0,0,0,
1002,60,0,0,0,
1002,70,0,0,0,
1003,11,0,0,0,
1003,12,0,0,0,
1003,13,0,0,0,
1003,21,0,0,0,
1003,22,0,0,0,
1003,23,0,0,0,
1003,31,0,0,0,
1003,32,0,0,0,
1003,33,0,0,0,
1003,41,3,3,0,
1003,42,5,5,0,
1003,43,15,13,2,
1003,44,29,20,9,
1003,50,0,0,0,
1003,60,0,0,0,
1003,70,0,0,0,
1004,11,0,0,0,
1004,12,0,0,0,
1004,13,0,0,0,
1004,21,0,0,0,
1004,22,0,0,0,
1004,23,1,1,0,
1004,31,2,2,0,
1004,32,7,4,3,
1004,33,20,11,9,
1004,41,0,0,0,
1004,42,0,0,0,
1004,43,0,0,0,
1004,44,0,0,0,
1004,50,0,0,0,
1004,60,0,0,0,
1004,70,0,0,0,
1005,11,0,0,0,
1005,12,0,0,0,
1005,13,0,0,0,
1005,21,0,0,0,
1005,22,0,0,0,
1005,23,0,0,0,
1005,31,0,0,0,
1005,32,0,0,0,
1005,33,1,1,0,
1005,41,2,2,0,
1005,42,13,13,0,
1005,43,23,21,2,
1005,44,128,83,45,
1005,50,0,0,0,
1005,60,0,0,0,
1005,70,0,0,0,
1006,11,0,0,0,
1006,12,0,0,0,
1006,13,0,0,0,
1006,21,0,0,0,
1006,22,0,0,0,
1006,23,0,0,0,
1006,31,0,0,0,
1006,32,0,0,0,
1006,33,0,0,0,
1006,41,2,2,0,
1006,42,8,5,3,
1006,43,20,9,11,
1006,44,25,9,16,
1006,50,0,0,0,
1006,60,10,2,8,
1006,70,0,0,0,
1007,11,0,0,0,
1007,12,0,0,0,
1007,13,0,0,0,
1007,21,0,0,0,
1007,22,0,0,0,
1007,23,0,0,0,
1007,31,0,0,0,
1007,32,0,0,0,
1007,33,0,0,0,
1007,41,1,1,0,
1007,42,7,7,0,
1007,43,13,11,2,
1007,44,45,30,15,
1007,50,0,0,0,
1007,60,0,0,0,
1007,70,0,0,0,
1008,11,0,0,0,
1008,12,0,0,0,
1008,13,0,0,0,
1008,21,0,0,0,
1008,22,0,0,0,
1008,23,0,0,0,
1008,31,1,1,0,
1008,32,0,0,0,
1008,33,1,1,0,
1008,41,0,0,0,
1008,42,0,0,0,
1008,43,3,3,0,
1008,44,23,11,12,
1008,50,0,0,0,
1008,60,1,0,1,
1008,70,0,0,0,
1009,11,0,0,0,
1009,12,0,0,0,
1009,13,0,0,0,
1009,21,0,0,0,
1009,22,0,0,0,
1009,23,0,0,0,
1009,31,1,1,0,
1009,32,0,0,0,
1009,33,1,1,0,
1009,41,5,5,0,
1009,42,4,4,0,
1009,43,9,8,1,
1009,44,9,5,4,
1009,50,0,0,0,
1009,60,7,2,5,
1009,70,0,0,0,
1010,11,0,0,0,
1010,12,0,0,0,
1010,13,0,0,0,
