ubicageo_f,gdoestud_a,graojtt,graoj1,graoj2,graojnt,graojs1,graoj3,graoj4,graojs2,graoj6,graoj7,graojs3,graoj9,graoj10,graojs4,graoj12,graoj13,graojs5,graoj15,graoj16,graojs6,graoj18,graoj19,graojs7,graoj21,graoj22,graojs8,graoj24,graoj25,graojs9,graoj27,graoj28,graojs10,graoj30,graoj31,graojs11,graoj33,graoj34,graojs12,graoj36,graoj37,graojs13,graoj39,graoj40,graojs14,graoj42,graoj43,graojs15,graoj45,graoj46,graojs16,graoj48,graoj49,graoj50
1001,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1001,2,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1001,3,675,518,157,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,4,4,0,23,23,0,84,70,14,535,394,141,0,0,0,27,25,2,0,0,0,
1001,4,562,438,124,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,12,12,0,36,35,1,141,116,25,353,258,95,0,0,0,17,14,3,0,0,0,
1001,5,58,46,12,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,3,0,9,8,1,12,10,2,32,24,8,0,0,0,1,0,1,0,0,0,
1001,6,53,36,17,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,3,3,0,4,3,1,14,10,4,25,14,11,0,0,0,2,1,1,0,0,0,
1001,7,1,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
1001,8,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1001,9,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1001,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
