ARCHIVO,CONTENIDO
m3s1p43,"Personal adscrito a la institución encargada de la función de seguridad pública lesionado, según sexo, en los años 2021 y 2022."
m3s1p44a,"Personal adscrito a la institución encargada de la función de seguridad pública lesionado, según rango de edad, grado de organización jerárquica y sexo, durante el año 2021."
m3s1p44b,"Personal adscrito a la institución encargada de la función de seguridad pública lesionado, según rango de edad, grado de organización jerárquica y sexo, durante el año 2022."
m3s1p45,"Personal adscrito a la institución encargada de la función de seguridad pública lesionado, según número de veces que fue lesionado, grado de organización jerárquica y sexo, durante el año 2022."
m3s1p46,"Personal adscrito a la institución encargada de la función de seguridad pública lesionado, según tipo de incapacidad recibida, grado de organización jerárquica y sexo, durante el año 2022."
m3s1p47,"Personal adscrito a la institución encargada de la función de seguridad pública fallecido, según sexo, durante los años 2021 y 2022."
m3s1p48a,"Personal adscrito a la institución encargada de la función de seguridad pública fallecido, según rango de edad, grado de organización jerárquica y sexo, durante el año 2021."
m3s1p48b,"Personal adscrito a la institución encargada de la función de seguridad pública fallecido, según rango de edad, grado de organización jerárquica y sexo, durante el año 2022."
m3s1p49a,"Personal adscrito a la institución encargada de la función de seguridad pública fallecido, según momento del fallecimiento, grado de organización jerárquica y sexo, durante el año 2021."
m3s1p49b,"Personal adscrito a la institución encargada de la función de seguridad pública fallecido, según momento del fallecimiento, grado de organización jerárquica y sexo, durante el año 2022."
m3s1p50a,"Personal adscrito a la institución encargada de la función de seguridad pública fallecido, según causa del fallecimiento, grado de organización jerárquica y sexo, durante el año 2021."
m3s1p50b,"Personal adscrito a la institución encargada de la función de seguridad pública fallecido, según causa del fallecimiento, grado de organización jerárquica y sexo, durante el año 2022."
m3s1p51,"Personal adscrito a la institución encargada de la función de seguridad pública fallecido por COVID-19, según grado de organización jerárquica y sexo, durante el año 2021."
m3s1p52,"Personal adscrito a la institución encargada de la función de seguridad pública fallecido por homicidio o suicidio, según instrumento utilizado para la comisión y sexo, durante el año 2022."
m3s1p53,"Personal adscrito a la institución encargada de la función de seguridad pública fallecido durante la jornada laboral, según evento asociado al fallecimiento, grado de organización jerárquica y sexo, durante el año 2022."
m3s1p54,"Personal adscrito a la institución encargada de la función de seguridad pública desaparecido y/o no localizado, según sexo, durante los años 2021 y 2022."
m3s1p55a,"Personal adscrito a la institución encargada de la función de seguridad pública desaparecido y/o no localizado, según estatus, grado de organización jerárquica y sexo, durante el año 2021."
m3s1p55b,"Personal adscrito a la institución encargada de la función de seguridad pública desaparecido y/o no localizado, según estatus, grado de organización jerárquica y sexo, durante el año 2022."
