ubicageo_f,aniorefe_b,rnsnni1,sexostt,sexos1,sexos2
1001,1,9,NSS,NSS,NSS
1001,2,9,NSS,NSS,NSS
1002,1,2,NA,NA,NA
1002,2,2,NA,NA,NA
1003,1,1,1,1,0
1003,2,2,NA,NA,NA
1004,1,1,1,1,0
1004,2,2,NA,NA,NA
1005,1,1,3,1,2
1005,2,1,3,2,1
1006,1,1,2,1,1
1006,2,1,3,1,2
1007,1,2,NA,NA,NA
1007,2,2,NA,NA,NA
1008,1,1,1,0,1
1008,2,2,NA,NA,NA
1009,1,2,NA,NA,NA
1009,2,2,NA,NA,NA
1010,1,2,NA,NA,NA
1010,2,2,NA,NA,NA
1011,1,2,NA,NA,NA
1011,2,2,NA,NA,NA
2001,1,2,NA,NA,NA
2001,2,2,NA,NA,NA
2002,1,2,NA,NA,NA
2002,2,2,NA,NA,NA
2003,1,2,NA,NA,NA
2003,2,2,NA,NA,NA
2004,1,1,43,35,8
2004,2,1,42,34,8
2005,1,2,NA,NA,NA
2005,2,2,NA,NA,NA
2006,1,2,NA,NA,NA
2006,2,2,NA,NA,NA
2007,1,2,NA,NA,NA
2007,2,2,NA,NA,NA
3001,1,2,NA,NA,NA
3001,2,1,3,3,0
3002,1,9,NSS,NSS,NSS
3002,2,9,NSS,NSS,NSS
3003,1,1,8,5,3
3003,2,1,10,5,5
3008,1,2,NA,NA,NA
3008,2,2,NA,NA,NA
3009,1,2,NA,NA,NA
3009,2,2,NA,NA,NA
4001,1,2,NA,NA,NA
4001,2,2,NA,NA,NA
4002,1,2,NA,NA,NA
4002,2,2,NA,NA,NA
4003,1,2,NA,NA,NA
4003,2,1,13,12,1
4004,1,2,NA,NA,NA
4004,2,2,NA,NA,NA
4005,1,2,NA,NA,NA
4005,2,2,NA,NA,NA
4006,1,2,NA,NA,NA
4006,2,2,NA,NA,NA
4007,1,2,NA,NA,NA
4007,2,2,NA,NA,NA
4008,1,2,NA,NA,NA
4008,2,2,NA,NA,NA
4009,1,2,NA,NA,NA
4009,2,2,NA,NA,NA
4010,1,2,NA,NA,NA
4010,2,2,NA,NA,NA
4011,1,2,NA,NA,NA
4011,2,2,NA,NA,NA
4012,1,0,NA,NA,NA
4012,2,0,NA,NA,NA
4013,1,0,NA,NA,NA
4013,2,0,NA,NA,NA
5001,1,2,NA,NA,NA
5001,2,2,NA,NA,NA
5002,1,2,NA,NA,NA
5002,2,2,NA,NA,NA
5003,1,2,NA,NA,NA
5003,2,2,NA,NA,NA
5004,1,2,NA,NA,NA
5004,2,2,NA,NA,NA
5005,1,2,NA,NA,NA
5005,2,2,NA,NA,NA
5006,1,2,NA,NA,NA
5006,2,2,NA,NA,NA
5007,1,1,2,2,0
5007,2,2,NA,NA,NA
5008,1,0,NA,NA,NA
