COLUMNA,DESCRIPCION,ORIGEN,TIPO_DATO,LONGITUD,CODIGO_VALIDO
ubicageo_f,Municipio,SECC I. 50,Numérico,5,0 al 99999
cafallec_d,Causa del fallecimiento,SECC I. 50,Numérico,2,11 al 99
graojtt,Total,SECC I. 50,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
graoj1,Total - Hombres,SECC I. 50,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
graoj2,Total - Mujeres,SECC I. 50,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
graojs1,Comisarios - Comisario General - Subtotal,SECC I. 50,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
graoj3,Comisarios - Comisario General - Hombres,SECC I. 50,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
graoj4,Comisarios - Comisario General - Mujeres,SECC I. 50,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
graojs2,Comisarios - Comisario Jefe - Subtotal,SECC I. 50,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
graoj6,Comisarios - Comisario Jefe - Hombres,SECC I. 50,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
graoj7,Comisarios - Comisario Jefe - Mujeres,SECC I. 50,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
graojs3,Comisarios - Comisario - Subtotal,SECC I. 50,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
graoj9,Comisarios - Comisario - Hombres,SECC I. 50,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
graoj10,Comisarios - Comisario - Mujeres,SECC I. 50,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
graojs4,Inspectores - Inspector General - Subtotal,SECC I. 50,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
graoj12,Inspectores - Inspector General - Hombres,SECC I. 50,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
graoj13,Inspectores - Inspector General - Mujeres,SECC I. 50,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
graojs5,Inspectores - Inspector Jefe - Subtotal,SECC I. 50,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
graoj15,Inspectores - Inspector Jefe - Hombres,SECC I. 50,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
graoj16,Inspectores - Inspector Jefe - Mujeres,SECC I. 50,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
graojs6,Inspectores - Inspector - Subtotal,SECC I. 50,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
graoj18,Inspectores - Inspector - Hombres,SECC I. 50,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
graoj19,Inspectores - Inspector - Mujeres,SECC I. 50,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
graojs7,Oficiales - Subinspector - Subtotal,SECC I. 50,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
graoj21,Oficiales - Subinspector - Hombres,SECC I. 50,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
graoj22,Oficiales - Subinspector - Mujeres,SECC I. 50,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
graojs8,Oficiales - Oficial - Subtotal,SECC I. 50,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
graoj24,Oficiales - Oficial - Hombres,SECC I. 50,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
graoj25,Oficiales - Oficial - Mujeres,SECC I. 50,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
graojs9,Oficiales - Suboficial - Subtotal,SECC I. 50,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
graoj27,Oficiales - Suboficial - Hombres,SECC I. 50,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
graoj28,Oficiales - Suboficial - Mujeres,SECC I. 50,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
graojs10,Escala básica - Policía Primero - Subtotal,SECC I. 50,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
graoj30,Escala básica - Policía Primero - Hombres,SECC I. 50,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
graoj31,Escala básica - Policía Primero - Mujeres,SECC I. 50,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
graojs11,Escala básica - Policía Segundo - Subtotal,SECC I. 50,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
graoj33,Escala básica - Policía Segundo - Hombres,SECC I. 50,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
graoj34,Escala básica - Policía Segundo - Mujeres,SECC I. 50,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
graojs12,Escala básica - Policía Tercero - Subtotal,SECC I. 50,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
graoj36,Escala básica - Policía Tercero - Hombres,SECC I. 50,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
graoj37,Escala básica - Policía Tercero - Mujeres,SECC I. 50,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
graojs13,Escala básica - Policía - Subtotal,SECC I. 50,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
