faltcivi_e,descrip
10100,Conducir vehículos en estado de ebriedad o drogado
10200,Consumir bebidas embriagantes en la vía o lugares públicos
10300,Consumir sustancias que provocan dependencia en la vía o lugares públicos
10301,Consumir sustancias que provocan dependencia en la vía o lugares públicos - Consumir cocaína y sus derivados en la vía o lugares públicos
10302,Consumir sustancias que provocan dependencia en la vía o lugares públicos - Consumir mariguana y sus derivados en la vía o lugares públicos
10303,Consumir sustancias que provocan dependencia en la vía o lugares públicos - Consumir opiáceos y sus derivados en la vía o lugares públicos
10304,Consumir sustancias que provocan dependencia en la vía o lugares públicos - Consumir sustancias psicotrópicas en la vía o lugares públicos
10305,Consumir sustancias que provocan dependencia en la vía o lugares públicos - Consumir sustancias alucinógenas en la vía o lugares públicos
10306,Consumir sustancias que provocan dependencia en la vía o lugares públicos - Consumir sustancias inhalables en la vía o lugares públicos
10307,Consumir sustancias que provocan dependencia en la vía o lugares públicos - Consumir otras sustancias que provocan dependencia en la vía o lugares públicos
10308,Consumir sustancias que provocan dependencia en la vía o lugares públicos - No identificado
10399,Consumir sustancias que provocan dependencia en la vía o lugares públicos - No especificado
10400,Fumar en lugares prohibidos
10500,Otras faltas cívicas relacionadas con la afectación al bienestar colectivo por el consumo y/o suministro de sustancias nocivas
20100,Deambular en estado de ebriedad o drogado ocasionando molestias a las personas o a sus bienes
20200,Generar escándalos o ruidos que atenten contra la tranquilidad o salud de las personas
20300,Obstruir con cualquier objeto la entrada o salida de cualquier inmueble
20400,Incitar o provocar a reñir a una o más personas
20500,Invadir o impedir el uso de bienes de uso común
20600,Prestar algún servicio sin ser solicitado y coaccionar por el pago del mismo
20700,Promover o ejercer la prostitución
20800,Sostener relaciones sexuales o realizar actos exhibicionistas en la vía o lugares públicos
20900,Otras faltas cívicas relacionadas con la afectación a la tranquilidad y convivencia social
30100,Alterar el orden en espectáculos y/o eventos deportivos
30200,Causar daño a bienes con motivo del tránsito de vehículos
30300,Causar pánico o terror colectivo
30400,Disparar al aire un arma de fuego
30500,Faltar al respeto a las ceremonias cívicas o desacato a los símbolos patrios
30600,"Formar parte de grupos que vandalicen, causen molestias o disturbios en la vía o lugares públicos"
30700,Impedir el actuar de cualquier autoridad en el ejercicio de su deber
30701,Impedir el actuar de cualquier autoridad en el ejercicio de su deber - Insultar a cualquier autoridad
30702,Impedir el actuar de cualquier autoridad en el ejercicio de su deber - Agredir físicamente a cualquier autoridad
30703,Impedir el actuar de cualquier autoridad en el ejercicio de su deber - Oponer resistencia a la labor de cualquier autoridad
30704,Impedir el actuar de cualquier autoridad en el ejercicio de su deber - Otras acciones u omisiones que impidan el actuar de cualquier autoridad en el ejercicio de su deber
30705,Impedir el actuar de cualquier autoridad en el ejercicio de su deber - No identificado
30799,Impedir el actuar de cualquier autoridad en el ejercicio de su deber - No especificado
30800,"Impedir el uso de la vía pública y/o la libertad de tránsito de las personas, sin causa justificada"
30900,Ingresar a zonas restringidas sin autorización o fuera del horario permitido
31000,Ocupar sin autorización los accesos de oficinas públicas o sus inmediaciones para ofrecer la realización de trámites
31100,Participar en competencias vehiculares en lugares no permitidos
31200,"Portar o utilizar objetos peligrosos que puedan causar daño, sin adoptar las medidas de seguridad necesarias"
31300,Reventa de boletos
31400,"Solicitar mediante hechos falsos, el auxilio de servicios de emergencia"
31500,Utilizar indebidamente o impedir el funcionamiento de los servicios públicos
31600,Otras faltas cívicas relacionadas con la afectación a la seguridad ciudadana y al orden público
40100,Agredir verbalmente a cualquier persona
40200,Amenazar a cualquier persona
40300,Asumir comportamientos discriminatorios y/o irrespetuosos que denigren la dignidad de las personas
40400,"Inducir u obligar a cualquier persona a ejercer la mendicidad, vagancia y/o mal vivencia"
40500,Lesionar a cualquier persona
40600,Acosar a las personas con comportamientos y/o expresiones sexuales
40700,Permitir a menores de edad el acceso a establecimientos prohibidos
40800,Reñir con una o más personas
40900,Golpear sin causar lesión o maltratar a cualquier persona
41000,Otras faltas cívicas relacionadas con la afectación a la dignidad de las personas
50100,Abandonar vehículos o acumular chatarra en la vía o lugares públicos
50200,Abstenerse de recoger las heces fecales de las mascotas en la vía o lugares públicos
50300,Colocar sin autorización puestos ambulantes o instrumentos comerciales en las banquetas o vías de circulación vehicular
50400,Desperdiciar o contaminar el agua
50500,"Detonar, almacenar o encender cohetes, fuegos artificiales o cualquier otro producto explosivo"
50600,"Maltratar, rayar o ensuciar los bienes particulares"
50700,"Maltratar, rayar o ensuciar los bienes de dominio público"
50800,"Borrar, remover o alterar los letreros y/o señalamientos oficiales"
50900,"Mantener terrenos o inmuebles inhabitados con plagas, basura o maleza que afecten a los miembros de la comunidad"
51000,Pegar anuncios o colocar propaganda sin autorización
51100,"Prender fogatas, quemar pastizales, basura, llantas o cualquier desecho"
51200,Orinar o defecar en lugares no permitidos
51300,"Tirar basura, arrojar desechos, derramar sustancias o residuos contaminantes en la vía pública o en lugares no autorizados"
51400,Otras faltas cívicas relacionadas con la afectación al entorno urbano y medio ambiente
60100,Abandonar animales en la vía pública
60200,Poseer animales sin adoptar medidas de seguridad para prevenir agresiones o azuzarlos para que ataquen
60300,"Maltratar, golpear, mutilar o cometer actos de crueldad hacia cualquier animal"
60400,Participar u organizar peleas de animales
60500,Poseer animales sin adoptar medidas de higiene adecuadas
60600,Otras faltas cívicas relacionadas con la afectación a la seguridad y trato digno de los animales
70100,Otras faltas cívicas
80100,No identificado
999999,No especificado
