tipdelit_e,descrip
10100,Homicidio
10200,Feminicidio
10300,Aborto
10400,Lesiones
10500,Otros delitos que atentan contra la vida y la integridad corporal
19999,No especificado
20100,Privación de la libertad
20200,Tráfico de menores
20300,Retención o sustracción de menores e incapaces
20400,Rapto
20500,Desaparición forzada de personas
20600,Secuestro
20601,Secuestro - Secuestro extorsivo
20602,Secuestro - Secuestro en calidad de rehén
20603,Secuestro - Secuestro para causar daño
20604,Secuestro - Secuestro exprés
20605,Secuestro - Otro tipo de secuestro
20606,Secuestro - No identificado
20699,Secuestro - No especificado
20700,Otros delitos que atentan contra la libertad personal
29999,No especificado
30100,Abuso sexual
30200,Acoso sexual
30300,Hostigamiento sexual
30400,Violación
30401,Violación - Violación simple
30402,"Violación - Violación equiparada por introducir cualquier elemento, instrumento o cualquier parte del cuerpo humano, distinto al pene"
30403,Violación - Violación equiparada en contra de menores e incapaces
30404,Violación - Otro tipo de violación
30405,Violación - No identificado
30499,Violación - No especificado
30500,Estupro
30600,Incesto
30700,Otros delitos que atentan contra la libertad y la seguridad sexual
39999,No especificado
40100,Robo
40101,Robo - Robo simple
40102,Robo - Robo a casa habitación
40103,Robo - Robo de vehículo
40104,Robo - Robo de autopartes
40105,Robo - Robo a transeúnte en vía pública
40106,Robo - Robo a transeúnte en espacio abierto al público
40107,Robo - Robo a persona en un lugar privado
40108,Robo - Robo a transportista
40109,Robo - Robo en transporte público individual
40110,Robo - Robo en transporte público colectivo
40111,Robo - Robo en transporte individual
40112,Robo - Robo a institución bancaria
40113,Robo - Robo a negocio
40114,Robo - Robo de ganado
40115,Robo - Robo de maquinaria
40116,Robo - Robo de energía eléctrica
40117,Robo - Otros robos
40118,Robo - No identificado
40199,Robo - No especificado
40200,Delitos en materia de hidrocarburos y sus derivados
40201,Delitos en materia de hidrocarburos y sus derivados - Sustracción de hidrocarburos y sus derivados
40202,Delitos en materia de hidrocarburos y sus derivados - Aprovechamiento de hidrocarburos y sus derivados
40203,Delitos en materia de hidrocarburos y sus derivados - Posesión ilícita de hidrocarburos y sus derivados
40204,Delitos en materia de hidrocarburos y sus derivados - Otros delitos en materia de hidrocarburos y sus derivados
40205,Delitos en materia de hidrocarburos y sus derivados - No identificado
40299,Delitos en materia de hidrocarburos y sus derivados - No especificado
40300,Fraude
40400,Abuso de confianza
40500,Extorsión
40501,Extorsión - Extorsión cometida por vía telefónica o cualquier otro medio electrónico o de comunicación
40502,Extorsión - Otro tipo de extorsión
40503,Extorsión - No identificado
40599,Extorsión - No especificado
40600,Daño a la propiedad
40700,Despojo
40800,Otros delitos que atentan contra el patrimonio
49999,No especificado
50100,Violencia familiar
50200,Incumplimiento de obligaciones familiares
50300,Otros delitos contra la familia
59999,No especificado
60100,Delitos contra el libre desarrollo de la personalidad
60101,Delitos contra el libre desarrollo de la personalidad - Corrupción de menores e incapaces
60102,Delitos contra el libre desarrollo de la personalidad - Prostitución de menores e incapaces
60103,Delitos contra el libre desarrollo de la personalidad - Pornografía infantil
60104,Delitos contra el libre desarrollo de la personalidad - Turismo sexual
60105,Delitos contra el libre desarrollo de la personalidad - Pederastia
60106,Delitos contra el libre desarrollo de la personalidad - Otros delitos contra el libre desarrollo de la personalidad
60107,Delitos contra el libre desarrollo de la personalidad - No identificado
60199,Delitos contra el libre desarrollo de la personalidad - No especificado
60200,Trata de personas
60201,Trata de personas - Trata de personas con fines de explotación sexual
60202,Trata de personas - Trata de personas con fines de trabajo o servicios forzados
60203,Trata de personas - Trata de personas con fines de tráfico de órganos
60204,Trata de personas - Trata de personas con otros fines
60205,Trata de personas - No identificado
60299,Trata de personas - No especificado
60300,Violencia de género en todas sus modalidades distinta a la violencia familiar
60400,Discriminación
60500,Lenocinio
60600,Otros delitos contra la sociedad
69999,No especificado
70100,Delitos contra la salud relacionados con narcóticos en su modalidad de narcomenudeo
70101,Delitos contra la salud relacionados con narcóticos en su modalidad de narcomenudeo - Posesión simple de narcóticos
70102,Delitos contra la salud relacionados con narcóticos en su modalidad de narcomenudeo - Posesión con fines de comercio o suministro de narcóticos
70103,Delitos contra la salud relacionados con narcóticos en su modalidad de narcomenudeo - Comercio de narcóticos
70104,Delitos contra la salud relacionados con narcóticos en su modalidad de narcomenudeo - Suministro de narcóticos
70105,Delitos contra la salud relacionados con narcóticos en su modalidad de narcomenudeo - Otros delitos contra la salud relacionados con narcóticos en su modalidad de narcomenudeo
70106,Delitos contra la salud relacionados con narcóticos en su modalidad de narcomenudeo - No identificado
70199,Delitos contra la salud relacionados con narcóticos en su modalidad de narcomenudeo - No especificado
70200,Delitos federales contra la salud relacionados con narcóticos
70201,Delitos federales contra la salud relacionados con narcóticos - Producción de narcóticos
