ubicageo_f,aniorefe_b,totalca1
1001,1,4805
1001,2,4549
1002,1,202
1002,2,241
1003,1,120
1003,2,110
1004,1,75
1004,2,63
1005,1,500
1005,2,449
1006,1,326
1006,2,123
1007,1,175
1007,2,78
1008,1,80
1008,2,17
1009,1,57
1009,2,29
1010,1,63
1010,2,39
1011,1,362
1011,2,280
2001,1,1252
2001,2,1846
2002,1,6800
2002,2,8706
2003,1,321
2003,2,454
2004,1,14794
2004,2,16893
2005,1,1121
2005,2,1129
2006,1,NA
2006,2,241
2007,1,NA
2007,2,208
3001,1,NA
3001,2,70
3002,1,NSS
3002,2,NSS
3003,1,72
3003,2,201
3008,1,NSS
3008,2,NA
3009,1,9
3009,2,9
4001,1,50
4001,2,54
4002,1,NA
4002,2,1177
4003,1,196
4003,2,499
4004,1,103
4004,2,101
4005,1,9
4005,2,11
4006,1,NSS
4006,2,70
4007,1,12
4007,2,40
4008,1,NA
4008,2,NA
4009,1,137
4009,2,152
4010,1,9
4010,2,20
4011,1,16
4011,2,21
4012,1,NA
4012,2,NA
4013,1,NA
4013,2,NA
5001,1,NA
5001,2,NA
5002,1,1154
5002,2,1371
5003,1,NSS
5003,2,20
5004,1,35
5004,2,9
5005,1,NA
5005,2,NA
5006,1,NSS
5006,2,36
5007,1,45
5007,2,54
5008,1,NA
5008,2,NA
5009,1,158
5009,2,225
5010,1,NSS
5010,2,NA
5011,1,15
5011,2,26
5012,1,NA
5012,2,NA
5013,1,NA
5013,2,NA
5014,1,101
5014,2,166
5015,1,NA
5015,2,NA
5016,1,1
5016,2,2
5017,1,NSS
5017,2,913
5018,1,NSS
5018,2,474
5019,1,NSS
5019,2,75
5020,1,NA
5020,2,611
5021,1,NSS
5021,2,17
5022,1,186
5022,2,357
5023,1,12
5023,2,15
5024,1,303
5024,2,535
5025,1,855
5025,2,1280
5026,1,NA
5026,2,NA
5027,1,640
5027,2,784
5028,1,441
5028,2,474
5029,1,NSS
5029,2,NA
5030,1,5498
5030,2,6023
5031,1,59
5031,2,168
5032,1,NSS
5032,2,195
5033,1,484
5033,2,617
5034,1,1
5034,2,3
5035,1,1987
5035,2,4608
5036,1,2
5036,2,55
5037,1,NSS
5037,2,32
5038,1,NA
5038,2,62
6001,1,4
6001,2,16
6002,1,387
6002,2,202
6003,1,6
6003,2,6
6004,1,250
6004,2,200
6005,1,46
6005,2,15
6006,1,4
6006,2,2
6007,1,614
6007,2,1130
6008,1,5
6008,2,5
6009,1,237
6009,2,159
6010,1,98
6010,2,166
7001,1,NA
7001,2,NA
7002,1,NA
7002,2,NA
7003,1,NA
7003,2,NA
7004,1,NSS
7004,2,3
7005,1,NA
7005,2,4
7006,1,NA
7006,2,NA
7007,1,NA
7007,2,NA
7008,1,NA
7008,2,NA
7009,1,NA
7009,2,NA
7010,1,NA
7010,2,NA
7011,1,NA
7011,2,NA
7012,1,60
7012,2,50
7013,1,NA
7013,2,6
7014,1,NA
7014,2,2
7015,1,10
7015,2,12
7016,1,NA
7016,2,NA
7017,1,24
7017,2,94
7018,1,1
7018,2,1
7019,1,38
7019,2,55
7020,1,2
7020,2,4
7021,1,4
7021,2,22
7022,1,NA
7022,2,NA
7023,1,1
7023,2,2
7024,1,15
7024,2,10
7025,1,NSS
7025,2,NA
7026,1,NA
7026,2,NA
7027,1,11
7027,2,15
7028,1,NA
7028,2,NA
7029,1,NA
7029,2,NA
7030,1,NA
7030,2,1
7031,1,3
7031,2,7
7032,1,14
7032,2,6
7033,1,NA
7033,2,NA
7034,1,NA
7034,2,NA
7035,1,NA
7035,2,3
7036,1,NA
7036,2,NA
7037,1,NSS
7037,2,11
7038,1,NA
7038,2,NA
7039,1,NA
7039,2,2
7040,1,NA
7040,2,135
7041,1,NA
7041,2,1
7042,1,24
7042,2,1
7043,1,NSS
7043,2,9
7044,1,15
7044,2,32
7045,1,NA
7045,2,NA
7046,1,15
7046,2,8
7047,1,NA
7047,2,NA
7048,1,3
7048,2,2
7049,1,NA
7049,2,NA
7050,1,NSS
7050,2,NSS
7051,1,1
7051,2,1
7052,1,30
7052,2,14
7053,1,NA
7053,2,NA
7054,1,2
7054,2,19
7055,1,1
7055,2,4
7056,1,NA
7056,2,NA
7057,1,45
7057,2,65
7058,1,NA
7058,2,NA
7059,1,NSS
7059,2,36
7060,1,NA
7060,2,NA
7061,1,NSS
7061,2,44
7062,1,NA
7062,2,NA
7063,1,NA
7063,2,NA
7064,1,NA
7064,2,NSS
7065,1,125
7065,2,122
7066,1,NSS
7066,2,NA
7067,1,NA
7067,2,NA
7068,1,NA
7068,2,NA
7069,1,NA
7069,2,31
7070,1,NA
7070,2,NA
7071,1,NA
7071,2,6
7072,1,10
7072,2,20
7073,1,1
7073,2,5
7074,1,NA
7074,2,20
7075,1,NA
7075,2,NA
7076,1,10
7076,2,25
7077,1,NSS
7077,2,NSS
7078,1,294
7078,2,218
7079,1,NA
7079,2,NA
7080,1,NSS
7080,2,NA
7081,1,NA
7081,2,NA
7082,1,NA
7082,2,1
7083,1,NA
7083,2,NA
7084,1,NA
7084,2,NA
7085,1,NA
7085,2,NA
7086,1,NA
7086,2,NA
7087,1,574
7087,2,348
7088,1,NA
7088,2,NA
7089,1,451
7089,2,360
7090,1,NA
7090,2,NA
7091,1,NA
7091,2,NA
7092,1,NA
7092,2,11
7093,1,NA
7093,2,NA
7094,1,NSS
7094,2,NA
7096,1,4
7096,2,5
7097,1,292
7097,2,234
7098,1,NA
7098,2,NA
7099,1,NA
7099,2,NA
7100,1,6
7100,2,3
7101,1,354
7101,2,335
7102,1,43
7102,2,55
7103,1,2
7103,2,3
7104,1,NA
7104,2,NA
7105,1,NA
7105,2,NA
7106,1,NA
7106,2,NA
7107,1,NSS
7107,2,NA
7108,1,70
7108,2,43
7109,1,12
7109,2,7
7110,1,NA
7110,2,2
7111,1,NA
7111,2,NA
7112,1,NA
7112,2,NA
7113,1,NA
7113,2,NA
7114,1,NA
7114,2,NA
7115,1,NA
7115,2,NA
7116,1,NA
7116,2,NA
7117,1,NA
7117,2,1
7118,1,NA
7118,2,NA
7119,1,NA
7119,2,NA
7120,1,NA
7120,2,NA
7121,1,NA
7121,2,NA
7122,1,NA
7122,2,NA
7123,1,NA
7123,2,NA
7124,1,NA
7124,2,NA
7125,1,NA
7125,2,NA
8001,1,4
8001,2,5
8002,1,NA
8002,2,NA
8003,1,5
8003,2,5
8004,1,NA
8004,2,NA
8005,1,NSS
8005,2,50
8006,1,NA
8006,2,NA
8007,1,NA
8007,2,2
8008,1,2
8008,2,3
8009,1,NA
8009,2,NA
8010,1,2
8010,2,1
8011,1,175
8011,2,196
8012,1,NA
8012,2,NA
8013,1,NSS
8013,2,NSS
8014,1,NA
8014,2,NA
8015,1,NA
8015,2,NA
8016,1,2
8016,2,2
8017,1,95
8017,2,231
8018,1,NA
8018,2,NA
8019,1,2090
8019,2,2095
8020,1,NA
8020,2,1
8021,1,366
8021,2,435
8022,1,NA
8022,2,NA
8023,1,NA
8023,2,NA
8024,1,NA
8024,2,NA
8025,1,NA
8025,2,NA
8026,1,NA
8026,2,NA
8027,1,23
8027,2,35
8028,1,NA
8028,2,NA
8029,1,8
8029,2,NA
8030,1,NA
8030,2,3
8031,1,NA
8031,2,NA
8032,1,NA
8032,2,NA
8033,1,NA
8033,2,NA
8034,1,NA
8034,2,NA
8035,1,NA
8035,2,NA
8036,1,12
8036,2,12
8037,1,11518
8037,2,9179
8038,1,NSS
8038,2,6
8039,1,NSS
8039,2,NA
8040,1,NA
8040,2,NA
8041,1,NA
8041,2,NA
8042,1,NA
8042,2,NA
8043,1,NA
8043,2,NA
8044,1,NA
8044,2,NA
8045,1,273
8045,2,140
8046,1,NA
8046,2,NA
8047,1,NA
8047,2,NA
8048,1,NA
8048,2,NA
8049,1,NA
8049,2,NA
8050,1,244
8050,2,274
8051,1,NA
8051,2,NA
8052,1,15
8052,2,12
8053,1,NA
8053,2,NA
8054,1,NA
8054,2,NA
8055,1,NSS
8055,2,34
8056,1,NA
8056,2,NA
8057,1,NA
8057,2,NA
8058,1,1
8058,2,2
8059,1,NA
8059,2,2
8060,1,12
8060,2,10
8061,1,NA
8061,2,NA
8062,1,493
8062,2,373
8063,1,5
8063,2,3
8064,1,NA
8064,2,1
8065,1,NA
8065,2,NA
8066,1,NA
8066,2,NA
8067,1,NA
8067,2,NA
9002,1,NA
9002,2,NA
9003,1,NA
9003,2,NA
9004,1,NA
9004,2,NA
9005,1,NA
9005,2,NA
9006,1,NA
9006,2,NA
9007,1,NA
9007,2,NA
9008,1,NA
9008,2,NA
9009,1,NA
9009,2,NA
9010,1,NA
9010,2,NA
9011,1,NA
9011,2,NA
9012,1,NA
9012,2,NA
9013,1,NA
9013,2,NA
9014,1,NA
9014,2,NA
9015,1,NA
9015,2,NA
9016,1,NA
9016,2,NA
9017,1,NA
9017,2,NA
10001,1,NA
10001,2,NA
10002,1,NA
10002,2,NA
10003,1,NA
10003,2,NA
10004,1,25
10004,2,15
10005,1,762
10005,2,672
10006,1,NSS
10006,2,NA
10007,1,587
10007,2,433
10008,1,NA
10008,2,NA
10009,1,NA
10009,2,NA
10010,1,NA
10010,2,NA
10011,1,NA
10011,2,NA
10012,1,49
10012,2,72
10013,1,6
10013,2,4
10014,1,NA
10014,2,NA
10015,1,NA
10015,2,NA
10016,1,NSS
10016,2,23
10017,1,NA
10017,2,3
10018,1,NA
10018,2,3
10019,1,NA
10019,2,NA
10020,1,NA
10020,2,NA
10021,1,NA
10021,2,NA
10022,1,NA
10022,2,NA
10023,1,25
10023,2,20
10024,1,NA
10024,2,NA
10025,1,NA
10025,2,NA
10026,1,NA
10026,2,NA
10027,1,NA
10027,2,NA
10028,1,NA
10028,2,NA
10029,1,NA
10029,2,2
10030,1,NA
10030,2,NA
10031,1,NSS
10031,2,NA
10032,1,2
10032,2,5
10033,1,NA
10033,2,NA
10034,1,1
10034,2,2
10035,1,NA
10035,2,NA
10036,1,NA
10036,2,NA
10037,1,NA
10037,2,NA
10038,1,NSS
10038,2,1
10039,1,NA
10039,2,NA
11001,1,12
11001,2,14
11002,1,NSS
11002,2,116
11003,1,379
11003,2,250
11004,1,102
11004,2,134
11005,1,230
11005,2,247
11006,1,NA
11006,2,NA
11007,1,496
11007,2,542
11008,1,NSS
11008,2,NSS
11009,1,20
11009,2,25
11010,1,1
11010,2,2
11011,1,11
11011,2,7
11012,1,34
11012,2,19
11013,1,30
11013,2,35
11014,1,2223
11014,2,2396
11015,1,441
11015,2,474
11016,1,NA
11016,2,NA
11017,1,611
11017,2,554
11018,1,25
11018,2,32
11019,1,NA
11019,2,4
11020,1,23793
11020,2,21037
11021,1,25
11021,2,32
11022,1,2
11022,2,3
11023,1,175
11023,2,214
11024,1,NA
11024,2,NA
11025,1,40
11025,2,40
11026,1,NA
11026,2,NA
11027,1,NSS
11027,2,NSS
11028,1,NSS
11028,2,107
11029,1,8
11029,2,15
11030,1,14
11030,2,5
11031,1,119
11031,2,177
11032,1,NSS
11032,2,34
11033,1,16
11033,2,30
11034,1,NSS
11034,2,3
11035,1,NSS
11035,2,NSS
11036,1,NA
11036,2,NA
11037,1,NSS
11037,2,NSS
11038,1,NA
11038,2,1
11039,1,NA
11039,2,NA
11040,1,1
11040,2,2
11041,1,28
11041,2,11
11042,1,136
11042,2,168
11043,1,5
11043,2,10
11044,1,6
11044,2,8
11045,1,NSS
11045,2,NSS
11046,1,16
11046,2,18
12001,1,207
12001,2,215
12002,1,NA
12002,2,NA
12003,1,NA
12003,2,NA
12004,1,NA
12004,2,NA
12005,1,NA
12005,2,NA
12006,1,NA
12006,2,NA
12007,1,NA
12007,2,NA
12008,1,9
12008,2,8
12009,1,1
12009,2,NA
12010,1,NA
12010,2,NA
12011,1,1
12011,2,2
12012,1,NA
12012,2,NA
12013,1,1
12013,2,1
12014,1,NA
12014,2,1
12015,1,1
12015,2,2
12016,1,NA
12016,2,NA
12017,1,NA
12017,2,NA
12018,1,1
12018,2,NA
12019,1,NA
12019,2,1
12020,1,NA
12020,2,NA
12021,1,NSS
12021,2,7
12022,1,NA
12022,2,1
12023,1,NA
12023,2,NA
12024,1,1
12024,2,1
12025,1,NA
12025,2,NA
12026,1,NA
12026,2,NA
12027,1,NA
12027,2,NA
