ubicageo_f,aniorefe_b,rnsnni1,totalca1,pudisptt,pudisp1,pudisp2,pudispne
1001,1,1,0,62426,57621,4805,
1001,2,1,0,52455,47906,4549,
1002,1,1,176,1183,981,202,
1002,2,1,156,1177,936,241,
1003,1,1,267,3096,2983,113,
1003,2,1,92,1867,1765,102,
1004,1,1,56,465,402,63,
1004,2,1,25,583,542,41,
1005,1,1,483,6957,6457,500,
1005,2,1,494,6384,5935,449,
1006,1,1,29,4629,4303,326,
1006,2,1,36,3142,3019,123,
1007,1,1,10,2069,1894,175,
1007,2,1,7,1312,1234,78,
1008,1,1,12,735,655,80,
1008,2,1,3,379,362,17,
1009,1,1,163,758,701,57,
1009,2,1,32,548,519,29,
1010,1,1,66,1973,1910,63,
1010,2,1,56,1433,1394,39,
1011,1,1,845,6555,6193,362,
1011,2,1,493,5905,5625,280,
2001,1,1,14077,1252,0,1252,
2001,2,1,51603,1843,0,1843,
2002,1,1,0,18907,12107,6800,
2002,2,1,0,19625,12429,7196,
2003,1,1,990,9530,9209,321,
2003,2,1,1569,19785,19331,454,
2004,1,1,17384,58131,49311,8820,
2004,2,1,22736,72342,61340,11002,
2005,1,1,8024,1121,0,1121,
2005,2,1,24651,17721,16592,1129,
2006,1,2,NA,NA,NA,NA,
2006,2,1,55,7229,6988,241,
2007,1,2,NA,NA,NA,NA,
2007,2,1,189,4677,4488,189,
3001,1,2,NA,NA,NA,NA,
3001,2,1,0,1023,953,70,
3002,1,9,NSS,NSS,NSS,NSS,
3002,2,9,NSS,NSS,NSS,NSS,
3003,1,1,NSS,4139,4067,72,
3003,2,1,NSS,2404,2203,201,
3008,1,9,NSS,NSS,NSS,NSS,
3008,2,1,NSS,9346,9346,0,
3009,1,1,4,9,0,9,
3009,2,1,12,9,0,9,
4001,1,1,NSS,418,368,50,
4001,2,1,NSS,470,416,54,
4002,1,2,NA,NA,NA,NA,
4002,2,1,0,6311,5134,1177,
4003,1,1,0,1790,1594,196,
4003,2,1,0,3387,2888,499,
4004,1,1,32,1018,915,103,
4004,2,1,67,789,688,101,
4005,1,1,0,222,213,9,
4005,2,1,3,111,100,11,
4006,1,9,NSS,NSS,NSS,NSS,
4006,2,1,0,386,316,70,
4007,1,1,7,43,31,12,
4007,2,1,4,116,76,40,
4008,1,1,0,121,121,0,
4008,2,1,0,148,148,0,
4009,1,1,7,845,708,137,
4009,2,1,11,822,670,152,
4010,1,1,0,64,55,9,
4010,2,1,0,154,134,20,
4011,1,1,0,176,160,16,
4011,2,1,0,398,377,21,
4012,1,0,NA,NA,NA,NA,
4012,2,0,NA,NA,NA,NA,
4013,1,0,NA,NA,NA,NA,
4013,2,0,NA,NA,NA,NA,
5001,1,2,NA,NA,NA,NA,
5001,2,1,0,10,10,0,
5002,1,1,2579,6185,5031,1154,
5002,2,1,2631,8447,7076,1371,
5003,1,9,NSS,NSS,NSS,NSS,
5003,2,1,0,417,397,20,
5004,1,1,35,1647,1612,35,
5004,2,1,9,2326,2317,9,
5005,1,2,NA,NA,NA,NA,
5005,2,2,NA,NA,NA,NA,
5006,1,9,NSS,NSS,NSS,NSS,
5006,2,1,564,564,528,36,
5007,1,1,45,659,614,45,
5007,2,1,54,543,489,54,
5008,1,0,NA,NA,NA,NA,
5008,2,0,NA,NA,NA,NA,
5009,1,1,60,1210,1052,158,
5009,2,1,79,1547,1322,225,
5010,1,9,NSS,NSS,NSS,NSS,
5010,2,1,NSS,3405,3405,0,
5011,1,1,8,125,110,15,
5011,2,1,29,142,116,26,
5012,1,0,NA,NA,NA,NA,
5012,2,0,NA,NA,NA,NA,
5013,1,0,NA,NA,NA,NA,
5013,2,0,NA,NA,NA,NA,
5014,1,1,248,362,261,101,
5014,2,1,255,435,269,166,
5015,1,0,NA,NA,NA,NA,
5015,2,0,NA,NA,NA,NA,
5016,1,1,0,101,100,1,
5016,2,1,0,78,77,1,
5017,1,9,NSS,NSS,NSS,NSS,
5017,2,1,8,3971,3058,913,
5018,1,9,NSS,NSS,NSS,NSS,
5018,2,1,118,11375,10901,474,
5019,1,9,NSS,NSS,NSS,NSS,
5019,2,1,20,355,280,75,
5020,1,1,NSS,NSS,NSS,NSS,
5020,2,1,278,3876,3265,611,
5021,1,9,NSS,NSS,NSS,NSS,
5021,2,1,NSS,129,112,17,
5022,1,1,NSS,1188,1002,186,
5022,2,1,NSS,1875,1518,357,
5023,1,1,0,133,121,12,
5023,2,1,0,123,108,15,
5024,1,1,37,1756,1453,303,
5024,2,1,65,1955,1420,535,
5025,1,1,30,13186,12331,855,
5025,2,1,25,26530,25250,1280,
5026,1,0,NA,NA,NA,NA,
5026,2,0,NA,NA,NA,NA,
5027,1,1,5748,5748,5108,640,
5027,2,1,6738,6738,5954,784,
5028,1,1,20,2697,2256,441,
5028,2,1,38,1737,1263,474,
5029,1,9,NSS,NSS,NSS,NSS,
5029,2,1,10,50,50,0,
5030,1,1,NSS,19450,13952,5498,
5030,2,1,NSS,18798,12775,6023,
5031,1,1,37,448,389,59,
5031,2,1,114,747,579,168,
5032,1,9,NSS,NSS,NSS,NSS,
5032,2,1,5,195,0,195,
5033,1,1,3190,2735,2251,484,
5033,2,1,8883,2907,2290,617,
5034,1,1,0,39,38,1,
5034,2,1,0,48,45,3,
5035,1,1,NSS,8025,6038,1987,
5035,2,1,NSS,11768,7160,4608,
5036,1,1,6,54,52,2,
5036,2,1,458,319,264,55,
5037,1,9,NSS,NSS,NSS,NSS,
5037,2,1,32,374,342,32,
5038,1,2,NA,NA,NA,NA,
5038,2,1,227,252,190,62,
6001,1,1,0,290,286,4,
6001,2,1,739,516,500,16,
6002,1,1,5574,3229,2842,387,
6002,2,1,37782,1039,837,202,
6003,1,1,0,288,282,6,
6003,2,1,0,247,241,6,
6004,1,1,3,596,586,10,
6004,2,1,1,415,403,12,
6005,1,1,0,188,142,46,
6005,2,1,1,151,136,15,
6006,1,1,0,14,10,4,
6006,2,1,0,64,62,2,
6007,1,1,4,5650,5036,614,
6007,2,1,14,6027,4897,1130,
6008,1,1,13,57,52,5,
6008,2,1,4,42,37,5,
6009,1,1,91,4972,4735,237,
6009,2,1,924,3231,3072,159,
6010,1,1,97,1915,1817,98,
6010,2,1,77,2529,2363,166,
7001,1,2,NA,NA,NA,NA,
7001,2,2,NA,NA,NA,NA,
7002,1,1,0,60,60,0,
7002,2,1,0,360,360,0,
7003,1,2,NA,NA,NA,NA,
7003,2,2,NA,NA,NA,NA,
7004,1,9,NSS,NSS,NSS,NSS,
7004,2,1,3,3,0,3,
7005,1,2,NA,NA,NA,NA,
7005,2,1,0,315,311,4,
7006,1,1,0,5,5,0,
7006,2,1,0,6,6,0,
7007,1,2,NA,NA,NA,NA,
7007,2,2,NA,NA,NA,NA,
7008,1,2,NA,NA,NA,NA,
7008,2,2,NA,NA,NA,NA,
7009,1,1,0,10,10,0,
7009,2,1,0,47,47,0,
7010,1,1,0,6,6,0,
7010,2,1,0,8,8,0,
7011,1,2,NA,NA,NA,NA,
7011,2,1,0,150,150,0,
7012,1,1,30,216,186,30,
7012,2,1,50,958,908,50,
7013,1,1,0,130,130,0,
7013,2,1,0,720,714,6,
7014,1,1,0,70,70,0,
7014,2,1,5,502,500,2,
7015,1,1,2,510,500,10,
7015,2,1,0,968,956,12,
7016,1,2,NA,NA,NA,NA,
7016,2,2,NA,NA,NA,NA,
7017,1,1,12,391,367,24,
7017,2,1,1,1130,1063,67,
7018,1,1,0,21,20,1,
7018,2,1,0,15,14,1,
7019,1,1,742,740,705,35,
7019,2,1,2862,2855,2800,55,
7020,1,1,0,37,36,1,
7020,2,1,0,96,93,3,
7021,1,1,0,119,115,4,
7021,2,1,0,429,407,22,
7022,1,1,0,48,48,0,
7022,2,1,0,112,112,0,
7023,1,1,0,14,13,1,
7023,2,1,0,16,15,1,
