ubicageo_f,rangedad_i,sexostt,sexos1,sexos2,sexos3,sexosne
1001,1,NSS,NSS,NSS,NSS,
1001,2,NSS,NSS,NSS,NSS,
1001,3,NSS,NSS,NSS,NSS,
1001,4,NSS,NSS,NSS,NSS,
1001,5,NSS,NSS,NSS,NSS,
1001,6,NSS,NSS,NSS,NSS,
1001,7,NSS,NSS,NSS,NSS,
1001,8,NSS,NSS,NSS,NSS,
1001,9,NSS,NSS,NSS,NSS,
1001,10,NSS,NSS,NSS,NSS,
1001,11,NSS,NSS,NSS,NSS,
1001,12,NSS,NSS,NSS,NSS,
1001,13,4549,NSS,NSS,4549,
1001,91,,,,,
1001,92,,,,,
1001,99,,,,,
1002,1,1,1,0,0,
1002,2,5,5,0,0,
1002,3,16,16,0,0,
1002,4,62,54,8,0,
1002,5,34,30,4,0,
1002,6,49,47,2,0,
1002,7,20,19,1,0,
1002,8,23,23,0,0,
1002,9,16,16,0,0,
1002,10,7,7,0,0,
1002,11,5,5,0,0,
1002,12,3,2,1,0,
1002,13,0,0,0,0,
1002,91,,,,,
1002,92,,,,,
1002,99,,,,,
1003,1,0,0,0,0,
1003,2,10,10,0,0,
1003,3,1,1,0,0,
1003,4,12,9,3,0,
1003,5,26,25,1,0,
1003,6,13,13,0,0,
1003,7,28,28,0,0,
1003,8,10,9,1,0,
1003,9,2,2,0,0,
1003,10,3,3,0,0,
1003,11,2,0,2,0,
1003,12,3,3,0,0,
1003,13,0,0,0,0,
1003,91,,,,,
1003,92,,,,,
1003,99,,,,,
1004,1,0,0,0,0,
1004,2,1,1,0,0,
1004,3,NSS,NSS,0,0,
1004,4,NSS,NSS,0,0,
1004,5,NSS,NSS,0,0,
1004,6,NSS,NSS,0,0,
1004,7,NSS,NSS,0,0,
1004,8,NSS,NSS,0,0,
1004,9,NSS,NSS,0,0,
1004,10,NSS,NSS,0,0,
1004,11,NSS,NSS,0,0,
1004,12,NSS,NSS,0,0,
1004,13,0,0,0,0,
1004,91,,,,,
1004,92,62,62,,,
1004,99,62,62,,,
1005,1,6,5,1,0,
1005,2,18,18,0,0,
1005,3,35,33,2,0,
1005,4,124,114,10,0,
1005,5,96,88,8,0,
1005,6,70,59,11,0,
1005,7,49,47,2,0,
1005,8,26,26,0,0,
1005,9,11,10,1,0,
1005,10,9,8,1,0,
1005,11,2,2,0,0,
