ubicageo_f,objetos_a,rnsnni1,unidmedi_h,totalca1,rnsnni2,unidmedi_m,totalca2
1001,11,0,0,NA,0,0,NA
1001,12,0,0,NA,0,0,NA
1001,13,0,0,NA,0,0,NA
1001,14,0,0,NA,0,0,NA
1001,20,0,0,NA,0,0,NA
1001,30,0,0,NA,0,0,NA
1001,40,0,0,NA,0,0,NA
1001,50,0,0,NA,0,0,NA
1001,60,0,0,NA,0,0,NA
1001,70,0,0,NA,0,0,NA
1001,80,0,0,NA,0,0,NA
1002,11,1,1,8,1,1,4
1002,12,1,1,4,1,1,6
1002,13,2,0,NA,2,0,NA
1002,14,0,8,0,0,8,0
1002,20,2,0,NA,1,1,2
1002,30,1,1,104,1,1,106
1002,40,1,1,28,1,1,7
1002,50,1,5,4,1,1,2
1002,60,2,0,NA,2,0,NA
1002,70,1,2,NSS,1,2,NSS
1002,80,1,1,28,1,1,29
1003,11,1,1,2,2,0,NA
1003,12,1,1,4,1,1,5
1003,13,1,1,1,2,0,NA
1003,14,0,0,NA,0,0,NA
1003,20,2,0,NA,2,0,NA
1003,30,1,1,30,1,1,35
1003,40,1,1,4,1,1,5
1003,50,1,5,50900,1,5,100000
1003,60,2,0,NA,2,0,NA
1003,70,1,1,221,1,1,45
1003,80,1,8,4,1,1,1
1004,11,2,0,NA,2,0,NA
1004,12,1,1,4,1,1,1
1004,13,2,0,NA,2,0,NA
1004,14,0,0,NA,0,0,NA
1004,20,1,1,2,1,1,1
1004,30,1,1,10,1,1,1
1004,40,2,0,NA,2,0,NA
1004,50,2,0,NA,2,0,NA
1004,60,2,0,NA,2,0,NA
1004,70,1,2,37,1,2,19
1004,80,1,1,3,1,1,3
1005,11,1,1,3,2,0,NA
1005,12,1,1,5,1,1,10
1005,13,1,1,1,1,1,1
1005,14,0,0,NA,0,1,0
1005,20,2,0,NA,2,0,NA
1005,30,1,1,157,1,1,182
1005,40,1,1,27,1,1,4
1005,50,2,0,NA,2,0,NA
1005,60,2,0,NA,2,0,NA
1005,70,1,1,115,1,1,740
1005,80,2,0,NA,2,0,NA
1006,11,1,1,1,2,0,NA
1006,12,1,1,4,1,1,3
1006,13,2,0,NA,2,0,NA
1006,14,0,0,NA,0,0,NA
1006,20,2,0,NA,2,0,NA
1006,30,1,1,12,1,1,24
1006,40,1,1,4,1,1,1
1006,50,1,5,800,2,0,NA
1006,60,2,0,NA,2,0,NA
1006,70,2,0,NA,2,0,NA
1006,80,1,1,9,1,1,8
1007,11,2,0,NA,2,0,NA
1007,12,1,1,5,1,1,1
1007,13,2,0,NA,2,0,NA
1007,14,0,0,NA,0,0,NA
1007,20,2,0,NA,2,0,NA
1007,30,1,1,5,1,1,6
1007,40,2,0,NA,2,0,NA
1007,50,2,0,NA,2,0,NA
1007,60,2,0,NA,2,0,NA
1007,70,1,2,NSS,1,2,NSS
1007,80,2,0,NA,2,0,NA
1008,11,2,0,NA,1,1,1
1008,12,2,0,NA,1,1,1
1008,13,2,0,NA,2,0,NA
1008,14,0,8,0,0,8,0
1008,20,2,0,NA,2,0,NA
1008,30,2,0,NA,2,0,NA
1008,40,2,0,NA,2,0,NA
1008,50,2,0,NA,2,0,NA
1008,60,2,0,NA,2,0,NA
1008,70,1,2,68,1,2,48
1008,80,1,1,12,1,1,2
1009,11,2,0,NA,2,0,NA
1009,12,1,1,2,1,1,3
1009,13,2,0,NA,2,0,NA
1009,14,0,0,NA,0,0,NA
1009,20,2,0,NA,2,0,NA
1009,30,1,1,42,1,1,19
1009,40,2,0,NA,2,0,NA
1009,50,2,0,NA,2,0,NA
1009,60,2,0,NA,2,0,NA
1009,70,1,2,119,1,1,40
1009,80,2,0,NA,2,0,NA
1010,11,1,1,1,2,0,NA
1010,12,1,1,2,1,1,1
1010,13,2,0,NA,2,0,NA
1010,14,0,8,0,0,8,0
1010,20,2,0,NA,1,1,5
1010,30,1,1,5,1,1,10
1010,40,2,0,NA,2,0,NA
1010,50,1,5,25,1,5,10
1010,60,2,0,NA,2,0,NA
1010,70,2,0,NA,2,0,NA
1010,80,1,1,33,1,1,30
1011,11,2,0,NA,2,0,NA
