ubicageo_f,contrave_b,faltcivi_e,totalca1,totalca2
1001,1,10100,2605,2544
1001,1,10200,5017,3692
1001,1,10300,18868,12385
1001,1,10301,2,1
1001,1,10302,6709,4237
1001,1,10303,0,0
1001,1,10304,0,2
1001,1,10305,12123,0
1001,1,10306,21,385
1001,1,10307,0,68
1001,1,10308,13,7692
1001,1,10399,,
1001,1,10400,0,0
1001,1,10500,0,3241
1001,2,20100,306,22261
1001,2,20200,21396,0
1001,2,20300,0,0
1001,2,20400,4058,0
1001,2,20500,0,0
1001,2,20600,0,0
1001,2,20700,2,0
1001,2,20800,95,0
1001,2,20900,0,0
1001,3,30100,0,0
1001,3,30200,0,0
1001,3,30300,0,0
1001,3,30400,0,0
1001,3,30500,0,0
1001,3,30600,0,0
1001,3,30700,302,230
1001,3,30701,0,0
1001,3,30702,0,0
1001,3,30703,302,230
1001,3,30704,0,0
1001,3,30705,0,0
1001,3,30799,,
1001,3,30800,0,0
1001,3,30900,0,0
1001,3,31000,0,0
1001,3,31100,0,0
1001,3,31200,0,0
1001,3,31300,0,10
1001,3,31400,0,0
1001,3,31500,0,0
1001,3,31600,0,0
1001,4,40100,2078,0
1001,4,40200,0,0
1001,4,40300,0,0
1001,4,40400,0,0
1001,4,40500,0,0
1001,4,40600,140,0
1001,4,40700,0,0
1001,4,40800,0,0
1001,4,40900,2343,0
1001,4,41000,29,1112
1001,5,50100,0,0
1001,5,50200,0,0
1001,5,50300,0,0
1001,5,50400,0,0
1001,5,50500,0,0
1001,5,50600,1,0
1001,5,50700,0,0
1001,5,50800,0,0
1001,5,50900,0,0
1001,5,51000,0,0
1001,5,51100,0,0
1001,5,51200,381,309
1001,5,51300,0,0
1001,5,51400,0,0
1001,6,60100,0,0
1001,6,60200,0,0
1001,6,60300,0,0
1001,6,60400,0,0
1001,6,60500,0,0
1001,6,60600,0,0
1001,7,70100,0,2122
1001,8,80100,0,0
1001,9,999999,,
1002,1,10100,66,55
1002,1,10200,171,115
1002,1,10300,130,152
1002,1,10301,0,0
1002,1,10302,0,0
1002,1,10303,0,0
1002,1,10304,130,152
1002,1,10305,0,0
1002,1,10306,0,0
1002,1,10307,0,0
1002,1,10308,0,0
1002,1,10399,,
1002,1,10400,0,0
1002,1,10500,0,0
1002,2,20100,0,0
1002,2,20200,498,524
1002,2,20300,0,0
1002,2,20400,8,9
1002,2,20500,0,0
1002,2,20600,0,0
1002,2,20700,0,0
1002,2,20800,2,4
1002,2,20900,0,0
1002,3,30100,0,0
1002,3,30200,0,0
1002,3,30300,0,0
1002,3,30400,0,0
1002,3,30500,0,0
1002,3,30600,0,0
1002,3,30700,42,27
1002,3,30701,37,26
1002,3,30702,0,0
1002,3,30703,0,0
1002,3,30704,5,1
1002,3,30705,0,0
1002,3,30799,,
1002,3,30800,0,0
1002,3,30900,5,5
1002,3,31000,0,0
1002,3,31100,0,0
1002,3,31200,0,0
1002,3,31300,0,0
1002,3,31400,0,0
1002,3,31500,0,0
1002,3,31600,0,0
1002,4,40100,0,0
1002,4,40200,0,0
1002,4,40300,0,0
1002,4,40400,0,0
1002,4,40500,0,0
1002,4,40600,0,0
1002,4,40700,0,0
1002,4,40800,0,0
1002,4,40900,52,37
1002,4,41000,0,0
1002,5,50100,0,0
1002,5,50200,0,0
1002,5,50300,0,0
1002,5,50400,0,0
1002,5,50500,0,0
1002,5,50600,0,0
1002,5,50700,0,0
1002,5,50800,0,0
1002,5,50900,0,0
1002,5,51000,0,0
1002,5,51100,0,0
1002,5,51200,7,8
1002,5,51300,0,0
1002,5,51400,0,0
1002,6,60100,0,0
1002,6,60200,0,0
1002,6,60300,0,0
1002,6,60400,0,0
1002,6,60500,0,0
1002,6,60600,0,0
1002,7,70100,0,0
1002,8,80100,0,0
1002,9,999999,,
1003,1,10100,78,35
1003,1,10200,249,222
1003,1,10300,604,181
1003,1,10301,0,NSS
1003,1,10302,459,NSS
1003,1,10303,0,NSS
1003,1,10304,0,NSS
1003,1,10305,0,NSS
1003,1,10306,145,NSS
1003,1,10307,0,NSS
1003,1,10308,0,181
1003,1,10399,,
1003,1,10400,0,0
1003,1,10500,0,0
1003,2,20100,84,69
1003,2,20200,1741,1065
1003,2,20300,0,0
1003,2,20400,31,52
1003,2,20500,0,0
1003,2,20600,0,0
1003,2,20700,0,0
1003,2,20800,2,2
1003,2,20900,0,0
1003,3,30100,0,0
1003,3,30200,0,0
1003,3,30300,0,0
1003,3,30400,0,0
1003,3,30500,0,0
1003,3,30600,0,0
1003,3,30700,5,1011
1003,3,30701,5,198
1003,3,30702,0,0
1003,3,30703,0,813
1003,3,30704,0,0
1003,3,30705,0,0
1003,3,30799,,
1003,3,30800,0,0
1003,3,30900,0,0
1003,3,31000,0,0
1003,3,31100,0,0
1003,3,31200,0,0
1003,3,31300,0,0
1003,3,31400,0,0
1003,3,31500,0,0
1003,3,31600,0,0
1003,4,40100,13,4
1003,4,40200,0,0
1003,4,40300,0,0
1003,4,40400,0,0
1003,4,40500,0,0
1003,4,40600,0,0
1003,4,40700,0,0
1003,4,40800,0,0
1003,4,40900,0,0
1003,4,41000,166,0
1003,5,50100,0,0
1003,5,50200,0,0
1003,5,50300,0,0
1003,5,50400,0,0
1003,5,50500,0,0
1003,5,50600,0,0
1003,5,50700,0,0
1003,5,50800,0,0
1003,5,50900,0,0
1003,5,51000,0,0
1003,5,51100,0,0
1003,5,51200,10,7
1003,5,51300,0,0
1003,5,51400,0,0
1003,6,60100,0,0
1003,6,60200,0,0
1003,6,60300,0,0
1003,6,60400,0,0
1003,6,60500,0,0
1003,6,60600,0,0
1003,7,70100,0,0
1003,8,80100,0,212
1003,9,999999,,
1004,1,10100,0,0
1004,1,10200,59,78
1004,1,10300,137,152
1004,1,10301,65,52
1004,1,10302,29,50
1004,1,10303,NSS,25
1004,1,10304,NSS,25
1004,1,10305,NSS,0
1004,1,10306,NSS,0
1004,1,10307,NSS,0
1004,1,10308,0,0
1004,1,10399,43,
1004,1,10400,0,0
1004,1,10500,0,0
1004,2,20100,0,0
1004,2,20200,135,291
1004,2,20300,0,0
1004,2,20400,0,0
1004,2,20500,0,0
1004,2,20600,0,0
1004,2,20700,0,0
1004,2,20800,0,0
1004,2,20900,0,0
1004,3,30100,0,0
1004,3,30200,0,0
1004,3,30300,0,0
1004,3,30400,0,0
1004,3,30500,0,0
1004,3,30600,0,0
1004,3,30700,0,0
1004,3,30701,0,0
1004,3,30702,0,0
1004,3,30703,0,0
1004,3,30704,0,0
1004,3,30705,0,0
1004,3,30799,,
1004,3,30800,0,0
1004,3,30900,0,0
1004,3,31000,0,0
1004,3,31100,0,0
1004,3,31200,0,0
1004,3,31300,0,0
1004,3,31400,0,0
1004,3,31500,0,0
1004,3,31600,0,0
1004,4,40100,43,20
1004,4,40200,0,0
1004,4,40300,0,0
1004,4,40400,0,0
1004,4,40500,0,0
1004,4,40600,0,0
1004,4,40700,0,0
1004,4,40800,0,0
1004,4,40900,0,0
1004,4,41000,0,0
1004,5,50100,0,0
1004,5,50200,0,0
1004,5,50300,0,0
1004,5,50400,0,0
1004,5,50500,0,0
1004,5,50600,0,0
1004,5,50700,0,0
1004,5,50800,0,0
1004,5,50900,0,0
1004,5,51000,0,0
1004,5,51100,0,0
1004,5,51200,28,1
1004,5,51300,0,0
1004,5,51400,0,0
1004,6,60100,0,0
1004,6,60200,0,0
1004,6,60300,0,0
1004,6,60400,0,0
1004,6,60500,0,0
1004,6,60600,0,0
1004,7,70100,0,0
1004,8,80100,0,0
1004,9,999999,,
1005,1,10100,0,0
1005,1,10200,229,317
1005,1,10300,1069,1132
1005,1,10301,0,5
1005,1,10302,773,664
1005,1,10303,1,0
1005,1,10304,0,0
1005,1,10305,0,0
1005,1,10306,295,463
1005,1,10307,0,0
1005,1,10308,0,0
1005,1,10399,,
1005,1,10400,0,0
1005,1,10500,0,0
1005,2,20100,0,0
1005,2,20200,4525,3748
1005,2,20300,0,0
1005,2,20400,148,0
1005,2,20500,0,0
1005,2,20600,0,0
1005,2,20700,0,0
1005,2,20800,0,0
1005,2,20900,20,0
1005,3,30100,0,0
1005,3,30200,0,0
1005,3,30300,0,0
1005,3,30400,0,0
1005,3,30500,0,0
1005,3,30600,369,227
1005,3,30700,10,0
1005,3,30701,0,0
1005,3,30702,0,0
1005,3,30703,10,0
1005,3,30704,0,0
1005,3,30705,0,0
1005,3,30799,,
1005,3,30800,0,0
1005,3,30900,0,0
1005,3,31000,0,0
1005,3,31100,0,0
1005,3,31200,12,149
1005,3,31300,0,0
1005,3,31400,0,0
1005,3,31500,0,0
1005,3,31600,0,0
1005,4,40100,0,121
1005,4,40200,0,0
1005,4,40300,0,0
1005,4,40400,0,0
1005,4,40500,0,0
1005,4,40600,11,2
1005,4,40700,0,0
1005,4,40800,0,210
1005,4,40900,38,0
1005,4,41000,0,0
1005,5,50100,0,0
1005,5,50200,0,0
1005,5,50300,0,0
1005,5,50400,0,0
1005,5,50500,0,0
1005,5,50600,0,0
1005,5,50700,0,0
1005,5,50800,0,0
1005,5,50900,0,0
1005,5,51000,0,0
1005,5,51100,0,0
1005,5,51200,26,29
1005,5,51300,0,0
1005,5,51400,0,0
1005,6,60100,0,0
1005,6,60200,0,0
1005,6,60300,0,0
1005,6,60400,0,0
1005,6,60500,0,0
1005,6,60600,0,0
1005,7,70100,0,0
1005,8,80100,0,0
1005,9,999999,,
1006,1,10100,75,33
1006,1,10200,781,425
1006,1,10300,1110,516
1006,1,10301,0,0
1006,1,10302,289,108
1006,1,10303,0,0
1006,1,10304,736,380
1006,1,10305,0,0
1006,1,10306,85,28
1006,1,10307,0,0
1006,1,10308,0,0
1006,1,10399,,
1006,1,10400,0,0
1006,1,10500,0,0
1006,2,20100,69,38
1006,2,20200,883,602
1006,2,20300,0,0
1006,2,20400,170,131
1006,2,20500,84,129
1006,2,20600,0,0
1006,2,20700,0,0
1006,2,20800,46,20
1006,2,20900,0,0
1006,3,30100,0,0
1006,3,30200,0,0
1006,3,30300,0,0
1006,3,30400,0,0
1006,3,30500,0,0
1006,3,30600,168,0
1006,3,30700,756,855
1006,3,30701,489,520
1006,3,30702,4,0
1006,3,30703,263,335
1006,3,30704,0,0
1006,3,30705,0,0
1006,3,30799,,
1006,3,30800,0,0
1006,3,30900,50,114
1006,3,31000,0,0
1006,3,31100,0,0
1006,3,31200,80,121
1006,3,31300,0,0
1006,3,31400,0,0
1006,3,31500,0,0
1006,3,31600,0,0
1006,4,40100,0,0
1006,4,40200,0,0
1006,4,40300,0,0
1006,4,40400,0,0
1006,4,40500,0,0
1006,4,40600,0,0
1006,4,40700,0,0
1006,4,40800,0,0
1006,4,40900,0,0
1006,4,41000,0,0
1006,5,50100,0,0
1006,5,50200,0,0
1006,5,50300,0,0
1006,5,50400,0,0
1006,5,50500,0,0
1006,5,50600,0,0
1006,5,50700,0,0
1006,5,50800,0,0
1006,5,50900,0,0
1006,5,51000,0,0
1006,5,51100,0,0
1006,5,51200,31,23
1006,5,51300,0,0
1006,5,51400,0,0
1006,6,60100,0,0
1006,6,60200,0,0
1006,6,60300,0,0
1006,6,60400,0,12
1006,6,60500,0,0
1006,6,60600,0,0
1006,7,70100,0,0
1006,8,80100,0,0
1006,9,999999,,
1007,1,10100,1,0
1007,1,10200,447,320
1007,1,10300,430,164
1007,1,10301,0,0
1007,1,10302,0,0
1007,1,10303,0,0
1007,1,10304,430,164
1007,1,10305,0,0
1007,1,10306,0,0
1007,1,10307,0,0
1007,1,10308,0,0
1007,1,10399,,
1007,1,10400,0,0
1007,1,10500,0,0
1007,2,20100,0,0
1007,2,20200,794,582
1007,2,20300,0,0
1007,2,20400,36,31
1007,2,20500,0,0
1007,2,20600,0,0
1007,2,20700,0,0
1007,2,20800,1,0
1007,2,20900,0,0
1007,3,30100,0,0
1007,3,30200,0,0
1007,3,30300,9,5
1007,3,30400,0,0
1007,3,30500,0,0
1007,3,30600,0,0
1007,3,30700,13,8
1007,3,30701,13,8
1007,3,30702,0,0
1007,3,30703,0,0
1007,3,30704,0,0
1007,3,30705,0,0
1007,3,30799,,
1007,3,30800,0,0
1007,3,30900,0,0
1007,3,31000,0,0
1007,3,31100,0,0
1007,3,31200,0,0
1007,3,31300,0,0
1007,3,31400,0,0
1007,3,31500,0,0
1007,3,31600,0,0
1007,4,40100,0,0
1007,4,40200,0,0
1007,4,40300,0,0
1007,4,40400,0,0
1007,4,40500,0,0
1007,4,40600,0,0
1007,4,40700,0,0
1007,4,40800,0,0
1007,4,40900,146,106
1007,4,41000,0,0
1007,5,50100,0,0
1007,5,50200,0,0
1007,5,50300,0,0
1007,5,50400,0,0
1007,5,50500,0,0
1007,5,50600,0,0
1007,5,50700,0,0
1007,5,50800,0,0
1007,5,50900,0,0
1007,5,51000,0,0
1007,5,51100,0,0
1007,5,51200,17,18
1007,5,51300,0,0
1007,5,51400,0,0
1007,6,60100,0,0
1007,6,60200,0,0
1007,6,60300,0,0
1007,6,60400,0,0
1007,6,60500,0,0
1007,6,60600,0,0
1007,7,70100,0,0
1007,8,80100,0,0
1007,9,999999,,
1008,1,10100,0,0
1008,1,10200,215,113
1008,1,10300,97,50
1008,1,10301,97,0
1008,1,10302,0,0
1008,1,10303,0,0
1008,1,10304,0,50
1008,1,10305,0,0
1008,1,10306,0,0
1008,1,10307,0,0
1008,1,10308,0,0
1008,1,10399,,
1008,1,10400,0,0
1008,1,10500,0,0
1008,2,20100,0,1
1008,2,20200,216,131
1008,2,20300,0,0
1008,2,20400,0,0
1008,2,20500,0,0
1008,2,20600,0,0
1008,2,20700,0,0
1008,2,20800,0,0
1008,2,20900,0,0
1008,3,30100,0,0
1008,3,30200,0,3
1008,3,30300,0,0
1008,3,30400,0,0
1008,3,30500,0,0
1008,3,30600,0,0
1008,3,30700,55,12
1008,3,30701,55,12
1008,3,30702,0,0
1008,3,30703,0,0
1008,3,30704,0,0
1008,3,30705,0,0
1008,3,30799,,
1008,3,30800,0,0
1008,3,30900,0,0
1008,3,31000,0,0
1008,3,31100,0,0
1008,3,31200,3,1
1008,3,31300,0,0
1008,3,31400,0,0
1008,3,31500,0,0
1008,3,31600,0,0
1008,4,40100,48,0
1008,4,40200,0,0
1008,4,40300,0,0
1008,4,40400,0,0
1008,4,40500,0,0
1008,4,40600,0,1
1008,4,40700,0,0
1008,4,40800,8,22
1008,4,40900,0,7
1008,4,41000,0,0
1008,5,50100,0,0
1008,5,50200,0,0
1008,5,50300,0,0
1008,5,50400,0,0
1008,5,50500,0,0
1008,5,50600,0,0
1008,5,50700,0,0
1008,5,50800,0,0
1008,5,50900,0,0
1008,5,51000,0,0
1008,5,51100,0,0
1008,5,51200,13,1
1008,5,51300,0,0
1008,5,51400,0,0
1008,6,60100,0,0
1008,6,60200,0,0
1008,6,60300,0,0
1008,6,60400,0,0
1008,6,60500,0,0
1008,6,60600,0,0
1008,7,70100,0,20
1008,8,80100,0,0
1008,9,999999,,
1009,1,10100,23,36
1009,1,10200,116,49
1009,1,10300,219,102
1009,1,10301,0,0
1009,1,10302,42,11
1009,1,10303,0,0
1009,1,10304,177,91
1009,1,10305,0,0
1009,1,10306,0,0
1009,1,10307,0,0
1009,1,10308,0,0
1009,1,10399,,
1009,1,10400,0,0
1009,1,10500,0,0
1009,2,20100,2,5
1009,2,20200,279,261
1009,2,20300,0,0
1009,2,20400,0,0
1009,2,20500,0,0
1009,2,20600,0,0
1009,2,20700,0,0
1009,2,20800,3,1
1009,2,20900,1,0
1009,3,30100,0,0
1009,3,30200,0,1
1009,3,30300,0,0
1009,3,30400,0,0
1009,3,30500,0,0
1009,3,30600,0,0
1009,3,30700,4,0
1009,3,30701,4,0
1009,3,30702,0,0
1009,3,30703,0,0
1009,3,30704,0,0
1009,3,30705,0,0
1009,3,30799,,
1009,3,30800,0,0
1009,3,30900,1,13
1009,3,31000,0,0
1009,3,31100,0,0
1009,3,31200,3,0
1009,3,31300,0,0
1009,3,31400,0,0
1009,3,31500,0,0
1009,3,31600,0,0
1009,4,40100,35,24
1009,4,40200,1,0
1009,4,40300,0,0
1009,4,40400,0,0
1009,4,40500,0,2
1009,4,40600,0,0
1009,4,40700,0,0
1009,4,40800,5,16
1009,4,40900,0,0
1009,4,41000,0,0
1009,5,50100,0,0
1009,5,50200,0,0
1009,5,50300,0,0
1009,5,50400,0,0
1009,5,50500,0,0
1009,5,50600,3,1
1009,5,50700,1,1
1009,5,50800,0,0
1009,5,50900,0,0
1009,5,51000,0,0
1009,5,51100,0,4
1009,5,51200,5,3
1009,5,51300,0,0
1009,5,51400,0,0
1009,6,60100,0,0
1009,6,60200,0,0
1009,6,60300,0,0
1009,6,60400,0,0
1009,6,60500,0,0
1009,6,60600,0,0
1009,7,70100,0,0
1009,8,80100,0,0
1009,9,999999,,
1010,1,10100,14,47
1010,1,10200,954,575
1010,1,10300,210,245
1010,1,10301,NSS,NSS
1010,1,10302,NSS,NSS
1010,1,10303,NSS,NSS
1010,1,10304,NSS,NSS
1010,1,10305,NSS,NSS
