ubicageo_f,sitpaptt,sitpap1,sitpap2,sitpap3,sitpap4,sitpap5,sitpap6,sitpap7,sitpap8
1001,47906,0,0,0,45784,0,0,0,2122
1002,936,0,0,0,936,0,0,0,0
1003,2860,196,0,0,2664,0,0,0,0
1004,542,0,0,0,542,0,0,0,0
1005,5935,121,0,0,5814,0,0,0,0
1006,3019,0,53,213,2359,0,394,0,0
1007,1234,106,0,0,0,0,1128,0,0
1008,362,27,0,0,335,0,0,0,0
1009,519,26,0,0,493,0,0,0,0
1010,1394,0,0,0,1394,0,0,0,0
1011,5625,261,0,0,5229,0,135,0,0
2001,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,17634,NSS,NSS,NSS,NSS,NSS,NSS,NSS,17634
2003,19331,203,0,0,19128,0,0,0,0
2004,61340,0,0,0,0,0,0,0,61340
2005,16592,0,0,0,0,0,16592,0,0
2006,6988,546,248,85,4943,50,895,106,115
2007,4488,NSS,NSS,NSS,NSS,NSS,NSS,NSS,4488
3001,953,256,0,0,697,0,0,0,0
3002,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
3003,2203,0,0,0,2203,0,0,0,0
3008,9346,87,7,0,3283,0,0,0,5969
3009,NA,NA,NA,NA,NA,NA,NA,NA,NA
4001,416,0,0,0,416,0,0,0,0
4002,5134,206,445,575,3218,52,638,0,0
4003,2912,99,0,0,2813,0,0,0,0
4004,688,0,0,0,688,0,0,0,0
4005,100,0,0,0,100,0,0,0,0
4006,316,126,0,0,190,0,0,0,0
4007,76,0,0,0,32,0,44,0,0
4008,148,25,0,0,100,0,23,0,0
4009,670,22,80,0,413,19,136,0,0
4010,134,14,0,0,102,0,18,0,0
4011,377,78,0,0,203,87,9,0,0
4012,NA,NA,NA,NA,NA,NA,NA,NA,NA
4013,NA,NA,NA,NA,NA,NA,NA,NA,NA
5001,10,0,0,0,10,0,0,0,0
5002,7076,212,0,0,6707,0,157,0,0
5003,397,0,0,0,0,0,0,0,397
5004,2326,54,0,0,2272,0,0,0,0
5005,NA,NA,NA,NA,NA,NA,NA,NA,NA
5006,528,0,0,0,528,0,0,0,0
5007,543,0,0,75,299,0,169,0,0
5008,NA,NA,NA,NA,NA,NA,NA,NA,NA
5009,1322,263,129,20,698,12,200,0,0
5010,3405,0,0,31,1845,0,0,0,1529
5011,116,0,0,0,0,0,116,0,0
5012,NA,NA,NA,NA,NA,NA,NA,NA,NA
5013,NA,NA,NA,NA,NA,NA,NA,NA,NA
5014,269,0,0,0,0,0,269,0,0
5015,NA,NA,NA,NA,NA,NA,NA,NA,NA
5016,77,0,0,0,77,0,0,0,0
5017,3058,327,0,100,1231,0,1000,0,400
5018,10901,0,0,0,10901,0,0,0,0
5019,280,20,0,30,200,0,30,0,0
5020,3265,0,0,0,3265,0,0,0,0
5021,112,0,0,0,112,0,0,0,0
5022,1518,13,0,0,1321,0,184,0,0
5023,108,0,0,0,108,0,0,0,0
5024,1420,138,19,135,981,3,144,0,0
5025,25250,0,0,0,25250,0,0,0,0
5026,NA,NA,NA,NA,NA,NA,NA,NA,NA
5027,5954,0,0,0,5954,0,0,0,0
5028,1263,0,0,0,1263,0,0,0,0
5029,50,0,0,0,50,0,0,0,0
5030,12775,0,0,0,10720,0,138,0,1917
5031,579,0,0,0,579,0,0,0,0
5032,NA,NA,NA,NA,NA,NA,NA,NA,NA
5033,2290,23,0,0,1792,15,460,0,0
5034,45,0,0,0,45,0,0,0,0
5035,7160,0,0,0,520,0,195,0,6445
5036,264,0,0,0,264,0,0,0,0
5037,342,0,0,0,342,0,0,0,0
5038,190,0,0,0,190,0,0,0,0
6001,500,0,0,0,465,0,35,0,0
6002,837,19,0,0,806,0,12,0,0
6003,241,55,10,40,136,0,0,0,0
6004,403,0,0,0,200,0,203,0,0
6005,136,0,0,0,136,0,0,0,0
6006,62,0,0,0,62,0,0,0,0
6007,4897,19,1,0,4681,0,9,187,0
6008,37,0,0,0,37,0,0,0,0
6009,3072,0,0,0,3072,0,0,0,0
6010,2363,0,0,0,2363,0,0,0,0
7001,NA,NA,NA,NA,NA,NA,NA,NA,NA
7002,360,0,0,5,260,0,95,0,0
7003,NA,NA,NA,NA,NA,NA,NA,NA,NA
7004,NA,NA,NA,NA,NA,NA,NA,NA,NA
7005,311,0,0,0,311,0,0,0,0
7006,6,3,0,0,3,0,0,0,0
7007,NA,NA,NA,NA,NA,NA,NA,NA,NA
7008,NA,NA,NA,NA,NA,NA,NA,NA,NA
7009,47,0,0,0,47,0,0,0,0
7010,8,0,0,0,8,0,0,0,0
