ubicageo_f,aniorefe_b,rnsnni1,mymenitt,mymeni1,mymeni2,mymeni3,mymenis1,mymeni4,mymeni5,mymeni6,mymenis2,mymeni8,mymeni9,mymeni10,mymenis3,mymeni12,mymeni13,mymeni14,mymenins,mymeni16
1001,1,1,57621,49887,7734,0,52513,45547,6966,0,5108,4340,768,0,0,0,0,0,,
1001,2,1,47906,42577,5329,0,43460,38710,4750,0,4446,3867,579,0,0,0,0,0,,
1002,1,1,981,959,22,0,944,924,20,0,37,35,2,0,0,0,0,0,,
1002,2,1,936,936,0,0,886,886,0,0,50,50,0,0,0,0,0,0,,
1003,1,1,2983,2983,0,0,2935,2935,0,0,48,48,0,0,0,0,0,0,,
1003,2,1,1765,1765,0,0,1688,1688,0,0,77,77,0,0,0,0,0,0,,
1004,1,1,402,359,43,0,386,343,43,0,16,16,0,0,0,0,0,0,,
1004,2,1,542,493,49,0,524,475,49,0,18,18,0,0,0,0,0,0,,
1005,1,1,6457,5418,1039,0,6128,5175,953,0,329,243,86,0,0,0,0,0,,
1005,2,1,5935,5000,935,0,5555,4689,866,0,380,311,69,0,0,0,0,0,,
1006,1,1,4303,4303,0,0,3993,3993,0,0,310,310,0,0,0,0,0,0,,
1006,2,1,3019,3019,0,0,2813,2813,0,0,206,206,0,0,0,0,0,0,,
1007,1,1,1894,1830,64,0,1768,1708,60,0,126,122,4,0,0,0,0,0,,
1007,2,1,1234,1222,12,0,1153,1146,7,0,81,76,5,0,0,0,0,0,,
1008,1,1,655,581,74,0,623,551,72,0,32,30,2,0,0,0,0,0,,
1008,2,1,362,278,84,0,354,272,82,0,8,6,2,0,0,0,0,0,,
1009,1,1,701,656,45,0,657,616,41,0,44,40,4,0,0,0,0,0,,
1009,2,1,519,469,50,0,493,446,47,0,26,23,3,0,0,0,0,0,,
1010,1,1,1910,1715,195,0,1777,1610,167,0,133,105,28,0,0,0,0,0,,
1010,2,1,1394,1235,159,0,1302,1151,151,0,92,84,8,0,0,0,0,0,,
1011,1,1,6193,4767,1426,0,4954,3714,1240,0,1239,1053,186,0,0,0,0,0,,
1011,2,1,5625,4577,1048,0,4685,3742,943,0,940,835,105,0,0,0,0,0,,
2001,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
2001,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
2002,1,1,12107,11084,1023,0,10895,10166,729,0,1212,918,294,0,0,0,0,0,,
2002,2,1,12429,12031,398,0,11672,11307,365,0,757,724,33,0,0,0,0,0,,
2003,1,1,9209,8984,225,0,8966,8755,211,0,243,229,14,0,0,0,0,0,,
2003,2,1,19331,18943,388,0,18663,18301,362,0,668,642,26,0,0,0,0,0,,
2004,1,1,49311,49311,0,0,46472,46472,0,0,2839,2839,0,0,0,0,0,0,,
2004,2,1,61340,61340,0,0,57708,57708,0,0,3632,3632,0,0,0,0,0,0,,
2005,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
2005,2,1,16592,16592,NSS,0,NSS,NSS,NSS,0,NSS,NSS,NSS,0,16592,16592,NSS,0,,
2006,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
2006,2,1,6988,6411,577,0,6815,6246,569,0,173,165,8,0,0,0,0,0,,
2007,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
2007,2,1,4488,NSS,NSS,4488,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,4488,NSS,NSS,4488,,
3001,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
3001,2,1,953,953,0,0,926,926,0,0,27,27,0,0,0,0,0,0,,
3002,1,97,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,,
3002,2,97,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,,
3003,1,1,4067,3981,1,85,3774,3704,1,69,293,277,0,16,0,0,0,0,,
3003,2,1,2203,2126,45,32,2063,1999,39,25,140,127,6,7,0,0,0,0,,
3008,1,97,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,,
3008,2,1,9346,9346,0,0,8830,8830,0,0,516,516,0,0,0,0,0,0,,
3009,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
3009,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
4001,1,1,368,NSS,NSS,368,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,368,NSS,NSS,368,,
4001,2,1,416,416,0,0,414,414,0,0,2,2,0,0,0,0,0,0,,
4002,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
4002,2,1,5134,5094,40,0,4919,4881,38,0,215,213,2,0,0,0,0,0,,
4003,1,1,1594,1594,0,0,1497,1497,0,0,97,97,0,0,0,0,0,0,,
4003,2,1,2888,2888,0,0,2745,2745,0,0,143,143,0,0,0,0,0,0,,
4004,1,1,915,903,12,0,900,888,12,0,15,15,0,0,0,0,0,0,,
4004,2,1,688,686,2,0,671,669,2,0,17,17,0,0,0,0,0,0,,
4005,1,1,222,222,0,0,214,214,0,0,8,8,0,0,0,0,0,0,,
4005,2,1,100,100,0,0,94,94,0,0,6,6,0,0,0,0,0,0,,
4006,1,97,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,,
4006,2,1,316,306,10,0,314,304,10,0,2,2,0,0,0,0,0,0,,
4007,1,1,31,31,0,0,31,31,0,0,0,0,0,0,0,0,0,0,,
4007,2,1,76,76,0,0,75,75,0,0,1,1,0,0,0,0,0,0,,
4008,1,1,121,121,0,0,121,121,0,0,0,0,0,0,0,0,0,0,,
4008,2,1,148,148,0,0,145,145,0,0,3,3,0,0,0,0,0,0,,
4009,1,1,708,708,0,0,665,665,0,0,43,43,0,0,0,0,0,0,,
4009,2,1,670,670,0,0,625,625,0,0,45,45,0,0,0,0,0,0,,
4010,1,1,55,55,0,0,55,55,0,0,0,0,0,0,0,0,0,0,,
4010,2,1,134,134,0,0,134,134,0,0,0,0,0,0,0,0,0,0,,
4011,1,1,160,160,0,0,160,160,0,0,0,0,0,0,0,0,0,0,,
4011,2,1,377,377,0,0,367,367,0,0,10,10,0,0,0,0,0,0,,
4012,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
4012,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
4013,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
4013,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
5001,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
5001,2,1,10,10,0,0,10,10,0,0,0,0,0,0,0,0,0,0,,
5002,1,1,5031,4492,539,0,0,0,0,0,0,0,0,0,5031,4492,539,0,,
5002,2,1,7076,6253,823,0,0,0,0,0,0,0,0,0,7076,6253,823,0,,
5003,1,97,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,,
