ubicageo_f,aniorefe_b,ppiflf1,ppiflf2,ppiflf3
1001,1,NSS,NSS,NSS
1001,2,NSS,NSS,NSS
1002,1,981,0,0
1002,2,936,0,0
1003,1,2983,0,0
1003,2,1765,0,0
1004,1,402,0,0
1004,2,542,0,0
1005,1,6457,0,0
1005,2,5935,0,0
1006,1,0,0,0
1006,2,0,0,0
1007,1,1894,0,0
1007,2,1234,0,0
1008,1,0,0,0
1008,2,0,0,0
1009,1,0,0,0
1009,2,0,0,0
1010,1,0,0,0
1010,2,0,0,0
1011,1,0,0,0
1011,2,0,0,0
2001,1,NA,NA,NA
2001,2,NA,NA,NA
2002,1,0,0,0
2002,2,0,0,0
2003,1,9209,0,0
2003,2,19331,0,0
2004,1,142,0,0
2004,2,174,0,0
2005,1,NA,NA,NA
2005,2,0,0,0
2006,1,NA,NA,NA
2006,2,0,0,0
2007,1,NA,NA,NA
2007,2,4488,0,0
3001,1,NA,NA,NA
3001,2,0,0,0
3002,1,NSS,NSS,NSS
3002,2,NSS,NSS,NSS
3003,1,4067,0,0
3003,2,2203,0,0
3008,1,NSS,NSS,NSS
3008,2,NSS,NSS,NSS
3009,1,NA,NA,NA
3009,2,NA,NA,NA
4001,1,368,0,0
4001,2,416,0,0
4002,1,NA,NA,NA
4002,2,5134,0,0
4003,1,1594,0,0
4003,2,1961,0,0
4004,1,915,0,0
4004,2,688,0,0
4005,1,0,0,0
4005,2,0,0,0
4006,1,NSS,NSS,NSS
4006,2,157,0,0
4007,1,31,0,0
4007,2,76,0,0
4008,1,121,0,0
4008,2,148,0,0
4009,1,708,0,0
4009,2,670,0,0
4010,1,55,0,0
4010,2,134,0,0
4011,1,160,0,0
4011,2,377,0,0
4012,1,NA,NA,NA
4012,2,NA,NA,NA
4013,1,NA,NA,NA
4013,2,NA,NA,NA
5001,1,NA,NA,NA
5001,2,0,0,0
5002,1,0,0,0
5002,2,0,0,0
5003,1,NSS,NSS,NSS
5003,2,30,0,0
5004,1,0,0,0
5004,2,0,0,0
5005,1,NA,NA,NA
5005,2,NA,NA,NA
5006,1,NSS,NSS,NSS
5006,2,0,0,0
5007,1,20,5,0
5007,2,12,3,0
5008,1,NA,NA,NA
5008,2,NA,NA,NA
5009,1,0,0,0
5009,2,0,0,0
5010,1,NSS,NSS,NSS
5010,2,0,0,0
5011,1,0,0,0
5011,2,0,0,0
5012,1,NA,NA,NA
5012,2,NA,NA,NA
5013,1,NA,NA,NA
5013,2,NA,NA,NA
5014,1,0,0,0
5014,2,0,0,0
5015,1,NA,NA,NA
5015,2,NA,NA,NA
5016,1,3,0,0
5016,2,10,0,0
5017,1,NSS,NSS,NSS
5017,2,0,0,0
5018,1,NSS,NSS,NSS
5018,2,0,0,0
5019,1,NSS,NSS,NSS
5019,2,0,0,0
5020,1,NA,NA,NA
5020,2,3265,0,0
5021,1,NSS,NSS,NSS
5021,2,0,0,0
5022,1,0,0,0
5022,2,0,0,0
5023,1,0,0,0
5023,2,0,0,0
5024,1,32,9,0
5024,2,19,2,0
5025,1,0,0,0
5025,2,0,0,0
5026,1,NA,NA,NA
5026,2,NA,NA,NA
5027,1,0,0,0
5027,2,0,0,0
5028,1,2256,0,0
5028,2,1263,0,0
5029,1,NSS,NSS,NSS
5029,2,0,0,0
5030,1,NSS,NSS,NSS
5030,2,NSS,NSS,NSS
5031,1,0,0,0
5031,2,0,0,0
5032,1,NSS,NSS,NSS
5032,2,NA,NA,NA
5033,1,2251,0,1
5033,2,2290,0,0
5034,1,15,0,0
5034,2,22,0,0
5035,1,0,0,0
5035,2,0,0,0
5036,1,52,0,0
5036,2,264,0,0
5037,1,NSS,NSS,NSS
5037,2,0,0,0
5038,1,NA,NA,NA
5038,2,0,0,0
6001,1,286,0,0
6001,2,500,0,0
6002,1,0,0,0
6002,2,0,0,0
6003,1,282,0,0
6003,2,241,0,0
6004,1,0,0,0
6004,2,0,0,0
6005,1,142,0,0
6005,2,136,0,0
6006,1,10,0,0
6006,2,62,0,0
6007,1,0,0,0
6007,2,0,0,0
6008,1,0,0,0
6008,2,0,0,0
6009,1,0,0,0
6009,2,0,0,0
6010,1,0,0,0
6010,2,0,0,0
7001,1,NA,NA,NA
7001,2,NA,NA,NA
7002,1,0,0,0
7002,2,0,0,0
7003,1,NA,NA,NA
7003,2,NA,NA,NA
7004,1,NA,NA,NA
7004,2,NA,NA,NA
7005,1,NA,NA,NA
7005,2,0,0,0
7006,1,5,0,0
7006,2,6,0,0
7007,1,NA,NA,NA
7007,2,NA,NA,NA
7008,1,NA,NA,NA
7008,2,NA,NA,NA
7009,1,0,0,0
7009,2,0,0,0
7010,1,0,0,0
7010,2,0,0,0
7011,1,NA,NA,NA
7011,2,0,0,0
7012,1,0,0,0
7012,2,0,0,0
7013,1,0,0,0
7013,2,0,0,0
7014,1,0,0,0
7014,2,0,0,0
7015,1,100,0,0
7015,2,400,0,0
7016,1,NA,NA,NA
7016,2,NA,NA,NA
7017,1,0,0,0
7017,2,0,0,0
7018,1,0,0,0
7018,2,0,0,0
7019,1,200,0,0
7019,2,600,0,0
7020,1,10,1,0
7020,2,45,3,0
7021,1,0,0,0
7021,2,0,0,0
7022,1,0,0,0
7022,2,3,0,0
7023,1,0,0,0
7023,2,0,0,0
7024,1,NA,NA,NA
7024,2,NA,NA,NA
7025,1,NA,NA,NA
7025,2,30,0,0
7026,1,0,0,0
7026,2,0,0,0
7027,1,95,0,0
7027,2,105,0,0
7028,1,NA,NA,NA
7028,2,0,0,0
7029,1,NA,NA,NA
7029,2,27,0,0
7030,1,0,0,0
7030,2,0,0,0
7031,1,NA,NA,NA
7031,2,NA,NA,NA
7032,1,0,0,0
7032,2,0,0,0
7033,1,12,0,0
7033,2,35,0,0
7034,1,0,0,0
7034,2,0,0,0
7035,1,NA,NA,NA
7035,2,NA,NA,NA
7036,1,NA,NA,NA
7036,2,0,0,0
7037,1,NA,NA,NA
7037,2,15,0,0
7038,1,NA,NA,NA
7038,2,0,0,0
7039,1,0,0,0
7039,2,0,0,0
7040,1,NA,NA,NA
7040,2,0,0,0
7041,1,NA,NA,NA
7041,2,NA,NA,NA
7042,1,0,0,0
7042,2,0,0,0
7043,1,NA,NA,NA
7043,2,70,0,0
7044,1,NA,NA,NA
7044,2,NA,NA,NA
7045,1,NA,NA,NA
7045,2,NA,NA,NA
7046,1,0,0,0
7046,2,0,0,0
7047,1,NA,NA,NA
7047,2,NA,NA,NA
7048,1,NA,NA,NA
7048,2,NA,NA,NA
7049,1,0,0,0
7049,2,0,0,0
7050,1,NSS,NSS,NSS
7050,2,NSS,NSS,NSS
7051,1,0,0,0
7051,2,0,0,0
7052,1,360,0,0
7052,2,2016,0,0
7053,1,0,0,0
7053,2,0,0,0
7054,1,NA,NA,NA
7054,2,2,1,0
7055,1,NA,NA,NA
7055,2,NA,NA,NA
7056,1,NA,NA,NA
7056,2,NA,NA,NA
7057,1,0,0,0
7057,2,0,0,0
7058,1,NA,NA,NA
7058,2,5,0,0
7059,1,NA,NA,NA
7059,2,0,0,0
7060,1,75,0,0
7060,2,450,0,0
7061,1,NA,NA,NA
7061,2,1605,0,0
7062,1,NA,NA,NA
7062,2,NA,NA,NA
7063,1,NA,NA,NA
7063,2,0,0,0
7064,1,NA,NA,NA
7064,2,NSS,NSS,NSS
7065,1,NA,NA,NA
7065,2,NA,NA,NA
7066,1,NSS,NSS,NSS
7066,2,NA,NA,NA
7067,1,NA,NA,NA
7067,2,50,0,0
7068,1,NA,NA,NA
7068,2,NA,NA,NA
7069,1,NA,NA,NA
7069,2,0,0,0
7070,1,13,0,0
7070,2,17,0,0
7071,1,NA,NA,NA
7071,2,NA,NA,NA
7072,1,0,0,0
7072,2,0,0,0
7073,1,0,0,0
7073,2,0,0,0
7074,1,NA,NA,NA
7074,2,NA,NA,NA
7075,1,0,0,0
7075,2,0,0,0
7076,1,NA,NA,NA
7076,2,NA,NA,NA
7077,1,NSS,NSS,NSS
7077,2,NSS,NSS,NSS
7078,1,2364,0,0
7078,2,2844,0,0
7079,1,NA,NA,NA
7079,2,500,0,0
7080,1,NA,NA,NA
7080,2,499,0,0
7081,1,0,0,0
7081,2,0,0,0
7082,1,NA,NA,NA
7082,2,NA,NA,NA
7083,1,NA,NA,NA
7083,2,0,0,0
7084,1,NA,NA,NA
7084,2,0,0,0
7085,1,NA,NA,NA
7085,2,0,0,0
7086,1,154,0,0
7086,2,680,0,0
7087,1,0,0,0
7087,2,0,0,0
7088,1,NA,NA,NA
7088,2,NA,NA,NA
7089,1,0,0,0
7089,2,0,0,0
7090,1,4,0,0
7090,2,12,0,0
7091,1,NA,NA,NA
7091,2,NA,NA,NA
7092,1,NA,NA,NA
7092,2,0,0,0
7093,1,NA,NA,NA
7093,2,NA,NA,NA
7094,1,NA,NA,NA
7094,2,0,0,0
7096,1,NA,NA,NA
7096,2,NA,NA,NA
7097,1,0,0,0
7097,2,0,0,0
7098,1,0,0,0
7098,2,0,0,0
7099,1,0,0,0
7099,2,0,0,0
7100,1,NA,NA,NA
7100,2,NA,NA,NA
7101,1,323,0,0
7101,2,301,0,0
7102,1,NA,NA,NA
7102,2,NA,NA,NA
7103,1,0,0,0
7103,2,0,0,0
7104,1,NA,NA,NA
7104,2,85,0,0
7105,1,NA,NA,NA
7105,2,NA,NA,NA
7106,1,NA,NA,NA
7106,2,30,0,0
7107,1,NA,NA,NA
7107,2,0,0,0
7108,1,0,0,0
7108,2,0,0,0
7109,1,NA,NA,NA
7109,2,NA,NA,NA
7110,1,NA,NA,NA
7110,2,NA,NA,NA
7111,1,0,0,0
7111,2,0,0,0
7112,1,NA,NA,NA
7112,2,NA,NA,NA
7113,1,0,0,0
7113,2,0,0,0
7114,1,53,0,0
7114,2,103,0,0
7115,1,NA,NA,NA
7115,2,NA,NA,NA
7116,1,NA,NA,NA
7116,2,NA,NA,NA
7117,1,NA,NA,NA
7117,2,0,0,0
7118,1,0,0,0
7118,2,0,0,0
7119,1,0,0,0
7119,2,0,0,0
7120,1,0,0,0
7120,2,0,0,0
7121,1,0,0,0
7121,2,0,0,0
7122,1,NA,NA,NA
7122,2,0,0,0
7123,1,NA,NA,NA
7123,2,NA,NA,NA
7124,1,NA,NA,NA
7124,2,NA,NA,NA
7125,1,0,0,0
7125,2,0,0,0
8001,1,NA,NA,NA
8001,2,NA,NA,NA
8002,1,0,0,0
8002,2,0,0,0
8003,1,0,0,0
8003,2,0,0,0
8004,1,187,0,0
8004,2,361,0,0
8005,1,NSS,NSS,NSS
8005,2,3191,0,0
8006,1,NA,NA,NA
8006,2,NA,NA,NA
8007,1,0,0,0
8007,2,0,0,0
8008,1,NA,NA,NA
8008,2,0,0,0
8009,1,NA,NA,NA
8009,2,NA,NA,NA
8010,1,NA,NA,NA
8010,2,NA,NA,NA
8011,1,0,0,0
8011,2,0,0,0
8012,1,NA,NA,NA
8012,2,NA,NA,NA
8013,1,NSS,NSS,NSS
8013,2,NSS,NSS,NSS
8014,1,NA,NA,NA
8014,2,NA,NA,NA
8015,1,0,0,0
8015,2,0,0,0
8016,1,NA,NA,NA
