ubicageo_f,capobg1,capobg2,capobg3,capobg4,capobg5,capobg6,capobg7,capobg8,capobg9,capobgne
1001,540220787.99,191434314.95,79762260.35,0,7452129.56,0,0,0,0,
1002,20579292.92,4929913.11,7038066.32,265376.8,108082.78,0,0,0,0,
1003,37294530.11,5109493.04,1980523.52,334886.84,0,0,0,0,0,
1004,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
1005,48084195.01,11060453.82,10818247.21,3000000,217722.67,0,0,0,0,
1006,NSS,2439799.32,471012.86,NSS,5148112.46,0,0,0,0,
1007,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
1008,5128229.84,1172121.9,585334.34,0,0,0,0,0,0,
1009,9374616.91,2820397.54,1937609.18,233000,0,0,0,0,0,
1010,412421.4,305314.93,107416.33,0,0,0,0,0,0,
1011,27250168,8470600.55,8315125.19,0,516709,81213,0,0,0,
2001,406390728.69,70105850.47,7644472.43,0,0,0,0,0,0,
2002,0,82718028,16214640.51,0,138000,0,0,0,0,
2003,79807147.49,8105305.03,2623517.63,0,15648.4,0,0,0,0,
2004,1234530653.83,336133659.28,187295273.28,138069.94,71177249.04,0,0,0,161873092.31,
2005,0,15657824,3579232,0,0,0,0,0,0,
2006,9205131.56,0,0,0,0,0,0,0,0,
2007,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
3001,0,0,0,0,0,0,0,0,0,
3002,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
3003,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,16049007
3008,134630948,61621000,92605433.59,0,9978507,0,0,0,0,
3009,850791.46,0,0,0,3422888.81,0,0,0,0,
4001,7463586.26,2805169.44,737169.33,0,24391.32,0,0,0,0,
4002,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4003,57464625.61,16861192.79,7791793.65,0,0,0,0,0,178296.86,
4004,12944447.03,10778016.85,3143181.48,17400,0,0,0,0,0,
4005,6828200.45,0,0,0,0,0,0,0,0,
4006,4767580.32,1248431.94,136797,0,29322.48,0,0,0,0,
4007,3487687,2534230,50664,74440,15109,0,0,0,0,
4008,1338096.48,0,0,0,0,0,0,0,0,
4009,7107281.56,0,0,0,0,0,0,0,0,
4010,3150919.86,0,0,0,0,0,0,0,0,
4011,827856,61325,52465,0,8191354,0,0,0,0,
4012,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4013,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5001,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
5002,39653480.8,9958593.92,4843830.89,598000,51300,0,0,0,0,
5003,2024521,298816.95,466873,0,5029,0,0,0,0,
5004,10749543.95,4762148.07,9225110.45,66000,981901.7,0,0,0,0,
5005,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
5006,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
5007,3662519.65,1118000,545000,0,74057.1,0,0,0,0,
5008,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5009,17221883.88,2352276.09,571787.77,0,33765,0,0,0,0,
5010,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
5011,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,5691402.77
5012,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5013,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5014,2656745.13,2638057.04,244094.14,0,63251.8,0,0,0,0,
5015,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5016,1257384.66,1074785.9,590080.01,0,311190.75,0,0,0,0,
5017,33880076.31,12166585.19,4298963.47,179470,91770.41,0,0,0,0,
5018,76689660.29,18450401.19,6068434.21,2342402.12,4947314.16,0,0,0,0,
5019,2200210.64,959447.37,2505990.18,0,0,0,0,0,0,
5020,11424166,5554704.07,1380156.73,576412,0,0,0,0,0,
5021,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
5022,10577192.31,4593035.94,2496705.4,17799,267603.82,0,0,0,0,
5023,3500000,1200000,250000,0,50000,0,0,0,0,
5024,9152759.58,2501512.71,1081301.46,0,539160.06,0,0,0,0,
5025,218821926.26,55726364.97,184909228.61,34005829.81,4822779.05,221241989.45,0,0,747472.55,
5026,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5027,42220256,27885262,12996599,162953,5906395,0,0,0,0,
5028,13919724.91,4175577.77,948002.79,0,13920,0,0,0,0,
5029,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
5030,637506.4,76982308.9,62407954.9,3512522.2,10168240.5,0,0,0,0,
5031,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
5032,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
5033,19788833.92,8398570.96,1943091.58,0,0,0,0,0,0,
5034,3012856.09,584208.93,379524.29,0,0,0,0,0,0,
5035,268317088.14,53842326.54,43695738.93,1311450,4286166.85,0,0,0,0,
5036,2686494.58,1399719.73,233549,0,0,0,0,0,0,
5037,3371805,2106016.64,2875556.08,0,0,0,0,0,0,
5038,1416289,783282.46,232065.06,0,0,0,0,0,0,
6001,18324108.48,1014571.15,271155.23,0,0,0,0,0,0,
6002,56124555.81,790317.28,402644.69,0,22941.49,0,0,0,0,
6003,8915138.07,2562799.8,649561.84,0,23014.16,0,0,0,0,
6004,10800086.62,1221105.92,3032794.78,0,80784,0,0,0,0,
6005,11920616.97,1387041.37,186563.66,1244837.52,0,0,0,8104.96,0,
6006,9760492.07,1062890.72,32101.12,568367.63,0,0,0,0,0,
6007,169566271,24076343.37,729220.39,1165050,10308695.94,0,0,0,0,
6008,6403060,2554041,615482,0,0,0,0,0,0,
6009,70511485.24,3437244,524547,0,0,0,0,0,0,
6010,77028326.53,9160189.31,18033579.46,0,458959.8,0,0,0,1733286.37,
7001,1025048,2562620,1537572,0,0,0,0,0,0,
7002,1854925,0,0,0,0,0,0,0,0,
7003,816462.8,201547,3148462,1002120.52,1134625,0,0,0,0,
7004,12970698.7,18086429.1,2030697.47,0,813635.03,0,0,0,0,
7005,1370166.67,0,0,0,0,0,0,0,0,
7006,3777080.36,2178580.89,0,0,0,0,0,0,0,
7007,2446332,180796,515643,37370,0,0,0,0,0,
7008,0,0,0,0,0,0,0,0,0,
7009,8589932.64,0,0,0,0,0,0,0,0,
7010,2476432.46,1134525.6,91190.64,0,0,0,0,0,0,
7011,4922785.28,5548575.5,4883505.99,0,4645133.23,0,0,0,0,
7012,18898755.9,1885968.66,1918317.18,30000,377162.2,0,0,0,0,
7013,23405982.24,0,0,0,0,0,0,0,0,
7014,4495493,0,0,0,0,0,0,0,0,
7015,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,16855123
7016,784212,345778,2457168,135744.66,0,0,0,0,0,
7017,0,0,0,0,1268023,4128660,0,0,0,
7018,425129.99,288709.33,0,0,0,0,0,0,0,
7019,10052818,1571456.01,0,0,0,0,0,0,0,
7020,4852144,1264411,196576,0,0,0,0,0,0,
7021,4569788.99,0,0,0,0,0,0,0,0,
7022,5470828.32,813225.37,0,0,0,0,0,0,0,
7023,14972709.44,756000,165327.8,0,0,0,0,0,0,
7024,2818558,674729.41,42400,0,0,0,0,0,0,
7025,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
7026,4561200,638496,722540,0,0,0,0,0,0,
7027,43156896,6769429,14039772,6040644,133668,0,0,0,1355939,
7028,1582925.98,238814.2,162680.53,0,0,0,0,0,0,
7029,4588639.1,0,0,0,0,0,0,0,0,
7030,809003.24,0,0,41071.2,546010.21,0,0,185142.41,0,
7031,22446768,7585039,2033237,3998115,331063.09,0,0,0,0,
7032,881668,1943121,0,0,0,0,0,0,0,
7033,0,0,300500,1000000,0,0,0,0,0,
7034,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
7035,1025048,2562620,1537572,0,0,0,0,0,0,
7036,0,0,0,0,0,0,0,0,0,
7037,10406341.51,6067695.35,3794994.01,0,3741983.97,784995.29,0,0,0,
7038,354226.81,0,7509.61,0,0,0,0,0,0,
7039,4401500,1188528.43,489270.96,0,14250.5,0,0,0,0,
7040,4052444.47,10613294.53,564950.16,0,0,225326.28,0,0,0,
7041,5475103,5994360.03,672710.4,0,268667.6,0,0,0,0,
7042,2963088.9,345200,98671.04,0,0,0,0,0,0,
7043,0,0,1150304,2000000,0,0,0,0,0,
7044,10668254.43,0,0,0,0,0,0,0,0,
7045,477143.71,89216.25,403206.1,0,0,0,0,0,0,
7046,7671164.87,1515570,531690.75,0,0,0,0,0,0,
7047,2111131.92,10324117.16,1263354.92,513014.14,411101.86,0,0,0,0,
7048,30000000,5000000,0,0,0,0,0,0,0,
7049,2481456.95,1144073.8,0,1169678.4,0,0,0,0,0,
7050,0,0,0,0,0,0,0,2411102.91,0,
7051,134814328,0,0,0,16982151,0,3075000,0,0,
7052,25604187.13,11031326.52,5340909.01,0,381150,0,0,0,0,
7053,1561691.28,571308.72,0,0,0,0,0,0,0,
7054,5858246.74,647732.01,398932.38,0,1749271.16,495539.51,0,0,0,
7055,405611,486734,567855,0,162244,0,0,0,0,
7056,3183505.47,280343.38,51642.4,0,0,0,0,0,0,
7057,2776833,744665,1728877,834858,56044.04,9613876,0,0,0,
7058,851890,686398,170891,0,0,0,0,0,0,
7059,40839290.6,7533601.53,8225748.61,8710984.61,882700,0,0,0,0,
7060,350255,110255,805265,1159326,30225.18,0,0,0,0,
