ubicageo_f,capobg1,capobg2,capobg3,capobg4,capobg5,capobg6,capobg7,capobg8,capobg9,capobgne
1001,541682460.87,221821506.44,103997442.47,0,68263142.05,0,0,0,0,
1002,24499625.24,6400969.48,5955774.46,480905.5,1643999.32,0,0,0,0,
1003,36170256.63,5573989.62,1940130.77,608870.77,0,0,0,0,0,
1004,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
1005,54379868.1,12507642.54,8305592.79,5500,15081074.09,0,0,0,0,
1006,NSS,2690224.34,401890.49,NSS,907839.63,0,0,0,0,
1007,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
1008,7352874.39,482367.41,470495.84,0,55840.66,0,0,0,0,
1009,10847809.07,2978688.37,2622967.56,552872,0,0,0,0,0,
1010,1386111.69,1886459.11,460986.74,0,0,0,0,0,0,
1011,32324763,8525519.72,4275520.07,3306592.6,262704,0,0,0,0,
2001,428950163.02,80763015.98,9781836.01,0,796139.9,0,0,0,0,
2002,0,100897269.17,105405225.59,0,113450908.96,0,0,0,0,
2003,86935918.45,11096544.84,7135609.46,0,1049452,0,0,0,0,
2004,1190745647.12,280540153.52,422982784.09,138687.54,45929445.14,14635427.41,0,0,175488000,
2005,0,20164234.16,5951222.73,150000,17780982.26,0,0,0,0,
2006,29501124.53,9800850.49,3558435.38,0,45163921.86,24934936.27,0,0,0,
2007,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
3001,0,0,0,0,5394307.53,0,0,0,0,
3002,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
3003,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,31331894
3008,174621003,81204740,74523500,0,36731977,0,0,0,0,
3009,1112220,0,0,0,2969350,0,0,0,0,
4001,8732569.14,3386445.19,806279.89,4020862.99,0,0,0,0,0,
4002,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4003,57548873.86,37600746.98,10977690.56,2700000,1288804.17,0,0,0,8229476.3,
4004,14207683.65,9937575.01,1312073.37,0,52220.67,636645.05,0,0,0,
4005,11589689.86,0,0,500250,0,0,0,0,0,
4006,4593123.96,1001141.26,156297.26,2819589.7,0,0,0,0,0,
4007,2978759,390592,169214,2213314,0,209764,0,0,0,
4008,1338096.48,0,0,0,0,0,0,0,0,
4009,6525993,5978.88,4060,4344762.26,0,0,0,0,0,
4010,4734818,0,0,0,0,0,0,0,0,
4011,906457,65238,58439,0,9540356,0,0,0,0,
4012,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4013,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5001,0,0,0,0,0,0,0,0,0,
5002,40732714.27,11382863.68,3626419.03,2203800,6633864.69,0,0,0,0,
5003,1809108.92,228973.85,649610.06,0,4280,0,0,0,0,
5004,12168156.05,6283669.4,10910094.77,1162008.74,4774407.82,0,0,0,0,
5005,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
5006,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
5007,4344830.81,1468000,645000,0,74057.1,0,0,0,0,
5008,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5009,16238376.08,2261686.49,1164492.22,0,533100,0,0,0,0,
5010,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
5011,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,5644254.76
5012,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5013,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5014,2656745.13,2638057.04,244094.14,0,63251.8,0,0,0,0,
5015,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5016,1383900.04,32432.99,2834.98,0,0,0,0,0,0,
5017,36653647.39,11853438.96,2491454.89,222081.45,643659.6,0,0,0,0,
5018,72381904.36,17501478.76,10283146.62,279095.26,32650592.99,0,0,0,0,
5019,2840760,911432.88,2257785.07,0,0,0,0,0,0,
5020,10119188,3492043.82,1818220.25,0,0,0,0,0,0,
5021,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
5022,13291097.11,3117108.3,1532106.91,35497.24,2248562,0,0,0,0,
5023,4100000,1700000,500000,0,150000,0,0,0,0,
5024,11563408.79,2113103.05,2197340.26,0,358069.25,0,0,0,0,
5025,278632748.82,52921638.6,206336404.32,55082110.74,24668874.82,184995195.87,0,0,0,
5026,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5027,43808912,30753258,9721689,155200,8899852,0,0,0,0,
5028,12348507.36,6165842.57,1269835.62,4999.99,913486.63,0,0,0,0,
5029,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
5030,440417956.11,162070543.08,114839553.61,3762248,36249133.95,1900291.12,0,0,0,
5031,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
5032,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
5033,17651112.13,7955511.74,2304372.65,0,681256.87,0,0,0,0,
5034,3359533.17,908800.93,507728.1,0,0,0,0,0,0,
5035,288936417.05,89166028.67,62184280.69,2803500,120091971.6,0,0,0,0,
5036,6998261.85,1887145.13,18842,0,0,0,0,0,0,
5037,3649228,1884891.41,2877552.85,0,311819.5,0,0,0,0,
5038,1389858.27,308020.18,193839.99,0,0,0,0,0,0,
6001,17855122.06,2579022.69,71931.87,0,0,0,0,0,0,
6002,56839838.26,2740414.41,118025.45,0,245508.82,0,0,0,0,
6003,9320044.76,3076300.14,310855.28,0,25774.35,0,0,0,0,
6004,11511485.94,1955012.07,2520712.45,0,0,0,0,0,0,
6005,11881353.3,3024201.24,488865.16,1025021.4,0,0,0,13627,0,
6006,11203660.75,1013579.32,281989.9,781551.13,0,0,0,0,0,
6007,170385357.9,23150022.8,2229733.2,110605033.5,15093210.1,0,0,0,0,
6008,9338201.23,1556966.5,222250,0,0,0,0,7700422,0,
6009,78106259,7775858,281118.08,0,17000,0,0,0,0,
6010,84591760.2,12216771.08,14305673.41,159333.32,1122707.5,0,0,0,2082401.26,
7001,801789.12,3474419.52,1069052.16,0,0,0,0,0,0,
7002,2568496.71,0,0,0,0,0,0,0,0,
7003,816462.8,1029640.5,2534658,934714,535179.75,0,0,0,0,2070359.5
7004,13198066.77,18403472.5,2066294.29,0,827897.54,0,0,0,0,
7005,0,552456.96,0,0,0,3445357.7,0,0,0,
7006,4721350.46,2723226.1,0,0,0,0,0,0,0,
7007,2588359,551467,301096,30501,0,0,0,0,0,
7008,6614100,865362.01,993060.79,0,0,0,0,0,0,
7009,9145482.6,0,0,0,0,0,0,0,0,
7010,2715300.45,948389.7,152960,0,0,0,0,0,0,
7011,5822785.28,4548575.5,4983505.99,0,4645133.23,0,0,0,0,
7012,19554636.46,2570521.03,2733923.68,80000,354979.8,197000,0,0,0,485949.52
7013,24690997.25,0,0,0,0,0,0,0,0,
7014,3409195,3860000,0,0,0,0,0,0,0,
7015,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,20779108
7016,869124,537812,2291200,646890.92,0,0,0,0,0,
7017,0,0,0,0,2090890,22381591,0,0,0,
7018,2368261,2376701.78,0,0,0,0,0,0,0,
7019,56140958.45,11420153.5,476052.7,0,6299137.18,0,0,0,0,
7020,3485236,784103,162910,0,0,0,0,0,0,
7021,4348191.69,0,0,0,0,0,0,0,0,
7022,5559905.06,1816355.18,0,0,0,0,0,0,0,
7023,21271600,0,425432,0,0,0,0,0,0,
7024,3233566,800000,42400,0,0,0,0,0,0,
7025,0,0,1000294,107000.54,0,0,0,0,0,
7026,4681599,1186095,1179374,0,0,0,0,0,0,
7027,48819528,8533676,16558769,7112344,1870149,0,0,0,1281736,
7028,1611288.56,278952.64,214790.32,0,267584.16,0,0,0,0,
7029,5219318.9,0,0,0,0,0,0,0,0,
7030,4488538.36,2169598.29,242300,300411.7,166924.41,0,0,744068.86,0,
7031,26048206,9317411.53,1936434,4259163,1783352,0,0,0,0,
7032,1179421.07,1220769,887114,1015632,0,0,0,0,0,
7033,0,0,600520,1000000,0,0,0,0,0,
