ubicageo_f,aniorefe_b,rnsnni1,nombre1,totalca1
1001,1,2,NO APLICA,NA
1001,2,2,NO APLICA,NA
1002,1,2,NO APLICA,NA
1002,2,2,NO APLICA,NA
1003,1,2,NO APLICA,NA
1003,2,2,NO APLICA,NA
1004,1,9,NO IDENTIFICADO,NSS
1004,2,9,NO IDENTIFICADO,NSS
1005,1,2,NO APLICA,NA
1005,2,2,NO APLICA,NA
1006,1,2,NO APLICA,NA
1006,2,2,NO APLICA,NA
1007,1,9,NO IDENTIFICADO,NSS
1007,2,9,NO IDENTIFICADO,NSS
1008,1,2,NO APLICA,NA
1008,2,2,NO APLICA,NA
1009,1,2,NO APLICA,NA
1009,2,2,NO APLICA,NA
1010,1,2,NO APLICA,NA
1010,2,2,NO APLICA,NA
1011,1,2,NO APLICA,NA
1011,2,2,NO APLICA,NA
2001,1,1,FORTAMUN,120834517.58
2001,2,1,FORTAMUN,125995728.08
2002,1,1,FORTAMUN,74763382.8
2002,2,2,NO APLICA,NA
2003,1,1,FORTANUM,NSS
2003,2,1,FORTANUM,NSS
2004,1,1,FORTAMUN,1265124092
2004,2,1,FORTAMUN,1430561471
2005,1,2,NO APLICA,NA
2005,2,2,NO APLICA,NA
2006,1,1,HOMOLOGACION,3201583.95
2006,2,2,NO APLICA,NA
2007,1,9,NO IDENTIFICADO,NSS
2007,2,9,NO IDENTIFICADO,NSS
3001,1,2,NO APLICA,NA
3001,2,2,NO APLICA,NA
3002,1,9,NO IDENTIFICADO,NSS
3002,2,9,NO IDENTIFICADO,NSS
3003,1,2,NO APLICA,NA
3003,2,2,NO APLICA,NA
3008,1,2,NO APLICA,NA
3008,2,2,NO APLICA,NA
3009,1,2,NO APLICA,NA
3009,2,2,NO APLICA,NA
4001,1,2,NO APLICA,NA
4001,2,1,ASIGNACIONES PRESUPUESTARIAS AL PODER EJECUTIVO,3761414.68
4002,1,2,NO APLICA,NA
4002,2,2,NO APLICA,NA
4003,1,2,NO APLICA,NA
4003,2,2,NO APLICA,NA
4004,1,2,NO APLICA,NA
4004,2,2,NO APLICA,NA
4005,1,2,NO APLICA,NA
4005,2,2,NO APLICA,NA
4006,1,9,NO IDENTIFICADO,NSS
4006,2,9,NO IDENTIFICADO,NSS
4007,1,9,NO IDENTIFICADO,NSS
4007,2,9,NO IDENTIFICADO,NSS
4008,1,2,NO APLICA,NA
4008,2,2,NO APLICA,NA
4009,1,2,NO APLICA,NA
4009,2,2,NO APLICA,NA
4010,1,2,NO APLICA,NA
4010,2,2,NO APLICA,NA
4011,1,2,NO APLICA,NA
4011,2,2,NO APLICA,NA
4012,1,0,NO APLICA,NA
4012,2,0,NO APLICA,NA
4013,1,0,NO APLICA,NA
4013,2,0,NO APLICA,NA
5001,1,2,NO APLICA,NA
5001,2,2,NO APLICA,NA
5002,1,2,NO APLICA,NA
5002,2,2,NO APLICA,NA
5003,1,9,NO IDENTIFICADO,NSS
5003,2,9,NO IDENTIFICADO,NSS
5004,1,2,NO APLICA,NA
5004,2,2,NO APLICA,NA
5005,1,9,NO IDENTIFICADO,NSS
5005,2,9,NO IDENTIFICADO,NSS
5006,1,2,NO APLICA,NA
5006,2,2,NO APLICA,NA
