ubicageo_f,aniorefe_b,rnsnni1,forfastt,forfas1,forfas2,forfas3
1001,1,1,606055369.39,606055369.39,0,0
1001,2,1,701591311.3,701591311.3,0,0
1002,1,1,32920731.93,32920731.93,0,0
1002,2,1,38981274,38981274,0,0
1003,1,1,38536050.01,38536050.01,0,0
1003,2,1,43838000,43838000,0,0
1004,1,9,NSS,NSS,NSS,NSS
1004,2,9,NSS,NSS,NSS,NSS
1005,1,1,33690416.2,29790416.2,3900000,0
1005,2,1,35695237.42,31720237.42,3975000,0
1006,1,1,8058924.64,NSS,8058924.65,NSS
1006,2,1,3852454.33,NSS,3852454.33,NSS
1007,1,9,NSS,NSS,NSS,NSS
1007,2,9,NSS,NSS,NSS,NSS
1008,1,1,3999213.84,0,3999213.84,0
1008,2,1,1999283.38,0,1999283.38,0
1009,1,1,1821256.02,0,1821256.02,0
1009,2,1,1248591.92,0,1248591.92,0
1010,1,1,NSS,0,NSS,0
1010,2,1,2154351.56,0,2154351.56,0
1011,1,1,40166543,38166543,2000000,0
1011,2,1,48966546,46966546,2000000,0
2001,1,1,120834517.58,120834517.58,0,0
2001,2,1,125995728.08,125995728.08,0,0
2002,1,1,74763382.8,74763382.8,0,0
2002,2,2,NA,NA,NA,NA
2003,1,1,NSS,NSS,0,0
2003,2,1,NSS,NSS,0,0
2004,1,1,1265124092,1265124092,0,0
2004,2,1,1430561471,1430561471,0,0
2005,1,2,NA,NA,NA,NA
2005,2,1,43896439.15,43896439.15,0,0
2006,1,9,NSS,NSS,NSS,NSS
2006,2,1,47111511,47111511,0,0
2007,1,9,NSS,NSS,NSS,NSS
2007,2,9,NSS,NSS,NSS,NSS
3001,1,2,NA,NA,NA,NA
3001,2,2,NA,NA,NA,NA
3002,1,9,NSS,NSS,NSS,NSS
3002,2,9,NSS,NSS,NSS,NSS
3003,1,1,8183920,991876,7192044,0
3003,2,1,13589380,6134065,7455315,0
3008,1,1,193779455,193779455,0,0
3008,2,1,246852980,246852980,0,0
3009,1,1,4273680.27,0,4273680.27,0
3009,2,1,4081570,0,4081570,0
4001,1,1,24391.32,0,0,24391.32
4001,2,1,60579.03,0,0,60579.03
4002,1,2,NA,NA,NA,NA
4002,2,2,NA,NA,NA,NA
4003,1,2,NA,NA,NA,NA
4003,2,2,NA,NA,NA,NA
4004,1,1,11939863.28,11939863.28,0,0
4004,2,1,11244887.09,11244887.09,0,0
4005,1,2,NA,NA,NA,NA
4005,2,1,500250,500250,0,0
4006,1,9,NSS,NSS,NSS,NSS
4006,2,9,NSS,NSS,NSS,NSS
4007,1,9,NSS,NSS,NSS,NSS
4007,2,9,NSS,NSS,NSS,NSS
4008,1,2,NA,NA,NA,NA
4008,2,2,NA,NA,NA,NA
4009,1,2,NA,NA,NA,NA
4009,2,2,NA,NA,NA,NA
4010,1,2,NA,NA,NA,NA
4010,2,2,NA,NA,NA,NA
4011,1,2,NA,NA,NA,NA
4011,2,2,NA,NA,NA,NA
4012,1,0,NA,NA,NA,NA
4012,2,0,NA,NA,NA,NA
4013,1,0,NA,NA,NA,NA
4013,2,0,NA,NA,NA,NA
5001,1,2,NA,NA,NA,NA
5001,2,2,NA,NA,NA,NA
5002,1,2,NA,NA,NA,NA
5002,2,2,NA,NA,NA,NA
5003,1,9,NSS,NSS,NSS,NSS
5003,2,9,NSS,NSS,NSS,NSS
5004,1,2,NA,NA,NA,NA
5004,2,2,NA,NA,NA,NA
5005,1,9,NSS,NSS,NSS,NSS
5005,2,9,NSS,NSS,NSS,NSS
5006,1,2,NA,NA,NA,NA
5006,2,2,NA,NA,NA,NA
5007,1,2,NA,NA,NA,NA
5007,2,2,NA,NA,NA,NA
5008,1,0,NA,NA,NA,NA
5008,2,0,NA,NA,NA,NA
5009,1,2,NA,NA,NA,NA
5009,2,2,NA,NA,NA,NA
5010,1,9,NSS,NSS,NSS,NSS
5010,2,9,NSS,NSS,NSS,NSS
5011,1,2,NA,NA,NA,NA
5011,2,2,NA,NA,NA,NA
5012,1,0,NA,NA,NA,NA
5012,2,0,NA,NA,NA,NA
5013,1,0,NA,NA,NA,NA
5013,2,0,NA,NA,NA,NA
5014,1,2,NA,NA,NA,NA
5014,2,2,NA,NA,NA,NA
5015,1,0,NA,NA,NA,NA
5015,2,0,NA,NA,NA,NA
5016,1,2,NA,NA,NA,NA
5016,2,2,NA,NA,NA,NA
5017,1,2,NA,NA,NA,NA
5017,2,2,NA,NA,NA,NA
5018,1,2,NA,NA,NA,NA
5018,2,2,NA,NA,NA,NA
5019,1,2,NA,NA,NA,NA
5019,2,2,NA,NA,NA,NA
5020,1,1,47367.25,47367.25,0,0
5020,2,1,54323.8,54323.8,0,0
5021,1,9,NSS,NSS,NSS,NSS
5021,2,9,NSS,NSS,NSS,NSS
5022,1,1,4428001,4428001,0,0
5022,2,1,5605302,5605302,0,0
5023,1,2,NA,NA,NA,NA
