ubicageo_f,aniorefe_b,prpltett,prplte1,prplte2,prplte4,prplte5,prpltene
1001,1,5000000,0,800000,4200000,0,
1001,2,1800000,0,800000,1000000,0,
1002,1,0,0,0,0,0,
1002,2,0,0,0,0,0,
1003,1,0,0,0,0,0,
1003,2,0,0,0,0,0,
1004,1,NSS,NSS,NSS,NSS,NSS,
1004,2,NSS,NSS,NSS,NSS,NSS,
1005,1,0,0,0,0,0,
1005,2,0,0,0,0,0,
1006,1,727500.96,NSS,727500.96,NSS,NSS,
1006,2,259958.32,NSS,259958.32,NSS,NSS,
1007,1,NSS,NSS,NSS,NSS,NSS,
1007,2,NSS,NSS,NSS,NSS,NSS,
1008,1,186058.2,186058.2,0,0,0,
1008,2,186058.2,186058.2,0,0,0,
1009,1,0,0,0,0,0,
1009,2,0,0,0,0,0,
1010,1,0,0,0,0,0,
1010,2,0,0,0,0,0,
1011,1,0,0,0,0,0,
1011,2,0,0,0,0,0,
2001,1,0,0,0,0,0,
2001,2,0,0,0,0,0,
2002,1,NSS,NSS,NSS,NSS,NSS,
2002,2,NSS,NSS,NSS,NSS,NSS,
2003,1,NSS,NSS,NSS,NSS,NSS,
2003,2,NSS,NSS,NSS,NSS,NSS,
2004,1,106335623.16,0,19280851.52,87054771.64,0,
2004,2,128066555.02,0,19102182.03,108964372.99,0,
2005,1,0,0,0,0,0,
2005,2,2485199.08,0,0,0,2485199.08,
2006,1,0,0,0,0,0,
2006,2,2088000,0,0,0,2088000,
2007,1,0,0,0,0,0,
2007,2,0,0,0,0,0,
3001,1,0,0,0,0,0,
3001,2,0,0,0,0,0,
3002,1,NSS,NSS,NSS,NSS,NSS,
3002,2,NSS,NSS,NSS,NSS,NSS,
3003,1,0,0,0,0,0,
3003,2,0,0,0,0,0,
3008,1,0,0,0,0,0,
3008,2,0,0,0,0,0,
3009,1,0,0,0,0,0,
3009,2,0,0,0,0,0,
4001,1,0,0,0,0,0,
4001,2,0,0,0,0,0,
4002,1,NA,NA,NA,NA,NA,
4002,2,NA,NA,NA,NA,NA,
4003,1,0,0,0,0,0,
4003,2,0,0,0,0,0,
4004,1,0,0,0,0,0,
4004,2,0,0,0,0,0,
4005,1,0,0,0,0,0,
4005,2,0,0,0,0,0,
4006,1,0,0,0,0,0,
4006,2,0,0,0,0,0,
4007,1,0,0,0,0,0,
4007,2,0,0,0,0,0,
4008,1,0,0,0,0,0,
4008,2,0,0,0,0,0,
4009,1,0,0,0,0,0,
4009,2,0,0,0,0,0,
4010,1,0,0,0,0,0,
4010,2,0,0,0,0,0,
4011,1,0,0,0,0,0,
4011,2,0,0,0,0,0,
4012,1,NA,NA,NA,NA,NA,
4012,2,NA,NA,NA,NA,NA,
4013,1,NA,NA,NA,NA,NA,
4013,2,NA,NA,NA,NA,NA,
5001,1,0,0,0,0,0,
5001,2,0,0,0,0,0,
5002,1,NA,NA,NA,NA,NA,
5002,2,NA,NA,NA,NA,NA,
5003,1,0,0,0,0,0,
5003,2,0,0,0,0,0,
5004,1,0,0,0,0,0,
5004,2,0,0,0,0,0,
5005,1,NSS,NSS,NSS,NSS,NSS,
5005,2,NSS,NSS,NSS,NSS,NSS,
5006,1,NSS,NSS,NSS,NSS,NSS,
5006,2,NSS,NSS,NSS,NSS,NSS,
5007,1,0,0,0,0,0,
5007,2,0,0,0,0,0,
5008,1,NA,NA,NA,NA,NA,
5008,2,NA,NA,NA,NA,NA,
5009,1,NSS,NSS,NSS,NSS,NSS,
5009,2,NSS,NSS,NSS,NSS,NSS,
5010,1,NSS,NSS,NSS,NSS,NSS,
5010,2,NSS,NSS,NSS,NSS,NSS,
5011,1,0,0,0,0,0,
5011,2,179449.68,0,0,179449.68,0,
5012,1,NA,NA,NA,NA,NA,
5012,2,NA,NA,NA,NA,NA,
5013,1,NA,NA,NA,NA,NA,
5013,2,NA,NA,NA,NA,NA,
5014,1,0,0,0,0,0,
5014,2,0,0,0,0,0,
5015,1,NA,NA,NA,NA,NA,
5015,2,NA,NA,NA,NA,NA,
5016,1,0,0,0,0,0,
5016,2,0,0,0,0,0,
5017,1,0,0,0,0,0,
5017,2,0,0,0,0,0,
5018,1,0,0,0,0,0,
5018,2,0,0,0,0,0,
5019,1,0,0,0,0,0,
5019,2,0,0,0,0,0,
5020,1,0,0,0,0,0,
5020,2,0,0,0,0,0,
5021,1,NSS,NSS,NSS,NSS,NSS,
5021,2,NSS,NSS,NSS,NSS,NSS,
5022,1,44459.32,0,0,0,44459.32,
5022,2,0,0,0,0,0,
5023,1,0,0,0,0,0,
5023,2,0,0,0,0,0,
5024,1,NSS,NSS,NSS,NSS,NSS,
5024,2,NSS,NSS,NSS,NSS,NSS,
5025,1,0,0,0,0,0,
5025,2,0,0,0,0,0,
5026,1,NA,NA,NA,NA,NA,
5026,2,NA,NA,NA,NA,NA,
5027,1,0,0,0,0,0,
5027,2,0,0,0,0,0,
5028,1,0,0,0,0,0,
5028,2,0,0,0,0,0,
5029,1,NSS,NSS,NSS,NSS,NSS,
5029,2,NSS,NSS,NSS,NSS,NSS,
5030,1,2835090.44,NA,123469.8,1743456.8,968163.84,
5030,2,14225021.04,NA,2958959.28,9078624,2187437.76,
5031,1,NA,NA,NA,NA,NA,
5031,2,NA,NA,NA,NA,NA,
5032,1,NSS,NSS,NSS,NSS,NSS,
5032,2,NSS,NSS,NSS,NSS,NSS,
5033,1,0,0,0,0,0,
5033,2,0,0,0,0,0,
5034,1,0,0,0,0,0,
5034,2,0,0,0,0,0,
5035,1,0,0,0,0,0,
5035,2,91056919.37,0,0,64365679.21,26691240.16,
5036,1,0,0,0,0,0,
5036,2,0,0,0,0,0,
5037,1,0,0,0,0,0,
5037,2,0,0,0,0,0,
5038,1,0,0,0,0,0,
5038,2,0,0,0,0,0,
6001,1,0,0,0,0,0,
6001,2,0,0,0,0,0,
6002,1,0,0,0,0,0,
6002,2,503569.92,0,0,503569.92,0,
6003,1,0,0,0,0,0,
6003,2,0,0,0,0,0,
6004,1,0,0,0,0,0,
6004,2,0,0,0,0,0,
6005,1,0,0,0,0,0,
6005,2,0,0,0,0,0,
6006,1,0,0,0,0,0,
6006,2,0,0,0,0,0,
6007,1,0,0,0,0,0,
6007,2,0,0,0,0,0,
6008,1,0,0,0,0,0,
6008,2,0,0,0,0,0,
6009,1,0,0,0,0,0,
6009,2,0,0,0,0,0,
6010,1,0,0,0,0,0,
6010,2,0,0,0,0,0,
7001,1,0,0,0,0,0,
7001,2,0,0,0,0,0,
7002,1,0,0,0,0,0,
7002,2,0,0,0,0,0,
7003,1,0,0,0,0,0,
7003,2,0,0,0,0,0,
7004,1,0,0,0,0,0,
7004,2,0,0,0,0,0,
7005,1,0,0,0,0,0,
7005,2,213112.1,0,213112.1,0,0,
7006,1,0,0,0,0,0,
7006,2,0,0,0,0,0,
7007,1,0,0,0,0,0,
7007,2,0,0,0,0,0,
7008,1,0,0,0,0,0,
7008,2,0,0,0,0,0,
7009,1,1838014.63,0,0,1489000,349014.63,
7009,2,1811845.89,0,46081,1765764.89,0,
7010,1,0,0,0,0,0,
7010,2,0,0,0,0,0,
7011,1,0,0,0,0,0,
7011,2,156600,0,156600,0,0,
7012,1,80161.28,0,80161.28,0,0,
7012,2,818033.69,0,295979.8,522053.89,0,
7013,1,0,0,0,0,0,
7013,2,0,0,0,0,0,
7014,1,0,0,0,0,0,
7014,2,0,0,0,0,0,
7015,1,0,0,0,0,0,
7015,2,0,0,0,0,0,
7016,1,0,0,0,0,0,
7016,2,0,0,0,0,0,
7017,1,0,0,0,0,0,
7017,2,0,0,0,0,0,
7018,1,0,0,0,0,0,
7018,2,1442965.76,0,0,1442965.76,0,
7019,1,0,0,0,0,0,
