ubicageo_f,aniorefe_b,presup1,presup2,presup3
1001,1,845060744.3,837641259.46,818869492.85
1001,2,834717608,947000450.92,935764551.83
1002,1,32213000,32920731.93,32920731.93
1002,2,38785000,38981274,38981274
1003,1,42220466.6,42220466.6,44719433.51
1003,2,44502885.18,44502885.18,44293247.79
1004,1,NSS,NSS,NSS
1004,2,NSS,NSS,NSS
1005,1,67011518,73180618.71,73180618.71
1005,2,85678673.6,90481385.54,90279677.52
1006,1,6705790.84,8058924.65,8058924.64
1006,2,3999954.46,3852454.33,3999954.46
1007,1,NSS,NSS,NSS
1007,2,NSS,NSS,NSS
1008,1,6264151.7,6264151.7,6885686.08
1008,2,8361578.3,8361578.3,8361578.3
1009,1,14508000,14365623.63,14365623.63
1009,2,14508000,14508000,17002337
1010,1,825152.66,825152.66,825152.66
1010,2,5281416.04,5281416.04,3733557.54
1011,1,32206000,32206000,44633815.74
1011,2,46658000,46658000,48695099.39
2001,1,451152332.84,530466674.89,484141051.59
2001,2,444087629.32,540696061.36,520291154.91
2002,1,NSS,99070668.51,99070668.51
2002,2,NSS,118742465.69,319753403.72
2003,1,110341037.8,122916642.89,90551618.55
2003,2,117005881.15,133295524.16,106217524.75
2004,1,1813826372.56,2092325452.11,1991147997.68
2004,2,1769849087.58,2238271023.81,2130460144.82
2005,1,19237056,19237056,19237056
2005,2,44046439.15,44046439.15,44046439.15
2006,1,87340418.84,87340418.84,9205131.56
2006,2,84549350.15,84549350,112959268.53
2007,1,NSS,NSS,NSS
2007,2,NSS,NSS,NSS
3001,1,0,0,0
3001,2,5394307.53,5394307.53,5394307.53
3002,1,NSS,NSS,NSS
3002,2,NSS,NSS,NSS
3003,1,16049007,16049007,16049007
3003,2,31331894,31331894,31331894
3008,1,298000000,298835888.59,298835888.59
3008,2,360000000,367081220,367081220
3009,1,4273680.27,4273680.27,4273680.27
3009,2,4081570,4081570,4081570
4001,1,11177258,11177258,11030316.35
4001,2,13124163.5,13124163.5,16946157.21
4002,1,NA,NA,NA
4002,2,NA,NA,NA
4003,1,127267108.05,127267108.05,82295908.91
4003,2,128390670,128390670,118345591.87
