COLUMNA,DESCRIPCION,ORIGEN,TIPO_DATO,LONGITUD,CODIGO_VALIDO
ubicageo_f,Municipio,SECC I. 105,Numérico,5,0 al 99999
institsp_a,Tipo de instituciones,SECC I. 105,Numérico,2,1 al 99
rnsnni1,Recepción de donaciones de bienes materiales para el ejercicio de las funciones,SECC I. 105,Numérico,2,0 al 98
bimado1,Cámara Gesell,SECC I. 105,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
bimado2,Cámaras de sensor de movimiento,SECC I. 105,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
bimado3,Cámaras de reconocimiento de placas vehiculares (LPR),SECC I. 105,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
bimado4,Detectores de metal,SECC I. 105,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
bimado5,Detectores de narcóticos y/o estupefacientes,SECC I. 105,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
bimado6,Equipos para medir el nivel de alcohol en la sangre (alcoholímetros),SECC I. 105,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
bimado7,Grabadora de audio y video,SECC I. 105,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
bimado8,Radares o pistolas-radar de velocidad,SECC I. 105,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
bimado9,Radio de comunicación digital troncalizado (MATRA / EADS),SECC I. 105,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
bimado10,Equipo para registro de datos biométricos,SECC I. 105,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
bimado11,Chaleco balístico,SECC I. 105,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
bimado12,Chaleco balístico anatómico para mujeres,SECC I. 105,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
bimado13,Casco,SECC I. 105,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
bimado14,Escudo antimotín o antidisturbios,SECC I. 105,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
bimado15,Rodilleras y coderas contra impactos,SECC I. 105,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
bimado16,Binoculares con visión nocturna,SECC I. 105,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
bimado17,Equipo de radiocomunicación,SECC I. 105,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
bimado18,"Cámara corporal (body cam, cámaras de solapa u otras similares)",SECC I. 105,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
bimado19,Tabletas o dispositivos electrónicos para el registro de presuntas faltas cívicas y/o presuntos delitos,SECC I. 105,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
bimado20,"Bastón PR-24, tolete o su equivalente",SECC I. 105,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
bimado21,Dispositivos que generen descargas eléctricas,SECC I. 105,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
bimado22,Esposas o candados de mano,SECC I. 105,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
bimado23,Esposas o candados de pie,SECC I. 105,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
bimado24,Sustancias irritantes en aerosol,SECC I. 105,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
bimado25,Armas de fuego permitidas,SECC I. 105,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
bimado26,Explosivos permitidos,SECC I. 105,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
bimado27,Otro tipo de bienes materiales,SECC I. 105,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
