ARCHIVO,CONTENIDO
m3s1p30,"Mecanismos de la institución encargada de la función de seguridad pública para la prevención e identificación de actos de corrupción o abuso de autoridad por parte del personal adscrito, al cierre del año 2022."
m3s1p31,"Existencia de alguna unidad de asuntos internos u homóloga para la supervisión y vigilancia del personal adscrito a la institución encargada de la función de seguridad pública, al cierre del año 2022."
m3s1p32,"Personal adscrito a la unidad de asuntos internos u homóloga de la institución encargada de la función de seguridad pública, según rango de edad y sexo, al cierre del año 2022."
m3s1p33,"Personal adscrito a la unidad de asuntos internos u homóloga de la institución encargada de la función de seguridad pública, según funciones y sexo, al cierre del año 2022."
m3s1p34,"Quejas ciudadanas en contra del personal recibidas por la unidad de asuntos internos u homóloga de la institución encargada de la función de seguridad pública, según tipo de organización policial, durante los años 2021 y 2022."
m3s1p35a,"Existencia de un catálogo de faltas o infracciones disciplinarias y sanciones o correctivos disciplinarios en la unidad de asuntos internos u homóloga de la institución encargada de la función de seguridad pública, al cierre del año 2022."
m3s1p35b,"Tipo de faltas o infracciones disciplinarias registradas con mayor frecuencia por la unidad de asuntos internos u homóloga (si no contaban con un catálogo de faltas o infracciones disciplinarias y sanciones o correctivos disciplinarios), al cierre del año 2022."
m3s1p36,"Elementos o insumos considerados en la investigación, substanciación y determinación de sanción al personal adscrito a la institución encargada de la función de seguridad pública con motivo de la aplicación de la normatividad en materia de régimen disciplinario, durante los años 2021 y 2022."
m3s1p37a,"Personal adscrito a la institución encargada de la función de seguridad pública sancionado, según grado de organización jerárquica y sexo, durante el año 2021."
m3s1p37b,"Personal adscrito a la institución encargada de la función de seguridad pública sancionado, según grado de organización jerárquica y sexo, durante el año 2022."
m3s1p38,"Personal adscrito a la institución encargada de la función de seguridad pública sancionado, según tipo de sanciones o correctivos disciplinarios, grado de organización jerárquica y sexo, durante el año 2022."
m3s1p39,"Personal adscrito a la institución encargada de la función de seguridad pública sancionado, según tipo de faltas o infracciones disciplinarias, grado de organización jerárquica y sexo, durante el año 2022."
m3s1p40,"Personal adscrito a la institución encargada de la función de seguridad pública sancionado, según tipo de faltas o infracciones disciplinarias y tipo de sanción o correctivo disciplinario, durante el año 2022."
m3s1p41,"Personal adscrito a la institución encargada de la función de seguridad pública denunciado ante el Ministerio Público por algún presunto delito cometido en el ejercicio de sus funciones, según sexo, durante los años 2021 y 2022."
m3s1p42a,"Personal adscrito a la institución encargada de la función de seguridad pública denunciado ante el Ministerio Público por algún presunto delito cometido en el ejercicio de sus funciones, según grado de organización jerárquica y sexo, durante el año 2021."
m3s1p42b,"Personal adscrito a la institución encargada de la función de seguridad pública denunciado ante el Ministerio Público por algún presunto delito cometido en el ejercicio de sus funciones, según grado de organización jerárquica y sexo, durante el año 2022."
