ubicageo_f,mediacce_f,siaplica
1001,1,1
1001,2,
1001,3,1
1001,4,1
1001,5,1
1001,6,
1001,7,
1001,8,
1001,9,
1002,1,
1002,2,
1002,3,1
1002,4,
1002,5,
1002,6,1
1002,7,
1002,8,
1002,9,
1003,1,1
1003,2,
1003,3,1
1003,4,
1003,5,
1003,6,
1003,7,
1003,8,
1003,9,
1004,1,1
1004,2,
1004,3,
1004,4,
1004,5,
1004,6,
1004,7,
1004,8,
1004,9,
1005,1,1
1005,2,1
1005,3,
1005,4,
1005,5,
1005,6,
1005,7,
1005,8,
1005,9,
1006,1,
1006,2,
1006,3,
1006,4,
1006,5,
1006,6,
1006,7,
1006,8,1
1006,9,
1007,1,
1007,2,
1007,3,
1007,4,
1007,5,
1007,6,
1007,7,
1007,8,1
1007,9,
1008,1,1
1008,2,
1008,3,
1008,4,
1008,5,
1008,6,
1008,7,1
1008,8,
1008,9,
1009,1,1
1009,2,
1009,3,
1009,4,
1009,5,
1009,6,
1009,7,
1009,8,
1009,9,
1010,1,1
1010,2,
1010,3,1
1010,4,
1010,5,
1010,6,
1010,7,
1010,8,
1010,9,
1011,1,1
1011,2,
1011,3,1
1011,4,
1011,5,
1011,6,1
1011,7,
1011,8,
1011,9,
2001,1,1
2001,2,
2001,3,
2001,4,
2001,5,
2001,6,
2001,7,
2001,8,
2001,9,
2002,1,1
2002,2,1
2002,3,1
2002,4,
2002,5,1
2002,6,1
2002,7,
2002,8,
2002,9,
2003,1,
2003,2,
2003,3,
2003,4,
2003,5,
2003,6,
2003,7,
2003,8,1
2003,9,
2004,1,
2004,2,
2004,3,
2004,4,
2004,5,
2004,6,
2004,7,1
2004,8,
2004,9,
2005,1,1
2005,2,
2005,3,
2005,4,
2005,5,
2005,6,
2005,7,
2005,8,
2005,9,
2006,1,
2006,2,
2006,3,
2006,4,
2006,5,
2006,6,
2006,7,
2006,8,1
2006,9,
2007,1,
2007,2,
2007,3,1
2007,4,
2007,5,
2007,6,
2007,7,
2007,8,
2007,9,
3001,1,1
3001,2,
3001,3,1
3001,4,
3001,5,
3001,6,
3001,7,
3001,8,
3001,9,
3002,1,1
3002,2,
3002,3,
3002,4,
3002,5,
3002,6,
3002,7,
3002,8,
