ubicageo_f,numeral,nombre1
1001,1,NO APLICA
1002,1,NO APLICA
1003,1,NO APLICA
1004,1,NO APLICA
1005,1,NO APLICA
1006,1,NO APLICA
1007,1,NO APLICA
1008,1,NO APLICA
1009,1,NO APLICA
1010,1,NO APLICA
1011,1,NO APLICA
2001,1,NO APLICA
2002,1,NO APLICA
2003,1,NO APLICA
2004,1,NO APLICA
2005,1,NO APLICA
2006,1,NO APLICA
2007,1,NO APLICA
3001,1,NO APLICA
3002,1,NO APLICA
3003,1,NO APLICA
3008,1,REALIZAR CONDUCTAS QUE DESACREDITEN SU PERSONA E IMAGEN DE LA INSTITUCION DENTRO O FUERA DEL SERVICIO
3008,2,FALTAR A SUS LABORES POR AS DE TRES TURNOS EN UN PERIODO DE 30 DIAS NATURALES SIN PERMISO O CAUSA JUSTIFICADA
3008,3,NO OBSERVAR UN TRATO RESPETUOSO CON TODAS LAS PERSONAS
3008,4,NEGARSE A IDENTIFICARSE CON DOCUMENTO OFICIAL QUE EMITA LA AUTORIDAD COMPETENTE EN EL QUE SE SEÑALE LA INSTITUCION POLICIAL A LA QUE PERTENECE
3008,5,ABUSO DE AUTORIDAD
3009,1,NO APLICA
4001,1,NO APLICA
4002,1,NO APLICA
4003,1,NO APLICA
4004,1,NO APLICA
4005,1,NO APLICA
4006,1,NO APLICA
4007,1,NO APLICA
4008,1,NO APLICA
4009,1,NO APLICA
4010,1,NO APLICA
4011,1,NO APLICA
4012,1,NO APLICA
4013,1,NO APLICA
5001,1,NO APLICA
5002,1,NO APLICA
5003,1,NO APLICA
5004,1,NO APLICA
5005,1,NO APLICA
5006,1,NO APLICA
5007,1,NO APLICA
5008,1,NO APLICA
5009,1,NO APLICA
5010,1,NO APLICA
5011,1,NO APLICA
5012,1,NO APLICA
5013,1,NO APLICA
5014,1,NO IDENTIFICADO
5015,1,NO APLICA
5016,1,NO APLICA
5017,1,NO APLICA
5018,1,NO APLICA
5019,1,NO APLICA
5020,1,NO APLICA
5021,1,NO APLICA
5022,1,NO APLICA
5023,1,NO APLICA
5024,1,NO APLICA
5025,1,NO APLICA
5026,1,NO APLICA
5027,1,NO APLICA
5028,1,NO APLICA
5029,1,NO APLICA
5030,1,NO APLICA
5031,1,NO APLICA
5032,1,NO APLICA
5033,1,FALTAR INJUSTIFICADAMENTE A SUS LABORES POR UN DIA
5034,1,NO APLICA
5035,1,NO APLICA
5036,1,NO APLICA
5037,1,NO APLICA
5038,1,NO APLICA
6001,1,NO APLICA
6002,1,NO APLICA
6003,1,NO APLICA
6004,1,NO APLICA
6005,1,NO APLICA
6006,1,NO APLICA
6007,1,NO APLICA
6008,1,NO APLICA
6009,1,NO APLICA
