ubicageo_f,aniorefe_b,elinsp1,elinsp2,elinsp3,elinsp4,elinsp5,elinsp6,elinsp7,elinsp8,elinsp9
1001,1,,,,,,,,,1
1001,2,,,,,,,,,1
1002,1,,,,,,,,1,
1002,2,,,,,,,,1,
1003,1,,,,,,,,1,
1003,2,,,,,,,,1,
1004,1,,,,,,,,1,
1004,2,,,,,,,,1,
1005,1,,1,,,,,,,
1005,2,,1,,,,,,,
1006,1,,,,,,,1,,
1006,2,,,,,,,1,,
1007,1,,,,,,,,1,
1007,2,,,,,,,,1,
1008,1,,,,,,,,1,
1008,2,,,,,,,,1,
1009,1,,,,,,,,1,
1009,2,,,,,,,,1,
1010,1,,,,,,,,1,
1010,2,,,,,,,,1,
1011,1,1,,1,,,,,,
1011,2,1,,1,,,,,,
2001,1,,1,,,,,1,,
2001,2,,1,,,,,1,,
2002,1,,,,,,,,,1
2002,2,,,,,,,,,1
2003,1,,,,,,,,1,
2003,2,,,,,,,,1,
2004,1,1,,,,,,1,,
2004,2,,,,,,,1,,
2005,1,,,,,,,,1,
2005,2,,,,,,,1,,
2006,1,,,,,,,,1,
2006,2,,,,,,,,1,
2007,1,,,,,,,,1,
2007,2,,,,,,,,1,
3001,1,1,1,1,1,1,,,,
3001,2,1,1,1,1,1,,,,
3002,1,1,,,,,,,,
3002,2,1,,,,,,,,
3003,1,,,,,,,,1,
3003,2,,,,,,,,1,
3008,1,,,,,,,,,1
3008,2,,,,,,,,,1
3009,1,,,,,,,,1,
3009,2,,,,,,,,1,
4001,1,,,,,,,,1,
4001,2,,,,,,,,1,
4002,1,,,,,,,,1,
4002,2,,,,,,,,1,
4003,1,1,,1,,1,,,,
4003,2,1,,1,,1,,,,
4004,1,,,,,,,,1,
4004,2,,,,,,,,1,
4005,1,,,,,,,,1,
4005,2,,,,,,,,1,
4006,1,,,,,,,,,1
4006,2,,,,,,,,,1
4007,1,,,,,,,,1,
4007,2,,,,,,,,1,
4008,1,,,,,,,,1,
4008,2,,,,,,,,1,
4009,1,,,,,,,,1,
4009,2,,,,,,,,1,
4010,1,,,,,,,,1,
4010,2,,,,,,,,1,
4011,1,,,,,,,,1,
4011,2,,,,,,,,1,
4012,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
4012,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
4013,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
4013,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
5001,1,1,,,,,,,,
5001,2,1,,,,,,,,
5002,1,,,,,,,,1,
5002,2,,,,,,,,1,
5003,1,,,,,,,,1,
5003,2,,,,,,,,1,
5004,1,,,,,,,,1,
5004,2,,,,,,,,1,
5005,1,,,,,,,,1,
5005,2,,,,,,,,1,
5006,1,1,,,,,,,,
5006,2,,,,,,,,,1
5007,1,,,,,,,,1,
5007,2,,,,,,,,1,
5008,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
5008,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
5009,1,1,1,,,,,,,
5009,2,1,1,,,,,,,
5010,1,,,,,,,,1,
5010,2,,,,,,,,1,
5011,1,,,,,,,,1,
5011,2,,,,,,,,1,
5012,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
5012,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
5013,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
5013,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
5014,1,,,,,,,,,1
5014,2,,,,,,,,,1
5015,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
5015,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
5016,1,,,,,,,,1,
5016,2,,,,,,,,1,
5017,1,,,,,,,,,1
5017,2,,,,,,,1,,
5018,1,,,,,,,,,1
5018,2,1,,,,,,,,
5019,1,,,,,,,,,1
5019,2,,,,,,,,,1
5020,1,,,,,,,,1,
5020,2,1,,,,,,,,
5021,1,,,,,,,,1,
5021,2,,,,,,,,1,
5022,1,,,,,,,,1,
5022,2,,,,,,,,1,
5023,1,,,,,,,,1,
5023,2,,,,,,,,1,
5024,1,,,,,,,,1,
5024,2,,,,,,,,1,
5025,1,,,,,,,,1,
5025,2,1,1,1,1,1,,,,
5026,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
5026,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
5027,1,,,,,,,,1,
5027,2,,,,,,,,1,
5028,1,,,,,,,,1,
5028,2,,,,,,,,1,
5029,1,,,,,,,,1,
5029,2,,,,,,,,1,
5030,1,1,1,,,1,,1,,
5030,2,1,1,,,1,,1,,
5031,1,,,,,,,,1,
5031,2,,1,,,,,,,
5032,1,,1,1,1,,,,,
5032,2,,1,1,1,,,,,
5033,1,,,,,,,,1,
5033,2,,,,,,,,,1
5034,1,1,,,,,,,,
5034,2,1,,,,,,,,
5035,1,,1,1,,1,,,,
5035,2,,1,1,,1,,,,
5036,1,,,,,,,,,1
5036,2,,,,,,,,,1
5037,1,,,,,,,,,1
5037,2,,,,,,,,,1
5038,1,,,,,,,,1,
5038,2,,,,,,,,1,
6001,1,,,,,,,,1,
6001,2,,,,,,,,1,
6002,1,1,1,1,1,,,,,
6002,2,,,,,,,,1,
6003,1,,,,,,,,1,
6003,2,,,,,,,,1,
6004,1,,,,,,,,1,
6004,2,,,,,,,,1,
6005,1,,,,,,,,1,
6005,2,,,,,,,,1,
6006,1,1,,,,,,,,
6006,2,1,,,,,,,,
6007,1,1,,,,,,,,
6007,2,1,,,,,,,,
6008,1,,,,,,,,1,
6008,2,,1,,,,,,,
6009,1,,,,,,,,1,
6009,2,,,,,,,,1,
6010,1,,,,,,,,1,
6010,2,,1,,,,,,,
7001,1,,,,,,,,,1
7001,2,,,,,,,,,1
7002,1,,,,,,,,1,
7002,2,,,,,,,,1,
7003,1,,,,,,,,,1
7003,2,,,,,,,,,1
7004,1,,,,,,,,,1
7004,2,,,,,,,,,1
7005,1,,,,,,,,1,
7005,2,,,,,,,,1,
7006,1,,,,,,,,,1
7006,2,,,,,,,,,1
7007,1,,,,,,,,1,
7007,2,,,,,,,,1,
7008,1,,,,,,,,,1
7008,2,,,,,,,,,1
7009,1,,,,,,,,1,
7009,2,,,,,,,,1,
7010,1,,,,,,,,,1
