ubicageo_f,institsp_b,rnsnni1,instregu_d,anio_a,indefi_a,anio_b,indefi_b
1001,1,0,0,NA,NA,NA,NA
1001,2,0,0,NA,NA,NA,NA
1001,3,0,0,NA,NA,NA,NA
1001,4,0,0,NA,NA,NA,NA
1001,5,0,0,NA,NA,NA,NA
1002,1,0,0,NA,NA,NA,NA
1002,2,0,0,NA,NA,NA,NA
1002,3,0,0,NA,NA,NA,NA
1002,4,0,0,NA,NA,NA,NA
1002,5,0,0,NA,NA,NA,NA
1003,1,0,0,NA,NA,NA,NA
1003,2,0,0,NA,NA,NA,NA
1003,3,0,0,NA,NA,NA,NA
1003,4,0,0,NA,NA,NA,NA
1003,5,0,0,NA,NA,NA,NA
1004,1,0,0,NA,NA,NA,NA
1004,2,0,0,NA,NA,NA,NA
1004,3,0,0,NA,NA,NA,NA
1004,4,0,0,NA,NA,NA,NA
1004,5,0,0,NA,NA,NA,NA
1005,1,0,0,NA,NA,NA,NA
1005,2,0,0,NA,NA,NA,NA
1005,3,0,0,NA,NA,NA,NA
1005,4,0,0,NA,NA,NA,NA
1005,5,0,0,NA,NA,NA,NA
1006,1,0,0,NA,NA,NA,NA
1006,2,0,0,NA,NA,NA,NA
1006,3,0,0,NA,NA,NA,NA
1006,4,0,0,NA,NA,NA,NA
1006,5,0,0,NA,NA,NA,NA
1007,1,0,0,NA,NA,NA,NA
1007,2,0,0,NA,NA,NA,NA
1007,3,0,0,NA,NA,NA,NA
1007,4,0,0,NA,NA,NA,NA
1007,5,0,0,NA,NA,NA,NA
1008,1,0,0,NA,NA,NA,NA
1008,2,0,0,NA,NA,NA,NA
1008,3,0,0,NA,NA,NA,NA
1008,4,0,0,NA,NA,NA,NA
1008,5,0,0,NA,NA,NA,NA
1009,1,0,0,NA,NA,NA,NA
1009,2,0,0,NA,NA,NA,NA
1009,3,0,0,NA,NA,NA,NA
1009,4,0,0,NA,NA,NA,NA
1009,5,0,0,NA,NA,NA,NA
1010,1,0,0,NA,NA,NA,NA
1010,2,0,0,NA,NA,NA,NA
1010,3,0,0,NA,NA,NA,NA
1010,4,0,0,NA,NA,NA,NA
1010,5,0,0,NA,NA,NA,NA
1011,1,0,0,NA,NA,NA,NA
1011,2,0,0,NA,NA,NA,NA
1011,3,0,0,NA,NA,NA,NA
1011,4,0,0,NA,NA,NA,NA
1011,5,0,0,NA,NA,NA,NA
2001,1,0,0,NA,NA,NA,NA
2001,2,0,0,NA,NA,NA,NA
2001,3,0,0,NA,NA,NA,NA
2001,4,0,0,NA,NA,NA,NA
2001,5,0,0,NA,NA,NA,NA
2002,1,0,0,NA,NA,NA,NA
2002,2,0,0,NA,NA,NA,NA
2002,3,0,0,NA,NA,NA,NA
2002,4,0,0,NA,NA,NA,NA
2002,5,0,0,NA,NA,NA,NA
2003,1,0,0,NA,NA,NA,NA
2003,2,0,0,NA,NA,NA,NA
2003,3,0,0,NA,NA,NA,NA
2003,4,0,0,NA,NA,NA,NA
2003,5,0,0,NA,NA,NA,NA
2004,1,0,0,NA,NA,NA,NA
2004,2,0,0,NA,NA,NA,NA
2004,3,0,0,NA,NA,NA,NA
2004,4,0,0,NA,NA,NA,NA
2004,5,0,0,NA,NA,NA,NA
2005,1,0,0,NA,NA,NA,NA
2005,2,0,0,NA,NA,NA,NA
2005,3,0,0,NA,NA,NA,NA
2005,4,0,0,NA,NA,NA,NA
2005,5,0,0,NA,NA,NA,NA
2006,1,0,0,NA,NA,NA,NA
2006,2,0,0,NA,NA,NA,NA
2006,3,0,0,NA,NA,NA,NA
2006,4,0,0,NA,NA,NA,NA
2006,5,0,0,NA,NA,NA,NA
2007,1,0,0,NA,NA,NA,NA
2007,2,0,0,NA,NA,NA,NA
2007,3,0,0,NA,NA,NA,NA
2007,4,0,0,NA,NA,NA,NA
2007,5,0,0,NA,NA,NA,NA
3001,1,0,0,NA,NA,NA,NA
3001,2,0,0,NA,NA,NA,NA
3001,3,0,0,NA,NA,NA,NA
3001,4,0,0,NA,NA,NA,NA
3001,5,0,0,NA,NA,NA,NA
3002,1,0,0,NA,NA,NA,NA
3002,2,0,0,NA,NA,NA,NA
3002,3,0,0,NA,NA,NA,NA
3002,4,0,0,NA,NA,NA,NA
3002,5,0,0,NA,NA,NA,NA
3003,1,0,0,NA,NA,NA,NA
3003,2,0,0,NA,NA,NA,NA
3003,3,0,0,NA,NA,NA,NA
3003,4,0,0,NA,NA,NA,NA
3003,5,0,0,NA,NA,NA,NA
3008,1,0,0,NA,NA,NA,NA
3008,2,0,0,NA,NA,NA,NA
3008,3,0,0,NA,NA,NA,NA
3008,4,0,0,NA,NA,NA,NA
3008,5,0,0,NA,NA,NA,NA
3009,1,0,0,NA,NA,NA,NA
3009,2,0,0,NA,NA,NA,NA
3009,3,0,0,NA,NA,NA,NA
3009,4,0,0,NA,NA,NA,NA
3009,5,0,0,NA,NA,NA,NA
4001,1,0,0,NA,NA,NA,NA
4001,2,0,0,NA,NA,NA,NA
4001,3,0,0,NA,NA,NA,NA
4001,4,0,0,NA,NA,NA,NA
4001,5,0,0,NA,NA,NA,NA
4002,1,2,0,NA,NA,NA,NA
4002,2,2,0,NA,NA,NA,NA
4002,3,2,0,NA,NA,NA,NA
4002,4,1,1,2013,NA,NA,1
4002,5,2,0,NA,NA,NA,NA
4003,1,0,0,NA,NA,NA,NA
4003,2,0,0,NA,NA,NA,NA
4003,3,0,0,NA,NA,NA,NA
4003,4,0,0,NA,NA,NA,NA
4003,5,0,0,NA,NA,NA,NA
4004,1,0,0,NA,NA,NA,NA
4004,2,0,0,NA,NA,NA,NA
4004,3,0,0,NA,NA,NA,NA
4004,4,0,0,NA,NA,NA,NA
4004,5,0,0,NA,NA,NA,NA
4005,1,0,0,NA,NA,NA,NA
4005,2,0,0,NA,NA,NA,NA
4005,3,0,0,NA,NA,NA,NA
4005,4,0,0,NA,NA,NA,NA
4005,5,0,0,NA,NA,NA,NA
4006,1,0,0,NA,NA,NA,NA
4006,2,0,0,NA,NA,NA,NA
4006,3,0,0,NA,NA,NA,NA
4006,4,0,0,NA,NA,NA,NA
4006,5,0,0,NA,NA,NA,NA
4007,1,0,0,NA,NA,NA,NA
4007,2,0,0,NA,NA,NA,NA
4007,3,0,0,NA,NA,NA,NA
4007,4,0,0,NA,NA,NA,NA
4007,5,0,0,NA,NA,NA,NA
4008,1,0,0,NA,NA,NA,NA
4008,2,0,0,NA,NA,NA,NA
4008,3,0,0,NA,NA,NA,NA
4008,4,0,0,NA,NA,NA,NA
4008,5,0,0,NA,NA,NA,NA
4009,1,0,0,NA,NA,NA,NA
4009,2,0,0,NA,NA,NA,NA
4009,3,0,0,NA,NA,NA,NA
4009,4,0,0,NA,NA,NA,NA
4009,5,0,0,NA,NA,NA,NA
4010,1,0,0,NA,NA,NA,NA
4010,2,0,0,NA,NA,NA,NA
4010,3,0,0,NA,NA,NA,NA
4010,4,0,0,NA,NA,NA,NA
4010,5,0,0,NA,NA,NA,NA
4011,1,0,0,NA,NA,NA,NA
4011,2,0,0,NA,NA,NA,NA
4011,3,0,0,NA,NA,NA,NA
4011,4,0,0,NA,NA,NA,NA
4011,5,0,0,NA,NA,NA,NA
4012,1,0,0,NA,NA,NA,NA
4012,2,0,0,NA,NA,NA,NA
4012,3,0,0,NA,NA,NA,NA
4012,4,0,0,NA,NA,NA,NA
4012,5,0,0,NA,NA,NA,NA
4013,1,0,0,NA,NA,NA,NA
4013,2,0,0,NA,NA,NA,NA
4013,3,0,0,NA,NA,NA,NA
4013,4,0,0,NA,NA,NA,NA
4013,5,0,0,NA,NA,NA,NA
5001,1,0,0,NA,NA,NA,NA
5001,2,0,0,NA,NA,NA,NA
5001,3,0,0,NA,NA,NA,NA
5001,4,0,0,NA,NA,NA,NA
5001,5,0,0,NA,NA,NA,NA
