ubicageo_f,montos1,montos2
1001,NSS,NSS
1002,NSS,NSS
1003,1097476.11,NSS
1004,243217.33,0
1005,NSS,NSS
1006,NSS,NSS
1007,NSS,NSS
1008,133357,32230
1009,38250,0
1010,469200,NSS
1011,1047188,2325120
2001,40899561.14,99015453.84
2002,NSS,NSS
2003,4967680.81,21166557.62
2004,51539654.75,114045621
2005,8005796,0
2006,9309625,NSS
2007,NSS,NSS
3001,1269280,85584
3002,1218022.03,358427.48
3003,12724421.56,11776693.8
3008,NSS,NSS
3009,815919.69,424504.08
4001,20161.68,0
4002,NSS,NSS
4003,2696879.66,2148320.54
4004,291210.06,0
4005,135070,0
4006,106829,NSS
4007,30673.05,0
4008,NSS,0
4009,87975,0
4010,0,NSS
4011,323496,338567
4012,NA,NA
4013,NA,NA
5001,NA,NA
5002,1827002,458600
5003,70200,0
5004,2000000,0
5005,NA,NA
5006,NA,NA
5007,37870,16260
5008,NA,NA
5009,NA,NA
5010,5011871.9,1653693
5011,205389,0
5012,NA,NA
5013,NA,NA
5014,NSS,NSS
5015,NA,NA
5016,10000,0
5017,NA,NA
5018,NA,NA
5019,477653.59,NSS
5020,166206.57,NSS
5021,NSS,NSS
5022,1248186.16,1737595.58
5023,8640,0
5024,NSS,NSS
5025,NSS,NSS
5026,NA,NA
5027,NSS,NSS
5028,266617,0
5029,NSS,NSS
5030,NSS,0
5031,NA,NA
5032,NA,NA
5033,NSS,NSS
5034,3000,0
5035,26553872.66,2124309.81
5036,20900,0
5037,0,NSS
5038,484598.37,0
6001,341895.18,1028137.52
6002,6125256.37,0
6003,267117.63,383341.12
6004,25000,12000
6005,360343,253753
6006,NA,NA
6007,NA,NA
6008,22278.8,0
6009,2346328,2355513
6010,843447401,2102695746
7001,NA,NA
7002,NA,NA
7003,NA,NA
7004,NA,NA
7005,NA,NA
7006,NA,NA
7007,NA,NA
7008,NA,NA
7009,NA,NA
7010,NA,NA
7011,NA,NA
7012,1373307.7,0
7013,NA,NA
7014,NA,NA
7015,59529,0
7016,NA,NA
7017,NA,NA
7018,NA,NA
7019,NA,NA
7020,NA,NA
7021,NA,NA
7022,NA,NA
7023,NA,NA
7024,NA,NA
7025,NA,NA
7026,NA,NA
7027,NA,NA
7028,NA,NA
7029,NA,NA
7030,NA,NA
7031,NA,NA
