acciprac_c,descrip
1,Reuniones periódicas con mandos para la definición de estrategias
2,"Identificación de los problemas de seguridad, conductas antisociales, así como otros problemas que más afectan a las comunidades"
3,Distribución espacial de la presencia policial de acuerdo con la información de inteligencia
4,Diseño de estrategias para la atención de delitos específicos
5,Implementación de la metodología de solución de problemas
6,Recepción de denuncias a través de chats vecinales
7,Seguimiento a órdenes de protección
8,Otra acción o práctica
9,No se realizaron acciones o prácticas al interior de la unidad de proximidad social u homóloga
99,No identificado
