accireal_i,descrip
1,Investigaciones de principio a fin en coordinación con el Ministerio Público
2,Proporcionar indicios o datos de prueba al Ministerio Público
3,Operaciones encubiertas y/o entregas vigiladas en el marco de una investigación
4,Dar cumplimiento a los mandamientos ministeriales
5,"Participación en fuerzas de tarea para la aprehensión de un objetivo, investigación de personas u otros casos de alta prioridad"
6,"Vinculación con las unidades de proximidad social, inteligencia y/o análisis y ciberseguridad, complejos de seguridad u otras áreas similares de la institución encargada de la función de seguridad pública de la entidad federativa"
7,Solicitudes de apoyo durante la investigación a los servicios periciales de la entidad federativa
8,Mesas de coordinación jurídica de casos con la Fiscalía General o Procuraduría General de Justicia de la entidad federativa
9,Otra acción
10,No se realizaron acciones orientadas a la investigación de probables hechos delictivos
99,No identificado
