actireal_c,descrip
1,Patrullajes estratégicos con base en mapas de calor sobre los delitos o llamadas relacionadas con incidentes de seguridad
2,"Contacto e interacción con la ciudadanía (con fines informativos, preventivos y/o de identificación de problemas)"
3,Elaboración y evaluación de planes y/o estrategias en colaboración con la comunidad
4,Atención de problemas comunitarios y vecinales a través de la comunicación y la promoción de la mediación
5,Visitas a negocios o establecimientos comerciales
6,Visitas a escuelas
7,"Actividades de apoyo a la comunidad (en iglesias, organizaciones de la sociedad civil y otros espacios comunitarios)"
8,Otra actividad
9,No se realizaron acciones para la colaboración con la comunidad
99,No identificado
