actoinve_b,descrip
1,Inspección del lugar del hecho o del hallazgo
2,Inspección de personas
3,Preservación y realización de todos los actos necesarios para garantizar la integridad de los indicios
4,"Recolección, resguardo y, en su caso, entrega con debida cadena de custodia de objetos relacionados con la investigación de los delitos"
5,Entrevistas con personas testigos y víctimas del delito en el lugar de los hechos o durante la investigación
6,Toma de muestras corporales (cuando sean aportadas de forma voluntaria)
7,Aportación voluntaria de comunicaciones entre particulares
8,Búsquedas en fuentes abiertas de información
9,Recolección y revisión de videos
10,Inspección de vehículos o los reconocimientos de personas
11,Otro acto de investigación
12,No se llevaron a cabo actos de investigación
99,No identificado
