medirecp_a,descrip
1,Personalmente (presentados en las instalaciones de la unidad de policía cibernética u homóloga)
2,Personalmente (presentadas ante alguna oficina designada para ello)
3,Servicio postal (paquetería y mensajería)
4,"Número telefónico (llamadas telefónicas, mensajes SMS, etc.)"
5,Sitio web (página electrónica vía internet)
6,Correo electrónico (institucional)
7,Aplicación móvil (app)
8,"Redes sociales (WhatsApp, Facebook, Twitter, Telegram, etc.)"
9,Otro medio de recepción
10,No identificado
