ARCHIVO,CONTENIDO
m3s1p62,"Existencia de alguna unidad de proximidad social u homóloga en la institución encargada de la función de seguridad pública, al cierre del año 2022."
m3s1p63,"Personal adscrito a la unidad de proximidad social u homóloga de la institución encargada de la función de seguridad pública, según rango de edad y sexo, al cierre del año 2022."
m3s1p64,"Acciones y prácticas realizadas al interior de la unidad de proximidad social u homóloga de la institución encargada de la función de seguridad pública para la atención colaborativa de la violencia y la delincuencia, durante el año 2022."
m3s1p65,"Unidades de división territorial de la sectorización del territorio para la distribución y priorización de recursos asignados de la unidad de proximidad social u homóloga de la institución encargada de la función de seguridad pública, al cierre del año 2022."
m3s1p66,"Existencia de una cartografía digital sobre la sectorización del territorio en la unidad de proximidad social u homóloga de la institución encargada de la función de seguridad pública, al cierre del año 2022."
m3s1p67,"Actividades realizadas por la unidad de proximidad social u homóloga de la institución encargada de la función de seguridad pública para la colaboración con la comunidad, durante el año 2022."
m3s1p68,"Redes vecinales con las que cooperó o tuvo interacción la unidad de proximidad social u homóloga de la institución encargada de la función de seguridad pública, durante el año 2022."
m3s1p69,"Existencia de alguna unidad de inteligencia y/o análisis u homóloga en la institución encargada de la función de seguridad pública, al cierre del año 2022."
m3s1p70,"Personal adscrito a la unidad de inteligencia y/o análisis u homóloga de la institución encargada de la función de seguridad pública, según rango de edad y sexo, al cierre del año 2022."
m3s1p71,"Personal adscrito a la unidad de inteligencia y/o análisis u homóloga de la institución encargada de la función de seguridad pública, según funciones y sexo, al cierre del año 2022."
m3s1p72,"Insumos utilizados por la unidad de inteligencia y/o análisis u homóloga de la institución encargada de la función de seguridad pública para la medición, monitoreo y seguimiento de la situación de seguridad, conductas antisociales y problemas comunitarios, durante el año 2022."
m3s1p73,"Técnicas utilizadas por la unidad de inteligencia y/o análisis u homóloga de la institución encargada de la función de seguridad pública para el análisis vinculado con la violencia y la delincuencia, durante el año 2022."
m3s1p74,"Mesas de análisis y/o reuniones realizadas por la unidad de inteligencia y/o análisis u homóloga de la institución encargada de la función de seguridad pública para el monitoreo y evolución de los patrones delictivos, durante el año 2022."
m3s1p75,"Existencia de alguna unidad de investigación u homóloga en la institución encargada de la función de seguridad pública, al cierre del año 2022."
m3s1p76,"Personal adscrito a la unidad de investigación u homóloga de la institución encargada de la función de seguridad pública, según rango de edad y sexo, al cierre del año 2022."
m3s1p77,"Personal adscrito a la unidad de investigación u homóloga de la institución encargada de la función de seguridad pública, según funciones y sexo, al cierre del año 2022."
m3s1p78,"Acciones implementadas por la unidad de investigación u homóloga de la institución encargada de la función de seguridad pública orientadas a la investigación de probables hechos delictivos, durante el año 2022."
m3s1p79,"Actos de investigación llevados a cabo por la unidad de investigación u homóloga de la institución encargada de la función de seguridad pública, durante el año 2022."
m3s1p80,"Facultad de la unidad de investigación u homóloga de la institución encargada de la función de seguridad pública para investigar delitos, según tipo de delito, al cierre del año 2022."
m3s1p81,"Facultad de la unidad de investigación u homóloga para recibir denuncias sobre hechos probablemente constitutivos de delitos sin que estas hayan necesitado ser ratificadas ante el Ministerio Público y cantidad de denuncias recibidas, en los años 2021 y 2022."
m3s1p82,"Facultad de la unidad de investigación u homóloga para iniciar carpetas de investigación hasta su judicialización y carpetas de investigación iniciadas, en los años 2021 y 2022."
m3s1p83,"Existencia de registros administrativos de las actuaciones realizadas durante la investigación de delitos en la unidad de investigación u homóloga, año de creación, periodicidad de actualización y situación, según tipo de registro, al cierre del año 2022."
m3s1p84,"Existencia de alguna unidad de policía cibernética u homóloga en la institución encargada de la función de seguridad pública, al cierre del año 2022."
m3s1p85,"Personal adscrito a la unidad de policía cibernética u homóloga de la institución encargada de la función de seguridad pública, según rango de edad y sexo, al cierre del año 2022."
