ubicageo_f,rnspni1,divter1,divter2,divter3,divter4,divter5
1001,1,0,16,0,0,0
1002,1,0,6,0,0,0
1003,1,0,1,0,0,0
1004,3,NA,NA,NA,NA,NA
1005,3,NA,NA,NA,NA,NA
1006,2,NA,NA,NA,NA,NA
1007,0,NA,NA,NA,NA,NA
1008,1,0,12,0,0,0
1009,0,NA,NA,NA,NA,NA
1010,0,NA,NA,NA,NA,NA
1011,0,NA,NA,NA,NA,NA
2001,1,0,0,0,0,21
2002,1,0,0,7,0,0
2003,0,NA,NA,NA,NA,NA
2004,1,14,247,0,0,0
2005,0,NA,NA,NA,NA,NA
2006,2,NA,NA,NA,NA,NA
2007,0,NA,NA,NA,NA,NA
3001,0,NA,NA,NA,NA,NA
3002,97,NSS,NSS,NSS,NSS,NSS
3003,1,0,9,29,0,0
3008,1,0,0,0,0,1
3009,0,NA,NA,NA,NA,NA
4001,0,NA,NA,NA,NA,NA
4002,0,NA,NA,NA,NA,NA
4003,0,NA,NA,NA,NA,NA
4004,0,NA,NA,NA,NA,NA
4005,0,NA,NA,NA,NA,NA
4006,0,NA,NA,NA,NA,NA
4007,0,NA,NA,NA,NA,NA
4008,0,NA,NA,NA,NA,NA
4009,1,0,6,0,0,0
4010,0,NA,NA,NA,NA,NA
4011,0,NA,NA,NA,NA,NA
4012,0,NA,NA,NA,NA,NA
4013,0,NA,NA,NA,NA,NA
5001,0,NA,NA,NA,NA,NA
5002,2,NA,NA,NA,NA,NA
5003,0,NA,NA,NA,NA,NA
5004,1,0,7,0,0,0
5005,0,NA,NA,NA,NA,NA
5006,0,NA,NA,NA,NA,NA
5007,1,0,4,0,0,0
5008,0,NA,NA,NA,NA,NA
5009,0,NA,NA,NA,NA,NA
5010,0,NA,NA,NA,NA,NA
5011,0,NA,NA,NA,NA,NA
5012,0,NA,NA,NA,NA,NA
5013,0,NA,NA,NA,NA,NA
5014,0,NA,NA,NA,NA,NA
5015,0,NA,NA,NA,NA,NA
5016,0,NA,NA,NA,NA,NA
5017,1,0,1,0,0,0
5018,2,NA,NA,NA,NA,NA
5019,0,NA,NA,NA,NA,NA
5020,0,NA,NA,NA,NA,NA
5021,0,NA,NA,NA,NA,NA
5022,0,NA,NA,NA,NA,NA
5023,2,NA,NA,NA,NA,NA
5024,3,NA,NA,NA,NA,NA
5025,1,0,1,0,0,0
5026,0,NA,NA,NA,NA,NA
5027,2,NA,NA,NA,NA,NA
5028,0,NA,NA,NA,NA,NA
5029,1,0,6,0,0,0
5030,1,0,61,34,0,0
5031,0,NA,NA,NA,NA,NA
5032,0,NA,NA,NA,NA,NA
5033,3,NA,NA,NA,NA,NA
5034,0,NA,NA,NA,NA,NA
5035,1,3,5,9,9,3
5036,0,NA,NA,NA,NA,NA
5037,0,NA,NA,NA,NA,NA
5038,0,NA,NA,NA,NA,NA
6001,0,NA,NA,NA,NA,NA
6002,1,0,5,20,0,0
6003,0,NA,NA,NA,NA,NA
6004,2,NA,NA,NA,NA,NA
6005,0,NA,NA,NA,NA,NA
6006,0,NA,NA,NA,NA,NA
6007,1,0,7,0,0,0
6008,0,NA,NA,NA,NA,NA
6009,0,NA,NA,NA,NA,NA
6010,0,NA,NA,NA,NA,NA
7001,0,NA,NA,NA,NA,NA
7002,0,NA,NA,NA,NA,NA
7003,2,NA,NA,NA,NA,NA
7004,0,NA,NA,NA,NA,NA
7005,0,NA,NA,NA,NA,NA
7006,0,NA,NA,NA,NA,NA
7007,0,NA,NA,NA,NA,NA
7008,0,NA,NA,NA,NA,NA
7009,0,NA,NA,NA,NA,NA
7010,0,NA,NA,NA,NA,NA
7011,0,NA,NA,NA,NA,NA
7012,0,NA,NA,NA,NA,NA
7013,0,NA,NA,NA,NA,NA
7014,0,NA,NA,NA,NA,NA
7015,0,NA,NA,NA,NA,NA
7016,0,NA,NA,NA,NA,NA
7017,1,0,0,7,0,0
7018,0,NA,NA,NA,NA,NA
7019,0,NA,NA,NA,NA,NA
7020,0,NA,NA,NA,NA,NA
7021,0,NA,NA,NA,NA,NA
7022,0,NA,NA,NA,NA,NA
7023,0,NA,NA,NA,NA,NA
7024,0,NA,NA,NA,NA,NA
7025,0,NA,NA,NA,NA,NA
7026,0,NA,NA,NA,NA,NA
7027,0,NA,NA,NA,NA,NA
7028,0,NA,NA,NA,NA,NA
7029,0,NA,NA,NA,NA,NA
7030,0,NA,NA,NA,NA,NA
7031,0,NA,NA,NA,NA,NA
7032,2,NA,NA,NA,NA,NA
7033,0,NA,NA,NA,NA,NA
7034,0,NA,NA,NA,NA,NA
7035,0,NA,NA,NA,NA,NA
7036,0,NA,NA,NA,NA,NA
7037,0,NA,NA,NA,NA,NA
7038,0,NA,NA,NA,NA,NA
7039,0,NA,NA,NA,NA,NA
7040,0,NA,NA,NA,NA,NA
7041,0,NA,NA,NA,NA,NA
7042,0,NA,NA,NA,NA,NA
7043,0,NA,NA,NA,NA,NA
7044,0,NA,NA,NA,NA,NA
7045,97,NSS,NSS,NSS,NSS,NSS
7046,0,NA,NA,NA,NA,NA
7047,0,NA,NA,NA,NA,NA
7048,0,NA,NA,NA,NA,NA
7049,0,NA,NA,NA,NA,NA
7050,0,NA,NA,NA,NA,NA
7051,0,NA,NA,NA,NA,NA
7052,0,NA,NA,NA,NA,NA
7053,0,NA,NA,NA,NA,NA
7054,0,NA,NA,NA,NA,NA
7055,0,NA,NA,NA,NA,NA
7056,0,NA,NA,NA,NA,NA
7057,97,NSS,NSS,NSS,NSS,NSS
7058,0,NA,NA,NA,NA,NA
7059,1,0,0,5,0,0
7060,0,NA,NA,NA,NA,NA
7061,0,NA,NA,NA,NA,NA
7062,0,NA,NA,NA,NA,NA
7063,0,NA,NA,NA,NA,NA
7064,0,NA,NA,NA,NA,NA
7065,0,NA,NA,NA,NA,NA
7066,0,NA,NA,NA,NA,NA
7067,0,NA,NA,NA,NA,NA
7068,0,NA,NA,NA,NA,NA
7069,0,NA,NA,NA,NA,NA
7070,0,NA,NA,NA,NA,NA
7071,0,NA,NA,NA,NA,NA
7072,0,NA,NA,NA,NA,NA
