ubicageo_f,rnspni1,dirurl1
1001,1,https://www.google.com/maps/d/viewer?mid=1C29bSwHh1aWTH9br0tGWDgnmaRzqRT4&ll=21.861302951161807%2C-102.25182356469826&z=11
1002,2,NO APLICA
1003,3,NO APLICA
1004,0,NO APLICA
1005,0,NO APLICA
1006,0,NO APLICA
1007,0,NO APLICA
1008,2,NO APLICA
1009,0,NO APLICA
1010,0,NO APLICA
1011,0,NO APLICA
2001,3,NO APLICA
2002,3,NO APLICA
2003,0,NO APLICA
2004,1,NO APLICA
2005,0,NO APLICA
2006,0,NO APLICA
2007,0,NO APLICA
3001,0,NO APLICA
3002,97,NO IDENTIFICADO
3003,3,NO APLICA
3008,3,NO APLICA
3009,0,NO APLICA
4001,0,NO APLICA
4002,0,NO APLICA
4003,0,NO APLICA
4004,0,NO APLICA
4005,0,NO APLICA
4006,0,NO APLICA
4007,0,NO APLICA
4008,0,NO APLICA
4009,3,NO APLICA
4010,0,NO APLICA
4011,0,NO APLICA
4012,0,NO APLICA
4013,0,NO APLICA
5001,0,NO APLICA
5002,0,NO APLICA
5003,0,NO APLICA
5004,3,NO APLICA
5005,0,NO APLICA
5006,0,NO APLICA
5007,3,NO APLICA
5008,0,NO APLICA
5009,0,NO APLICA
5010,0,NO APLICA
5011,0,NO APLICA
5012,0,NO APLICA
5013,0,NO APLICA
5014,0,NO APLICA
5015,0,NO APLICA
5016,0,NO APLICA
5017,3,NO APLICA
5018,0,NO APLICA
5019,0,NO APLICA
5020,0,NO APLICA
5021,0,NO APLICA
5022,0,NO APLICA
5023,0,NO APLICA
5024,0,NO APLICA
5025,3,NO APLICA
5026,0,NO APLICA
5027,0,NO APLICA
5028,0,NO APLICA
5029,3,NO APLICA
5030,1,NO SE SABE
5031,0,NO APLICA
5032,0,NO APLICA
5033,0,NO APLICA
5034,0,NO APLICA
5035,3,NO APLICA
5036,0,NO APLICA
5037,0,NO APLICA
5038,0,NO APLICA
6001,0,NO APLICA
6002,2,NO APLICA
6003,0,NO APLICA
6004,0,NO APLICA
6005,0,NO APLICA
6006,0,NO APLICA
6007,3,NO APLICA
6008,0,NO APLICA
6009,0,NO APLICA
6010,0,NO APLICA
7001,0,NO APLICA
7002,0,NO APLICA
7003,0,NO APLICA
7004,0,NO APLICA
7005,0,NO APLICA
7006,0,NO APLICA
7007,0,NO APLICA
7008,0,NO APLICA
7009,0,NO APLICA
7010,0,NO APLICA
7011,0,NO APLICA
7012,0,NO APLICA
7013,0,NO APLICA
7014,0,NO APLICA
7015,0,NO APLICA
7016,0,NO APLICA
7017,1,NO APLICA
7018,0,NO APLICA
7019,0,NO APLICA
7020,0,NO APLICA
7021,0,NO APLICA
7022,0,NO APLICA
7023,0,NO APLICA
7024,0,NO APLICA
7025,0,NO APLICA
7026,0,NO APLICA
7027,0,NO APLICA
7028,0,NO APLICA
7029,0,NO APLICA
7030,0,NO APLICA
7031,0,NO APLICA
7032,0,NO APLICA
7033,0,NO APLICA
7034,0,NO APLICA
7035,0,NO APLICA
7036,0,NO APLICA
7037,0,NO APLICA
7038,0,NO APLICA
7039,0,NO APLICA
7040,0,NO APLICA
7041,0,NO APLICA
7042,0,NO APLICA
7043,0,NO APLICA
7044,0,NO APLICA
7045,97,NO IDENTIFICADO
7046,0,NO APLICA
7047,0,NO APLICA
7048,0,NO APLICA
7049,0,NO APLICA
7050,0,NO APLICA
7051,0,NO APLICA
7052,0,NO APLICA
7053,0,NO APLICA
7054,0,NO APLICA
7055,0,NO APLICA
7056,0,NO APLICA
7057,97,NO IDENTIFICADO
7058,0,NO APLICA
7059,2,NO APLICA
7060,0,NO APLICA
7061,0,NO APLICA
7062,0,NO APLICA
7063,0,NO APLICA
7064,0,NO APLICA
7065,0,NO APLICA
7066,0,NO APLICA
7067,0,NO APLICA
7068,0,NO APLICA
7069,0,NO APLICA
7070,0,NO APLICA
7071,0,NO APLICA
7072,0,NO APLICA
7073,0,NO APLICA
7074,0,NO APLICA
7075,0,NO APLICA
7076,0,NO APLICA
7077,0,NO APLICA
7078,0,NO APLICA
7079,0,NO APLICA
7080,0,NO APLICA
7081,0,NO APLICA
7082,0,NO APLICA
7083,0,NO APLICA
7084,0,NO APLICA
7085,0,NO APLICA
7086,0,NO APLICA
7087,0,NO APLICA
7088,0,NO APLICA
7089,0,NO APLICA
7090,0,NO APLICA
7091,0,NO APLICA
7092,0,NO APLICA
7093,0,NO APLICA
7094,0,NO APLICA
7096,0,NO APLICA
7097,0,NO APLICA
7098,0,NO APLICA
7099,0,NO APLICA
7100,0,NO APLICA
7101,3,NO APLICA
7102,0,NO APLICA
7103,0,NO APLICA
7104,0,NO APLICA
7105,0,NO APLICA
7106,0,NO APLICA
7107,0,NO APLICA
7108,0,NO APLICA
7109,97,NO IDENTIFICADO
7110,0,NO APLICA
7111,0,NO APLICA
7112,0,NO APLICA
7113,0,NO APLICA
7114,0,NO APLICA
7115,0,NO APLICA
7116,0,NO APLICA
7117,0,NO APLICA
7118,0,NO APLICA
7119,0,NO APLICA
7120,0,NO APLICA
7121,0,NO APLICA
7122,0,NO APLICA
7123,0,NO APLICA
7124,0,NO APLICA
7125,0,NO APLICA
8001,0,NO APLICA
8002,0,NO APLICA
8003,0,NO APLICA
8004,0,NO APLICA
8005,97,NO IDENTIFICADO
8006,0,NO APLICA
8007,0,NO APLICA
8008,0,NO APLICA
8009,0,NO APLICA
8010,2,NO APLICA
8011,1,NO APLICA
8012,0,NO APLICA
8013,0,NO APLICA
8014,0,NO APLICA
8015,0,NO APLICA
8016,0,NO APLICA
8017,2,NO APLICA
8018,0,NO APLICA
8019,0,NO APLICA
8020,0,NO APLICA
8021,1,NO APLICA
8022,0,NO APLICA
8023,0,NO APLICA
8024,0,NO APLICA
8025,0,NO APLICA
8026,0,NO APLICA
8027,97,NO IDENTIFICADO
8028,0,NO APLICA
8029,0,NO APLICA
8030,0,NO APLICA
8031,0,NO APLICA
8032,2,NO APLICA
8033,0,NO APLICA
8034,0,NO APLICA
8035,0,NO APLICA
8036,0,NO APLICA
8037,1,https://drive.google.com/file/d/1jFMFenq5NV5cp3n51fIWXCUoa3uM0t7y/view?usp=share_link
8038,0,NO APLICA
8039,0,NO APLICA
8040,0,NO APLICA
8041,0,NO APLICA
8042,0,NO APLICA
8043,0,NO APLICA
8044,0,NO APLICA
8045,0,NO APLICA
8046,0,NO APLICA
8047,0,NO APLICA
8048,0,NO APLICA
8049,0,NO APLICA
8050,0,
8051,0,NO APLICA
8052,0,NO APLICA
8053,0,NO APLICA
8054,0,NO APLICA
8055,0,NO APLICA
8056,0,NO APLICA
8057,0,NO APLICA
8058,0,NO APLICA
8059,0,NO APLICA
8060,0,NO APLICA
8061,0,NO APLICA
8062,0,NO APLICA
8063,0,NO APLICA
8064,0,NO APLICA
8065,0,NO APLICA
8066,0,NO APLICA
8067,0,NO APLICA
9002,0,NO APLICA
9003,0,NO APLICA
9004,0,NO APLICA
9005,0,NO APLICA
9006,0,NO APLICA
9007,0,NO APLICA
9008,0,NO APLICA
9009,0,NO APLICA
9010,0,NO APLICA
9011,0,NO APLICA
9012,0,NO APLICA
9013,0,NO APLICA
9014,0,NO APLICA
9015,0,NO APLICA
9016,0,NO APLICA
9017,0,NO APLICA
