ubicageo_f,rnsnni1,totalca1
1001,1,1968
1002,2,NA
1003,1,10
1004,2,NA
1005,1,51
1006,1,21
1007,0,NA
1008,2,NA
1009,0,NA
1010,0,NA
1011,0,NA
2001,1,174
2002,1,90
2003,0,NA
2004,1,67
2005,0,NA
2006,2,NA
2007,0,NA
3001,0,NA
3002,97,NSS
3003,1,25
3008,1,1
3009,0,NA
4001,0,NA
4002,0,NA
4003,0,NA
4004,0,NA
4005,0,NA
4006,0,NA
4007,0,NA
4008,0,NA
4009,1,5
4010,0,NA
4011,0,NA
4012,0,NA
4013,0,NA
5001,0,NA
5002,2,NA
5003,0,NA
5004,2,NA
5005,0,NA
5006,0,NA
5007,1,9
5008,0,NA
5009,0,NA
5010,0,NA
5011,0,NA
5012,0,NA
5013,0,NA
5014,0,NA
5015,0,NA
5016,0,NA
5017,1,5
5018,1,1
5019,0,NA
5020,0,NA
5021,0,NA
5022,0,NA
5023,1,2
5024,2,NA
5025,9,NSS
5026,0,NA
5027,1,1
5028,0,NA
5029,2,NA
5030,1,NSS
5031,0,NA
5032,0,NA
5033,1,42
5034,0,NA
5035,1,190
5036,0,NA
5037,0,NA
5038,0,NA
6001,0,NA
6002,1,18
6003,0,NA
6004,2,NA
6005,0,NA
6006,0,NA
6007,2,NA
6008,0,NA
6009,0,NA
6010,0,NA
7001,0,NA
7002,0,NA
7003,2,NA
7004,0,NA
7005,0,NA
7006,0,NA
7007,0,NA
7008,0,NA
7009,0,NA
7010,0,NA
7011,0,NA
7012,0,NA
7013,0,NA
7014,0,NA
7015,0,NA
7016,0,NA
7017,1,3
7018,0,NA
7019,0,NA
7020,0,NA
7021,0,NA
7022,0,NA
7023,0,NA
7024,0,NA
7025,0,NA
7026,0,NA
7027,0,NA
7028,0,NA
7029,0,NA
7030,0,NA
7031,0,NA
7032,2,NA
7033,0,NA
7034,0,NA
7035,0,NA
7036,0,NA
7037,0,NA
7038,0,NA
7039,0,NA
7040,0,NA
7041,0,NA
7042,0,NA
7043,0,NA
7044,0,NA
7045,97,NSS
7046,0,NA
7047,0,NA
7048,0,NA
7049,0,NA
7050,0,NA
7051,0,NA
7052,0,NA
7053,0,NA
7054,0,NA
7055,0,NA
7056,0,NA
7057,97,NSS
7058,0,NA
7059,1,1
7060,0,NA
7061,0,NA
7062,0,NA
7063,0,NA
7064,0,NA
7065,0,NA
7066,0,NA
7067,0,NA
7068,0,NA
7069,0,NA
7070,0,NA
7071,0,NA
7072,0,NA
7073,0,NA
7074,1,25
7075,0,NA
7076,0,NA
7077,0,NA
7078,0,NA
7079,0,NA
7080,0,NA
7081,0,NA
7082,0,NA
7083,2,NA
7084,0,NA
7085,0,NA
7086,0,NA
7087,0,NA
7088,0,NA
7089,2,NA
7090,0,NA
7091,0,NA
7092,0,NA
7093,0,NA
7094,0,NA
