ubicageo_f,rnspni1,anios_a,nombre1
1001,1,2022,UNIDAD DE INTELIGENCIA CIBERNETICA
1002,3,NA,NO APLICA
1003,3,NA,NO APLICA
1004,3,NA,NO APLICA
1005,3,NA,NO APLICA
1006,3,NA,NO APLICA
1007,3,NA,NO APLICA
1008,3,NA,NO APLICA
1009,3,NA,NO APLICA
1010,3,NA,NO APLICA
1011,2,NA,NO APLICA
2001,3,NA,NO APLICA
2002,3,NA,NO APLICA
2003,2,NA,NO APLICA
2004,2,NA,NO APLICA
2005,2,NA,NO APLICA
2006,3,NA,NO APLICA
2007,3,NA,NO APLICA
3001,2,NA,NO APLICA
3002,3,NA,NO APLICA
3003,2,NA,NO APLICA
3008,3,NA,NO APLICA
3009,2,NA,NO APLICA
4001,2,NA,NO APLICA
4002,3,NA,NO APLICA
4003,2,NA,NO APLICA
4004,3,NA,NO APLICA
4005,3,NA,NO APLICA
4006,2,NA,NO APLICA
4007,2,NA,NO APLICA
4008,3,NA,NO APLICA
4009,3,NA,NO APLICA
4010,3,NA,NO APLICA
4011,2,NA,NO APLICA
4012,0,NA,NO APLICA
4013,0,NA,NO APLICA
5001,3,NA,NO APLICA
5002,2,NA,NO APLICA
5003,3,NA,NO APLICA
5004,3,NA,NO APLICA
5005,2,NA,NO APLICA
5006,2,NA,NO APLICA
5007,2,NA,NO APLICA
5008,0,NA,NO APLICA
5009,2,NA,NO APLICA
5010,3,NA,NO APLICA
5011,2,NA,NO APLICA
5012,0,NA,NO APLICA
5013,0,NA,NO APLICA
5014,3,NA,NO APLICA
5015,0,NA,NO APLICA
5016,2,NA,NO APLICA
5017,2,NA,NO APLICA
5018,3,NA,NO APLICA
5019,3,NA,NO APLICA
5020,2,NA,NO APLICA
5021,2,NA,NO APLICA
5022,2,NA,NO APLICA
5023,2,NA,NO APLICA
5024,3,NA,NO APLICA
5025,3,NA,NO APLICA
5026,0,NA,NO APLICA
5027,2,NA,NO APLICA
5028,2,NA,NO APLICA
5029,3,NA,NO APLICA
5030,1,2022,DIRECCION DE INVESTIGACION Y ANALISIS DE LA INFORMACION
5031,2,NA,NO APLICA
5032,2,NA,NO APLICA
5033,3,NA,NO APLICA
5034,2,NA,NO APLICA
5035,2,NA,NO APLICA
5036,2,NA,NO APLICA
5037,3,NA,NO APLICA
5038,3,NA,NO APLICA
6001,3,NA,NO APLICA
6002,3,NA,NO APLICA
6003,3,NA,NO APLICA
6004,2,NA,NO APLICA
6005,2,NA,NO APLICA
6006,2,NA,NO APLICA
6007,3,NA,NO APLICA
6008,3,NA,NO APLICA
6009,3,NA,NO APLICA
6010,3,NA,NO APLICA
7001,9,NSS,NO IDENTIFICADO
7002,2,NA,NO APLICA
7003,2,NA,NO APLICA
7004,3,NA,NO APLICA
7005,2,NA,NO APLICA
7006,3,NA,NO APLICA
7007,3,NA,NO APLICA
7008,2,NA,NO APLICA
7009,3,NA,NO APLICA
7010,2,NA,NO APLICA
7011,3,NA,NO APLICA
7012,3,NA,NO APLICA
7013,2,NA,NO APLICA
7014,3,NA,NO APLICA
7015,2,NA,NO APLICA
7016,3,NA,NO APLICA
7017,2,NA,NO APLICA
7018,2,NA,NO APLICA
7019,2,NA,NO APLICA
7020,2,NA,NO APLICA
7021,2,NA,NO APLICA
7022,2,NA,NO APLICA
7023,3,NA,NO APLICA
7024,3,NA,NO APLICA
7025,2,NA,NO APLICA
7026,2,NA,NO APLICA
7027,3,NA,NO APLICA
7028,3,NA,NO APLICA
7029,3,NA,NO APLICA
7030,3,NA,NO APLICA
7031,3,NA,NO APLICA
7032,2,NA,NO APLICA
7033,2,NA,NO APLICA
7034,3,NA,NO APLICA
7035,2,NA,NO APLICA
7036,3,NA,NO APLICA
7037,3,NA,NO APLICA
7038,3,NA,NO APLICA
7039,2,NA,NO APLICA
7040,2,NA,NO APLICA
7041,3,NA,NO APLICA
7042,2,NA,NO APLICA
7043,2,NA,NO APLICA
7044,3,NA,NO APLICA
7045,3,NA,NO APLICA
7046,3,NA,NO APLICA
7047,2,NA,NO APLICA
7048,2,NA,NO APLICA
7049,2,NA,NO APLICA
7050,3,NA,NO APLICA
7051,2,NA,NO APLICA
7052,3,NA,NO APLICA
7053,3,NA,NO APLICA
7054,2,NA,NO APLICA
7055,3,NA,NO APLICA
7056,2,NA,NO APLICA
7057,9,NSS,NO IDENTIFICADO
7058,2,NA,NO APLICA
7059,2,NA,NO APLICA
7060,3,NA,NO APLICA
7061,3,NA,NO APLICA
7062,3,NA,NO APLICA
7063,3,NA,NO APLICA
7064,3,NA,NO APLICA
7065,3,NA,NO APLICA
7066,3,NA,NO APLICA
7067,3,NA,NO APLICA
7068,2,NA,NO APLICA
7069,2,NA,NO APLICA
7070,2,NA,NO APLICA
7071,2,NA,NO APLICA
7072,2,NA,NO APLICA
7073,2,NA,NO APLICA
7074,3,NA,NO APLICA
7075,2,NA,NO APLICA
7076,2,NA,NO APLICA
7077,2,NA,NO APLICA
7078,2,NA,NO APLICA
7079,3,NA,NO APLICA
7080,2,NA,NO APLICA
7081,2,NA,NO APLICA
7082,3,NA,NO APLICA
7083,2,NA,NO APLICA
7084,2,NA,NO APLICA
7085,2,NA,NO APLICA
7086,2,NA,NO APLICA
7087,2,NA,NO APLICA
7088,2,NA,NO APLICA
7089,2,NA,NO APLICA
7090,2,NA,NO APLICA
7091,2,NA,NO APLICA
7092,3,NA,NO APLICA
7093,3,NA,NO APLICA
7094,3,NA,NO APLICA
7096,3,NA,NO APLICA
