ubicageo_f,numeral,nombre1,integra1,anios_a,temaatsp_a,temaatsp_b,temaatsp_c,temaatsp_d,sexostt,sexos1,sexos2
1001,1,GRUPO DE OPERACIONES,01001UEP01,2010,2,1,12,,59,48,11
1001,2,GRUPO ESPECIAL K9,01001UEP02,2022,2,1,11,,12,8,4
1001,3,GRUPO MOTORIZADO,01001UEP03,NSS,1,2,,,45,42,3
1001,4,GRUPO CICLOPOLICIAS,01001UEP04,NSS,1,2,11,,29,24,5
1001,5,GRUPO POLICIA MONTADA,01001UEP05,NSS,1,2,11,,21,18,3
1001,6,GRUPO POLICIA DE ATENCION,01001UEP06,2020,6,5,7,,35,17,18
1001,7,GRUPO DE INTELIGENCIA CIBERNETICA,01001UEP07,2022,1,,,,3,0,3
1002,1,UNIDAD DE PROXIMIDAD SOCIAL,01002UEP01,NSS,1,,,,59,44,15
1003,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
1004,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
1005,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
1007,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
1008,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
1009,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
1010,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
1011,1,UNIDAD DE ANALISIS,01011UEP01,2014,13,,,,2,1,1
2001,1,GRUPO DE OPERACIONES ESPECIALES,GOE,2020,13,,,,20,15,5
2001,2,UNIDAD CANINA,K9,2019,1,,,,5,3,2
2001,3,ROBO DE VEHICULOS,RV,2020,1,,,,6,6,0
2001,4,TURISTICA,02002UEP01,2012,11,,,,19,16,3
2001,5,ROBO DOMICILIARIOS,RD,2020,1,,,,6,5,1
2002,1,UNIDAD DE VINCULACION CON LA COMUNIDAD,02002UEP01,1999,1,13,,,11,5,6
2002,2,UNIDAD DE VIOLENCIA FAMILIAR Y DE GENERO,02002UEP02,2005,5,6,7,,30,9,21
2002,3,UNIDAD DE ATENCION A PERSONAS EN ESTADO DE VULNERABILIDAD,02002UEP03,2008,9,1,10,,17,8,9
2002,4,UNIDAD DE EDUCACION VIAL,02002UEP04,2008,1,,,,6,1,5
2002,5,UNIDAD ECOLOGICA,02002UEP05,2008,1,13,,,15,11,4
2002,6,UNIDAD DE PROYECTOS COMUNITARIOS,02002UEP06,2011,1,13,,,6,4,2
2003,1,UNIDAD VIOLETA,02003UEP01,2022,6,5,2,1,6,3,3
2004,1,UNIDAD ESPECIALIZADA EN INVESTIGACION CRIMINAL,02004UEP01,2006,1,,,,16,10,6
2005,1,PROGRAMAS ESPECIALES,02005UEP01,2019,5,,,,17,14,3
2006,1,ESCUADRON VIOLETA,EV,2021,5,6,7,8,4,2,2
