COLUMNA,DESCRIPCION,ORIGEN,TIPO_DATO,LONGITUD,CODIGO_VALIDO
ubicageo_f,Municipio,SECC I. 98,Numérico,5,0 al 99999
numeral,Identificador o numeral del orden que guarda cada registro capturado dentro de la lista,SECC I. 98,Carácter,4,0-5000
nombre1,Nombre de las unidades especializadas,SECC I. 98,Carácter,2500,
integra1,ID unidad especializada,SECC I. 98,Carácter,2500,
anios_a,Año de creación (aaaa),SECC I. 98,Carácter,4,"1900-2090, NA, NSS, ND, NP, NULL"
temaatsp_a,Tema atendido - Principal,SECC I. 98,Numérico,3,0 al 998
temaatsp_b,Tema atendido - Secundario(s),SECC I. 98,Numérico,3,0 al 998
temaatsp_c,Tema atendido - Secundario(s),SECC I. 98,Numérico,3,0 al 998
temaatsp_d,Tema atendido - Secundario(s),SECC I. 98,Numérico,3,0 al 998
sexostt,Personal adscrito a la unidad especializada - Total,SECC I. 98,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
sexos1,Personal adscrito a la unidad especializada - Hombres,SECC I. 98,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
sexos2,Personal adscrito a la unidad especializada - Mujeres,SECC I. 98,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
